ID,PARK_AREA_ACRES,CTA_BUS_STATIONS,CTA_TRAIN_STATIONS,BIKE_ROUTES,Limited_Business_License,Retail_Food_Establishment,CAPACITY,PER_CAPITA_INCOME,POPULATION_SQ_MILE,CBD,MINORITY,EDU,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED_CARRY_LICENSE_VIOLATIO,CRIM_SEXUAL_ASSAULT,CRIMINAL_DAMAGE,CRIMINAL_TRESPASS,DECEPTIVE_PRACTICE,GAMBLING,HOMICIDE,HUMAN_TRAFFICKING,INTERFERENCE_WITH_PUBLIC_OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR_LAW_VIOLATION,MOTOR_VEHICLE_THEFT,NARCOTICS,NON_CRIMINAL,OBSCENITY,OFFENSE_INVOLVING_CHILDREN,OTHER_NARCOTIC_VIOLATION,OTHER_OFFENSE,PROSTITUTION,PUBLIC_INDECENCY,PUBLIC_PEACE_VIOLATION,ROBBERY,SEX_OFFENSE,STALKING,THEFT,WEAPONS_VIOLATION,trips,i
5,998.35328,217,19,37.260009,419417,118269,19,65526,36691.00331,1,0.238816242,0.538885065,1.0986122887,5.9964520886,6.9363427358,4.8283137373,0,3.5835189385,6.070737728,6.1070228877,7.0361484938,0,1.0986122887,0.6931471806,2.9444389792,1.3862943611,1.0986122887,2.4849066498,4.6443908991,5.3082676974,1.6094379124,0,3.1780538303,0,5.4680601411,2.3978952728,1.3862943611,4.3694478525,5.7525726388,3.9512437186,1.6094379124,8.2695007672,3.0445224377,10.092826099,33
13,1204.2848,152,6,23.544022,42998,27496,19,65526,26901.43828,0,0.139834881,0.80495356,0,4.4426512565,5.8377304472,5.3612921657,0,3.1780538303,5.8522024798,4.3040650932,5.5872486584,0,0.6931471806,0,0,1.0986122887,0,2.7725887222,4.8121843554,3.5835189385,0,0,1.9459101491,0,4.7621739348,0.6931471806,0,2.5649493575,4.9052747784,2.7080502011,1.0986122887,7.3125534981,0.6931471806,10.350798131,33
14,1135.55648,133,2,21.615016,57119,23273,15,65526,27738.26651,0,0.843905916,0.635067712,1.7917594692,4.6151205168,5.6524891803,4.6347289882,0.6931471806,2.7080502011,5.6419070709,3.4965075615,4.5538768916,0.6931471806,2.302585093,0.6931471806,0.6931471806,0,0,1.6094379124,4.7791234931,4.3040650932,0.6931471806,0,3.0910424534,0,4.7874917428,1.6094379124,0,2.6390573296,3.6888794541,1.0986122887,1.3862943611,6.0890448754,2.3978952728,9.2270008129,33
15,1108.60416,146,2,17.309916,31090,14369,15,88669,28008.49477,0,0.86551265,0.675543719,2.302585093,5.0875963352,6.001414878,4.6443908991,0.6931471806,2.8332133441,5.7776523232,3.9702919136,4.4543472963,0,1.9459101491,0.6931471806,1.6094379124,0,0,1.6094379124,4.7957905456,4.8040210447,0.6931471806,0,2.9957322736,0,4.9767337424,1.6094379124,0,3.1780538303,3.8918202981,1.9459101491,1.3862943611,6.1717005974,2.9444389792,9.2794932307,33
16,955.64416,153,3,15.953728,43002,19727,11,65526,24577.70577,0,0.404157044,0.760585065,0.6931471806,4.8598124044,6.1654178542,5.723585102,0,2.8903717579,6.2576675879,4.4188406078,5.5872486584,0,1.0986122887,0,2.1972245773,0,1.0986122887,2.3978952728,5.2040066871,3.9702919136,0,0,0.6931471806,0,4.5849674787,0.6931471806,0,2.302585093,5.3518581335,2.5649493575,0,7.6586995583,2.3978952728,9.8464408972,33
17,992.52416,180,2,14.466868,42288,18266,15,65526,23006.8992,0,0.246212121,0.801136364,1.3862943611,4.9767337424,6.1654178542,5.910796644,0,2.7080502011,6.1820849067,4.3694478525,5.598421959,0,1.6094379124,0,2.0794415417,1.3862943611,0,2.8332133441,5.1984970313,4.0430512678,0,0.6931471806,2.6390573296,0,4.6539603502,0,0,2.4849066498,5.313205979,2.7725887222,0,7.5590382554,2.302585093,9.869517033,33
19,1071.02208,183,5,22.589856,60024,23406,15,65526,18280.2442,0,0.60419092,0.654831199,1.0986122887,5.1179938124,6.1675164909,4.7004803658,0,2.8332133441,5.4806389233,4.7273878187,5.2933048247,1.3862943611,1.9459101491,0,1.7917594692,1.0986122887,0,1.3862943611,4.1108738642,4.7874917428,0,1.6094379124,2.7080502011,0,4.7957905456,0,0,2.6390573296,4.4188406078,2.7080502011,0,6.5666724298,2.8332133441,9.7905427935,33
20,1054.18496,118,5,19.362724,66662,27096,15,65526,4309.048947,0,0.536818851,0.723490427,1.7917594692,4.1743872699,5.0369526024,4.3040650932,0,1.7917594692,5.1474944768,3.8712010109,5.313205979,0,0,0,0,0.6931471806,0,0.6931471806,4.2195077052,2.6390573296,0,0,1.7917594692,0,4.0775374439,0,0,2.3978952728,3.9318256327,2.1972245773,0.6931471806,7.1662659741,1.7917594692,10.169154051,33
21,1120.95488,178,8,29.7488,230475,66480,15,65526,19379.20097,0,0.500936914,0.670206121,0.6931471806,4.5108595065,5.2470240722,4.6151205168,0.6931471806,2.5649493575,5.5412635452,3.4011973817,5.6131281064,0.6931471806,0.6931471806,0,1.6094379124,0,0.6931471806,1.3862943611,4.3567088267,2.7725887222,0,1.3862943611,2.1972245773,0,4.6151205168,0,0,2.0794415417,4.1108738642,2.4849066498,0.6931471806,6.8362592773,1.3862943611,10.126070947,33
22,1022.88576,179,4,22.033296,109291,35806,15,44689,12356.51981,0,0.511292835,0.54711838,1.0986122887,4.9628446303,5.9839362807,4.5432947823,0,2.5649493575,5.4595855141,4.6443908991,4.8441870865,1.3862943611,2.1972245773,0,2.1972245773,0.6931471806,0,1.7917594692,4.248495242,4.6347289882,0,1.6094379124,2.8332133441,0,4.8520302639,0,0,2.5649493575,4.2904594411,2.6390573296,0,6.2971093199,2.7080502011,9.758288355,33
