date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,27,21,0.0,10.2,5,35,11:35 AM,11:16 PM,07:03 AM,07:29 PM,22,27,27,24,18,83,89,0.2,1011,24,9,30,11,Alaska
2022-09-01 03:00:00,27,21,0.0,10.2,5,35,11:35 AM,11:16 PM,07:03 AM,07:29 PM,22,26,26,24,16,45,90,0.0,1010,24,10,28,10,Alaska
2022-09-01 06:00:00,27,21,0.0,10.2,5,35,11:35 AM,11:16 PM,07:03 AM,07:29 PM,19,21,21,21,21,44,90,0.0,1010,21,10,31,10,Alaska
2022-09-01 09:00:00,27,21,0.0,10.2,5,35,11:35 AM,11:16 PM,07:03 AM,07:29 PM,19,22,25,22,17,44,85,0.0,1011,22,10,31,9,Alaska
2022-09-01 12:00:00,27,21,0.0,10.2,5,35,11:35 AM,11:16 PM,07:03 AM,07:29 PM,20,29,29,27,13,48,68,0.0,1011,27,10,7,9,Alaska
2022-09-01 15:00:00,27,21,0.0,10.2,5,35,11:35 AM,11:16 PM,07:03 AM,07:29 PM,21,29,29,27,11,36,70,0.0,1008,27,10,354,7,Alaska
2022-09-01 18:00:00,27,21,0.0,10.2,5,35,11:35 AM,11:16 PM,07:03 AM,07:29 PM,20,28,28,27,13,71,69,0.1,1007,27,10,20,7,Alaska
2022-09-01 21:00:00,27,21,0.0,10.2,5,35,11:35 AM,11:16 PM,07:03 AM,07:29 PM,22,28,28,26,17,44,78,0.0,1010,26,10,30,12,Alaska
2022-09-02 00:00:00,26,20,0.0,8.9,5,42,12:33 PM,No moonset,07:03 AM,07:28 PM,23,27,27,24,9,80,91,0.5,1011,24,10,58,6,Alaska
2022-09-02 03:00:00,26,20,0.0,8.9,5,42,12:33 PM,No moonset,07:03 AM,07:28 PM,22,26,26,24,9,47,91,0.0,1009,24,10,20,6,Alaska
2022-09-02 06:00:00,26,20,0.0,8.9,5,42,12:33 PM,No moonset,07:03 AM,07:28 PM,19,20,20,20,14,89,91,0.1,1009,20,10,27,7,Alaska
2022-09-02 09:00:00,26,20,0.0,8.9,5,42,12:33 PM,No moonset,07:03 AM,07:28 PM,19,22,25,22,14,44,85,0.0,1010,22,10,24,7,Alaska
2022-09-02 12:00:00,26,20,0.0,8.9,5,42,12:33 PM,No moonset,07:03 AM,07:28 PM,20,28,28,26,3,79,69,0.1,1010,26,10,300,1,Alaska
2022-09-02 15:00:00,26,20,0.0,8.9,5,42,12:33 PM,No moonset,07:03 AM,07:28 PM,21,27,27,25,9,58,82,1.9,1008,25,10,208,5,Alaska
2022-09-02 18:00:00,26,20,0.0,8.9,5,42,12:33 PM,No moonset,07:03 AM,07:28 PM,21,25,25,23,13,81,89,2.4,1009,23,10,170,6,Alaska
2022-09-02 21:00:00,26,20,0.0,8.9,5,42,12:33 PM,No moonset,07:03 AM,07:28 PM,23,27,27,24,9,74,94,0.6,1011,24,9,109,6,Alaska
2022-09-03 00:00:00,21,21,0.0,6.1,5,49,01:35 PM,12:03 AM,07:03 AM,07:28 PM,23,27,27,24,6,70,92,1.7,1012,24,10,42,3,Alaska
2022-09-03 03:00:00,21,21,0.0,6.1,5,49,01:35 PM,12:03 AM,07:03 AM,07:28 PM,23,26,26,24,6,79,91,0.2,1010,24,10,56,4,Alaska
2022-09-03 06:00:00,21,21,0.0,6.1,5,49,01:35 PM,12:03 AM,07:03 AM,07:28 PM,19,21,21,21,10,100,91,0.4,1010,21,10,48,5,Alaska
2022-09-03 09:00:00,21,21,0.0,6.1,5,49,01:35 PM,12:03 AM,07:03 AM,07:28 PM,19,21,21,21,4,62,92,0.2,1012,21,10,342,2,Alaska
2022-09-03 12:00:00,21,21,0.0,6.1,5,49,01:35 PM,12:03 AM,07:03 AM,07:28 PM,19,21,21,21,1,76,93,0.4,1012,21,10,123,1,Alaska
2022-09-03 15:00:00,21,21,0.0,6.1,5,49,01:35 PM,12:03 AM,07:03 AM,07:28 PM,20,21,21,21,9,71,96,0.7,1010,21,5,15,5,Alaska
2022-09-03 18:00:00,21,21,0.0,6.1,5,49,01:35 PM,12:03 AM,07:03 AM,07:28 PM,20,21,24,21,6,82,92,0.7,1010,21,2,61,3,Alaska
2022-09-03 21:00:00,21,21,0.0,6.1,5,49,01:35 PM,12:03 AM,07:03 AM,07:28 PM,22,26,26,24,4,40,91,0.0,1012,24,10,29,3,Alaska
2022-09-04 00:00:00,24,20,0.0,7.5,5,56,02:38 PM,12:56 AM,07:03 AM,07:27 PM,23,26,26,24,4,76,94,0.5,1012,24,10,72,3,Alaska
