date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,42,27,0.0,11.6,9,35,11:43 AM,10:23 PM,06:24 AM,07:19 PM,6,29,29,31,21,0,20,0.0,1009,31,10,306,11,California
2022-09-01 03:00:00,42,27,0.0,11.6,9,35,11:43 AM,10:23 PM,06:24 AM,07:19 PM,6,27,27,28,15,0,23,0.0,1009,28,10,281,7,California
2022-09-01 06:00:00,42,27,0.0,11.6,9,35,11:43 AM,10:23 PM,06:24 AM,07:19 PM,5,26,26,27,15,0,25,0.0,1009,27,10,279,7,California
2022-09-01 09:00:00,42,27,0.0,11.6,9,35,11:43 AM,10:23 PM,06:24 AM,07:19 PM,5,30,30,32,3,0,18,0.0,1010,32,10,186,3,California
2022-09-01 12:00:00,42,27,0.0,11.6,9,35,11:43 AM,10:23 PM,06:24 AM,07:19 PM,7,40,40,40,6,0,13,0.0,1009,40,10,143,5,California
2022-09-01 15:00:00,42,27,0.0,11.6,9,35,11:43 AM,10:23 PM,06:24 AM,07:19 PM,5,42,42,42,10,0,11,0.0,1006,42,10,121,9,California
2022-09-01 18:00:00,42,27,0.0,11.6,9,35,11:43 AM,10:23 PM,06:24 AM,07:19 PM,4,41,41,41,13,0,11,0.0,1005,41,10,209,12,California
2022-09-01 21:00:00,42,27,0.0,11.6,9,35,11:43 AM,10:23 PM,06:24 AM,07:19 PM,4,32,32,34,24,3,16,0.0,1007,34,10,256,14,California
2022-09-02 00:00:00,43,27,0.0,11.6,9,42,12:51 PM,11:01 PM,06:25 AM,07:17 PM,2,29,29,31,32,0,15,0.0,1007,31,10,299,15,California
2022-09-02 03:00:00,43,27,0.0,11.6,9,42,12:51 PM,11:01 PM,06:25 AM,07:17 PM,2,27,27,29,16,0,18,0.0,1007,29,10,279,8,California
2022-09-02 06:00:00,43,27,0.0,11.6,9,42,12:51 PM,11:01 PM,06:25 AM,07:17 PM,2,25,25,27,13,0,19,0.0,1008,27,10,263,6,California
2022-09-02 09:00:00,43,27,0.0,11.6,9,42,12:51 PM,11:01 PM,06:25 AM,07:17 PM,2,31,31,33,3,0,14,0.0,1009,33,10,257,2,California
2022-09-02 12:00:00,43,27,0.0,11.6,9,42,12:51 PM,11:01 PM,06:25 AM,07:17 PM,3,42,42,42,5,0,10,0.0,1008,42,10,144,4,California
2022-09-02 15:00:00,43,27,0.0,11.6,9,42,12:51 PM,11:01 PM,06:25 AM,07:17 PM,2,44,44,43,6,0,8,0.0,1005,43,10,195,5,California
2022-09-02 18:00:00,43,27,0.0,11.6,9,42,12:51 PM,11:01 PM,06:25 AM,07:17 PM,2,42,42,41,23,0,9,0.0,1005,41,10,292,20,California
2022-09-02 21:00:00,43,27,0.0,11.6,9,42,12:51 PM,11:01 PM,06:25 AM,07:17 PM,2,33,33,35,45,0,12,0.0,1008,35,10,303,26,California
2022-09-03 00:00:00,42,26,0.0,11.6,9,49,02:01 PM,11:48 PM,06:26 AM,07:16 PM,3,30,30,32,18,0,16,0.0,1008,32,10,278,9,California
2022-09-03 03:00:00,42,26,0.0,11.6,9,49,02:01 PM,11:48 PM,06:26 AM,07:16 PM,3,26,26,29,14,1,19,0.0,1009,29,10,259,7,California
2022-09-03 06:00:00,42,26,0.0,11.6,9,49,02:01 PM,11:48 PM,06:26 AM,07:16 PM,2,25,25,26,8,6,20,0.0,1010,26,10,232,4,California
2022-09-03 09:00:00,42,26,0.0,11.6,9,49,02:01 PM,11:48 PM,06:26 AM,07:16 PM,1,29,29,31,3,14,15,0.0,1011,31,10,205,3,California
2022-09-03 12:00:00,42,26,0.0,11.6,9,49,02:01 PM,11:48 PM,06:26 AM,07:16 PM,3,39,39,39,8,6,11,0.0,1010,39,10,84,7,California
2022-09-03 15:00:00,42,26,0.0,11.6,9,49,02:01 PM,11:48 PM,06:26 AM,07:16 PM,4,43,43,42,11,0,10,0.0,1008,42,10,119,9,California
2022-09-03 18:00:00,42,26,0.0,11.6,9,49,02:01 PM,11:48 PM,06:26 AM,07:16 PM,5,41,41,41,9,0,12,0.0,1007,41,10,131,8,California
2022-09-03 21:00:00,42,26,0.0,11.6,9,49,02:01 PM,11:48 PM,06:26 AM,07:16 PM,1,32,32,34,20,2,12,0.0,1009,34,10,283,11,California
2022-09-04 00:00:00,41,27,0.0,11.6,9,56,03:10 PM,No moonset,06:27 AM,07:14 PM,2,29,29,31,15,0,15,0.0,1011,31,10,244,8,California
2022-09-04 03:00:00,41,27,0.0,11.6,9,56,03:10 PM,No moonset,06:27 AM,07:14 PM,2,27,27,29,8,16,17,0.0,1010,29,10,276,4,California
2022-09-04 06:00:00,41,27,0.0,11.6,9,56,03:10 PM,No moonset,06:27 AM,07:14 PM,2,25,25,27,5,0,19,0.0,1011,27,10,249,2,California
2022-09-04 09:00:00,41,27,0.0,11.6,9,56,03:10 PM,No moonset,06:27 AM,07:14 PM,1,29,29,32,3,2,14,0.0,1012,32,10,158,2,California
2022-09-04 12:00:00,41,27,0.0,11.6,9,56,03:10 PM,No moonset,06:27 AM,07:14 PM,4,39,39,39,5,2,12,0.0,1011,39,10,142,5,California
2022-09-04 15:00:00,41,27,0.0,11.6,9,56,03:10 PM,No moonset,06:27 AM,07:14 PM,7,41,41,41,8,0,13,0.0,1008,41,10,120,6,California
2022-09-04 18:00:00,41,27,0.0,11.6,9,56,03:10 PM,No moonset,06:27 AM,07:14 PM,7,40,40,40,8,0,13,0.0,1006,40,10,150,7,California
2022-09-04 21:00:00,41,27,0.0,11.6,9,56,03:10 PM,No moonset,06:27 AM,07:14 PM,4,32,32,34,24,0,15,0.0,1008,34,10,264,13,California
2022-09-05 00:00:00,41,26,0.0,11.6,9,62,04:14 PM,12:44 AM,06:27 AM,07:13 PM,10,29,29,30,17,3,28,0.0,1009,30,10,218,9,California
2022-09-05 03:00:00,41,26,0.0,11.6,9,62,04:14 PM,12:44 AM,06:27 AM,07:13 PM,8,28,28,29,9,3,27,0.0,1008,29,10,244,5,California
2022-09-05 06:00:00,41,26,0.0,11.6,9,62,04:14 PM,12:44 AM,06:27 AM,07:13 PM,7,26,26,26,5,2,29,0.0,1009,26,10,237,2,California
2022-09-05 09:00:00,41,26,0.0,11.6,9,62,04:14 PM,12:44 AM,06:27 AM,07:13 PM,6,29,29,31,3,0,21,0.0,1010,31,10,106,2,California
2022-09-05 12:00:00,41,26,0.0,11.6,9,62,04:14 PM,12:44 AM,06:27 AM,07:13 PM,10,38,38,39,6,0,18,0.0,1009,39,10,118,6,California
2022-09-05 15:00:00,41,26,0.0,11.6,9,62,04:14 PM,12:44 AM,06:27 AM,07:13 PM,7,42,42,41,15,0,13,0.0,1006,41,10,101,13,California
2022-09-05 18:00:00,41,26,0.0,11.6,9,62,04:14 PM,12:44 AM,06:27 AM,07:13 PM,3,41,41,41,11,0,10,0.0,1004,41,10,105,9,California
2022-09-05 21:00:00,41,26,0.0,11.6,9,62,04:14 PM,12:44 AM,06:27 AM,07:13 PM,6,32,32,34,22,0,17,0.0,1006,34,10,211,11,California
2022-09-06 00:00:00,43,28,0.0,11.6,9,69,05:10 PM,01:50 AM,06:28 AM,07:12 PM,8,29,29,31,15,0,23,0.0,1008,31,10,250,7,California
2022-09-06 03:00:00,43,28,0.0,11.6,9,69,05:10 PM,01:50 AM,06:28 AM,07:12 PM,6,28,28,29,11,0,23,0.0,1008,29,10,284,5,California
2022-09-06 06:00:00,43,28,0.0,11.6,9,69,05:10 PM,01:50 AM,06:28 AM,07:12 PM,5,26,26,28,10,0,23,0.0,1009,28,10,256,5,California
2022-09-06 09:00:00,43,28,0.0,11.6,9,69,05:10 PM,01:50 AM,06:28 AM,07:12 PM,5,31,31,33,3,6,17,0.0,1010,33,10,197,3,California
2022-09-06 12:00:00,43,28,0.0,11.6,9,69,05:10 PM,01:50 AM,06:28 AM,07:12 PM,6,41,41,41,5,3,12,0.0,1009,41,10,115,4,California
2022-09-06 15:00:00,43,28,0.0,11.6,9,69,05:10 PM,01:50 AM,06:28 AM,07:12 PM,5,44,44,43,9,6,10,0.0,1006,43,10,107,8,California
2022-09-06 18:00:00,43,28,0.0,11.6,9,69,05:10 PM,01:50 AM,06:28 AM,07:12 PM,4,43,43,42,13,30,10,0.0,1006,42,10,151,11,California
2022-09-06 21:00:00,43,28,0.0,11.6,9,69,05:10 PM,01:50 AM,06:28 AM,07:12 PM,7,33,33,34,24,15,18,0.0,1008,34,10,221,12,California
2022-09-07 00:00:00,41,27,0.0,11.6,9,76,05:58 PM,03:02 AM,06:29 AM,07:10 PM,8,30,30,31,18,6,24,0.0,1011,31,10,234,10,California
2022-09-07 03:00:00,41,27,0.0,11.6,9,76,05:58 PM,03:02 AM,06:29 AM,07:10 PM,8,28,28,29,14,17,27,0.0,1011,29,10,222,7,California
2022-09-07 06:00:00,41,27,0.0,11.6,9,76,05:58 PM,03:02 AM,06:29 AM,07:10 PM,7,26,26,27,4,0,29,0.0,1013,27,10,241,2,California
2022-09-07 09:00:00,41,27,0.0,11.6,9,76,05:58 PM,03:02 AM,06:29 AM,07:10 PM,6,29,29,32,4,0,21,0.0,1014,32,10,94,3,California
2022-09-07 12:00:00,41,27,0.0,11.6,9,76,05:58 PM,03:02 AM,06:29 AM,07:10 PM,8,38,38,39,6,0,15,0.0,1013,39,10,107,5,California
2022-09-07 15:00:00,41,27,0.0,11.6,9,76,05:58 PM,03:02 AM,06:29 AM,07:10 PM,7,41,41,41,12,0,13,0.0,1011,41,10,124,10,California
2022-09-07 18:00:00,41,27,0.0,11.6,9,76,05:58 PM,03:02 AM,06:29 AM,07:10 PM,7,40,40,40,8,0,14,0.0,1009,40,10,54,7,California
2022-09-07 21:00:00,41,27,0.0,11.6,9,76,05:58 PM,03:02 AM,06:29 AM,07:10 PM,9,32,32,34,23,0,22,0.0,1011,34,10,195,14,California
2022-09-08 00:00:00,42,27,0.0,11.6,9,83,06:37 PM,04:16 AM,06:30 AM,07:09 PM,8,29,29,30,15,0,26,0.0,1012,30,10,213,8,California
2022-09-08 03:00:00,42,27,0.0,11.6,9,83,06:37 PM,04:16 AM,06:30 AM,07:09 PM,7,27,27,28,11,0,26,0.0,1011,28,10,240,5,California
2022-09-08 06:00:00,42,27,0.0,11.6,9,83,06:37 PM,04:16 AM,06:30 AM,07:09 PM,6,26,26,27,10,3,27,0.0,1011,27,10,263,5,California
2022-09-08 09:00:00,42,27,0.0,11.6,9,83,06:37 PM,04:16 AM,06:30 AM,07:09 PM,6,29,29,31,1,7,20,0.0,1011,31,10,312,1,California
2022-09-08 12:00:00,42,27,0.0,11.6,9,83,06:37 PM,04:16 AM,06:30 AM,07:09 PM,9,39,39,39,7,3,16,0.0,1008,39,10,92,6,California
2022-09-08 15:00:00,42,27,0.0,11.6,9,83,06:37 PM,04:16 AM,06:30 AM,07:09 PM,7,42,42,42,13,10,13,0.0,1004,42,10,100,11,California
2022-09-08 18:00:00,42,27,0.0,11.6,9,83,06:37 PM,04:16 AM,06:30 AM,07:09 PM,6,40,40,40,12,0,13,0.0,1002,40,10,138,10,California
2022-09-08 21:00:00,42,27,0.0,11.6,9,83,06:37 PM,04:16 AM,06:30 AM,07:09 PM,5,32,32,34,15,0,17,0.0,1004,34,10,268,8,California
2022-09-09 00:00:00,38,26,0.0,11.6,8,89,07:12 PM,05:30 AM,06:30 AM,07:07 PM,10,28,28,29,16,27,31,0.0,1003,29,10,175,10,California
2022-09-09 03:00:00,38,26,0.0,11.6,8,89,07:12 PM,05:30 AM,06:30 AM,07:07 PM,10,27,27,27,8,3,33,0.0,1002,27,10,357,4,California
2022-09-09 06:00:00,38,26,0.0,11.6,8,89,07:12 PM,05:30 AM,06:30 AM,07:07 PM,10,26,26,26,3,7,36,0.0,1002,26,10,302,1,California
2022-09-09 09:00:00,38,26,0.0,11.6,8,89,07:12 PM,05:30 AM,06:30 AM,07:07 PM,10,28,28,30,6,21,29,0.0,1003,30,10,68,5,California
2022-09-09 12:00:00,38,26,0.0,11.6,8,89,07:12 PM,05:30 AM,06:30 AM,07:07 PM,11,37,37,38,19,11,20,0.0,1001,38,10,94,16,California
2022-09-09 15:00:00,38,26,0.0,11.6,8,89,07:12 PM,05:30 AM,06:30 AM,07:07 PM,12,36,36,37,33,5,22,0.0,1000,37,10,95,29,California
2022-09-09 18:00:00,38,26,0.0,11.6,8,89,07:12 PM,05:30 AM,06:30 AM,07:07 PM,12,32,32,32,44,9,29,0.0,1001,32,10,117,39,California
2022-09-09 21:00:00,38,26,0.0,11.6,8,89,07:12 PM,05:30 AM,06:30 AM,07:07 PM,13,27,27,28,27,21,41,0.0,1006,28,10,91,23,California
2022-09-10 00:00:00,22,20,0.0,6.4,6,96,07:42 PM,06:40 AM,06:31 AM,07:06 PM,15,25,25,24,28,27,58,0.0,1008,24,10,66,23,California
2022-09-10 03:00:00,22,20,0.0,6.4,6,96,07:42 PM,06:40 AM,06:31 AM,07:06 PM,14,25,25,24,29,46,55,0.0,1006,24,10,59,22,California
2022-09-10 06:00:00,22,20,0.0,6.4,6,96,07:42 PM,06:40 AM,06:31 AM,07:06 PM,16,25,25,22,37,98,66,0.1,1007,22,10,75,28,California
2022-09-10 09:00:00,22,20,0.0,6.4,6,96,07:42 PM,06:40 AM,06:31 AM,07:06 PM,16,21,21,21,29,92,74,0.7,1009,21,2,37,22,California
2022-09-10 12:00:00,22,20,0.0,6.4,6,96,07:42 PM,06:40 AM,06:31 AM,07:06 PM,17,20,20,20,33,82,82,2.6,1011,20,7,33,26,California
2022-09-10 15:00:00,22,20,0.0,6.4,6,96,07:42 PM,06:40 AM,06:31 AM,07:06 PM,17,20,20,20,36,81,80,0.6,1011,20,2,27,30,California
2022-09-10 18:00:00,22,20,0.0,6.4,6,96,07:42 PM,06:40 AM,06:31 AM,07:06 PM,18,21,21,21,29,100,83,1.3,1012,21,9,46,24,California
2022-09-10 21:00:00,22,20,0.0,6.4,6,96,07:42 PM,06:40 AM,06:31 AM,07:06 PM,18,21,21,21,21,100,83,0.4,1014,21,2,61,18,California
2022-09-11 00:00:00,31,22,0.0,11.6,7,97,08:10 PM,07:48 AM,06:32 AM,07:04 PM,14,25,25,23,15,52,58,0.0,1015,23,10,32,12,California
2022-09-11 03:00:00,31,22,0.0,11.6,7,97,08:10 PM,07:48 AM,06:32 AM,07:04 PM,14,25,25,23,15,46,59,0.0,1014,23,10,30,10,California
2022-09-11 06:00:00,31,22,0.0,11.6,7,97,08:10 PM,07:48 AM,06:32 AM,07:04 PM,14,25,25,22,9,43,57,0.0,1015,22,10,33,6,California
2022-09-11 09:00:00,31,22,0.0,11.6,7,97,08:10 PM,07:48 AM,06:32 AM,07:04 PM,13,25,25,24,9,47,49,0.0,1016,24,10,65,6,California
2022-09-11 12:00:00,31,22,0.0,11.6,7,97,08:10 PM,07:48 AM,06:32 AM,07:04 PM,13,27,27,27,10,47,41,0.0,1015,27,10,84,9,California
2022-09-11 15:00:00,31,22,0.0,11.6,7,97,08:10 PM,07:48 AM,06:32 AM,07:04 PM,12,29,29,29,4,19,34,0.0,1013,29,10,156,4,California
2022-09-11 18:00:00,31,22,0.0,11.6,7,97,08:10 PM,07:48 AM,06:32 AM,07:04 PM,12,30,30,31,7,10,32,0.0,1012,31,10,236,6,California
2022-09-11 21:00:00,31,22,0.0,11.6,7,97,08:10 PM,07:48 AM,06:32 AM,07:04 PM,14,28,28,28,16,10,44,0.0,1013,28,10,273,13,California
