date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,2,12,12,12,17,23,50,0.0,1020,12,10,290,8,Colorado
2022-09-01 03:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,2,10,11,10,20,4,52,0.0,1019,11,10,276,9,Colorado
2022-09-01 06:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,2,10,11,10,22,2,53,0.0,1018,11,10,284,10,Colorado
2022-09-01 09:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,6,24,24,23,4,4,33,0.0,1016,23,10,273,3,Colorado
2022-09-01 12:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,4,27,27,29,8,29,20,0.0,1013,29,10,105,7,Colorado
2022-09-01 15:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,5,26,26,28,16,48,23,0.0,1012,28,10,141,14,Colorado
2022-09-01 18:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,5,26,26,27,6,7,24,0.0,1011,27,10,143,6,Colorado
2022-09-01 21:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,3,17,17,17,10,13,39,0.0,1014,17,10,266,5,Colorado
2022-09-02 00:00:00,32,13,0.0,11.6,7,42,01:05 PM,10:57 PM,06:29 AM,07:28 PM,1,12,13,12,22,10,43,0.0,1014,13,10,284,10,Colorado
2022-09-02 03:00:00,32,13,0.0,11.6,7,42,01:05 PM,10:57 PM,06:29 AM,07:28 PM,-1,11,13,11,23,10,40,0.0,1014,13,10,288,11,Colorado
2022-09-02 06:00:00,32,13,0.0,11.6,7,42,01:05 PM,10:57 PM,06:29 AM,07:28 PM,-3,12,13,12,24,20,34,0.0,1016,13,10,294,12,Colorado
2022-09-02 09:00:00,32,13,0.0,11.6,7,42,01:05 PM,10:57 PM,06:29 AM,07:28 PM,3,24,24,25,11,8,23,0.0,1015,25,10,332,9,Colorado
2022-09-02 12:00:00,32,13,0.0,11.6,7,42,01:05 PM,10:57 PM,06:29 AM,07:28 PM,4,28,28,31,24,7,19,0.0,1015,31,10,12,21,Colorado
2022-09-02 15:00:00,32,13,0.0,11.6,7,42,01:05 PM,10:57 PM,06:29 AM,07:28 PM,4,29,29,32,17,12,17,0.0,1014,32,10,47,14,Colorado
2022-09-02 18:00:00,32,13,0.0,11.6,7,42,01:05 PM,10:57 PM,06:29 AM,07:28 PM,3,25,25,27,16,29,21,0.0,1015,27,10,61,14,Colorado
2022-09-02 21:00:00,32,13,0.0,11.6,7,42,01:05 PM,10:57 PM,06:29 AM,07:28 PM,3,18,18,18,14,89,37,0.1,1020,18,10,325,6,Colorado
2022-09-03 00:00:00,28,12,0.0,11.6,6,49,02:17 PM,11:41 PM,06:30 AM,07:27 PM,1,14,14,14,11,17,42,0.0,1022,14,10,326,5,Colorado
2022-09-03 03:00:00,28,12,0.0,11.6,6,49,02:17 PM,11:41 PM,06:30 AM,07:27 PM,0,12,12,12,8,2,45,0.0,1023,12,10,142,4,Colorado
2022-09-03 06:00:00,28,12,0.0,11.6,6,49,02:17 PM,11:41 PM,06:30 AM,07:27 PM,3,13,12,13,10,2,52,0.0,1024,12,10,285,5,Colorado
2022-09-03 09:00:00,28,12,0.0,11.6,6,49,02:17 PM,11:41 PM,06:30 AM,07:27 PM,6,22,24,22,6,2,36,0.0,1023,22,10,130,5,Colorado
2022-09-03 12:00:00,28,12,0.0,11.6,6,49,02:17 PM,11:41 PM,06:30 AM,07:27 PM,9,27,27,28,20,2,29,0.0,1021,28,10,136,18,Colorado
2022-09-03 15:00:00,28,12,0.0,11.6,6,49,02:17 PM,11:41 PM,06:30 AM,07:27 PM,8,26,26,27,23,4,31,0.0,1020,27,10,151,20,Colorado
2022-09-03 18:00:00,28,12,0.0,11.6,6,49,02:17 PM,11:41 PM,06:30 AM,07:27 PM,9,26,26,27,25,3,34,0.0,1020,27,10,143,22,Colorado
2022-09-03 21:00:00,28,12,0.0,11.6,6,49,02:17 PM,11:41 PM,06:30 AM,07:27 PM,7,17,17,17,16,72,53,0.3,1024,17,10,180,10,Colorado
2022-09-04 00:00:00,30,13,0.0,11.6,6,56,03:28 PM,No moonset,06:31 AM,07:25 PM,9,15,15,15,11,5,64,0.0,1024,15,10,221,7,Colorado
2022-09-04 03:00:00,30,13,0.0,11.6,6,56,03:28 PM,No moonset,06:31 AM,07:25 PM,7,13,13,13,10,5,66,0.0,1023,13,10,243,5,Colorado
2022-09-04 06:00:00,30,13,0.0,11.6,6,56,03:28 PM,No moonset,06:31 AM,07:25 PM,7,13,13,13,11,5,66,0.0,1022,13,10,273,6,Colorado
2022-09-04 09:00:00,30,13,0.0,11.6,6,56,03:28 PM,No moonset,06:31 AM,07:25 PM,8,20,20,20,7,4,47,0.0,1020,20,10,167,6,Colorado
2022-09-04 12:00:00,30,13,0.0,11.6,6,56,03:28 PM,No moonset,06:31 AM,07:25 PM,8,27,27,28,14,0,29,0.0,1018,28,10,128,12,Colorado
2022-09-04 15:00:00,30,13,0.0,11.6,6,56,03:28 PM,No moonset,06:31 AM,07:25 PM,8,28,28,30,15,0,25,0.0,1015,30,10,123,13,Colorado
2022-09-04 18:00:00,30,13,0.0,11.6,6,56,03:28 PM,No moonset,06:31 AM,07:25 PM,8,26,26,27,17,0,30,0.0,1015,27,10,136,15,Colorado
2022-09-04 21:00:00,30,13,0.0,11.6,6,56,03:28 PM,No moonset,06:31 AM,07:25 PM,3,16,16,16,16,0,40,0.0,1018,16,10,193,8,Colorado
2022-09-05 00:00:00,33,12,0.0,11.6,7,62,04:32 PM,12:36 AM,06:32 AM,07:23 PM,0,14,14,14,14,5,39,0.0,1017,14,10,218,6,Colorado
2022-09-05 03:00:00,33,12,0.0,11.6,7,62,04:32 PM,12:36 AM,06:32 AM,07:23 PM,-2,11,12,11,17,2,38,0.0,1016,12,10,272,8,Colorado
