date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,10,21,21,21,20,3,51,0.0,1011,21,10,312,10,Connecticut
2022-09-01 03:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,10,21,21,21,21,6,51,0.0,1011,21,10,274,11,Connecticut
2022-09-01 06:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,10,20,20,20,27,11,54,0.0,1011,20,10,272,15,Connecticut
2022-09-01 09:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,10,21,24,21,29,4,49,0.0,1013,21,10,301,22,Connecticut
2022-09-01 12:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,9,27,27,28,28,0,32,0.0,1013,28,10,299,24,Connecticut
2022-09-01 15:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,12,29,29,30,22,6,33,0.0,1013,30,10,297,19,Connecticut
2022-09-01 18:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,10,27,27,27,24,0,33,0.0,1014,27,10,321,21,Connecticut
2022-09-01 21:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,7,21,21,21,27,0,40,0.0,1018,21,10,340,19,Connecticut
2022-09-02 00:00:00,24,15,0.0,11.6,6,42,01:00 PM,10:41 PM,06:22 AM,07:25 PM,6,18,18,18,21,0,47,0.0,1019,18,10,358,12,Connecticut
2022-09-02 03:00:00,24,15,0.0,11.6,6,42,01:00 PM,10:41 PM,06:22 AM,07:25 PM,7,16,16,16,22,0,54,0.0,1020,16,10,4,12,Connecticut
2022-09-02 06:00:00,24,15,0.0,11.6,6,42,01:00 PM,10:41 PM,06:22 AM,07:25 PM,7,15,15,15,20,0,60,0.0,1022,15,10,19,11,Connecticut
2022-09-02 09:00:00,24,15,0.0,11.6,6,42,01:00 PM,10:41 PM,06:22 AM,07:25 PM,8,18,18,18,13,0,50,0.0,1024,18,10,57,10,Connecticut
2022-09-02 12:00:00,24,15,0.0,11.6,6,42,01:00 PM,10:41 PM,06:22 AM,07:25 PM,10,24,24,23,11,0,44,0.0,1024,23,10,81,10,Connecticut
2022-09-02 15:00:00,24,15,0.0,11.6,6,42,01:00 PM,10:41 PM,06:22 AM,07:25 PM,10,25,25,24,10,0,40,0.0,1023,24,10,93,9,Connecticut
2022-09-02 18:00:00,24,15,0.0,11.6,6,42,01:00 PM,10:41 PM,06:22 AM,07:25 PM,10,25,25,24,13,0,40,0.0,1023,24,10,112,11,Connecticut
2022-09-02 21:00:00,24,15,0.0,11.6,6,42,01:00 PM,10:41 PM,06:22 AM,07:25 PM,14,21,21,21,21,0,63,0.0,1025,21,10,149,14,Connecticut
2022-09-03 00:00:00,27,18,0.0,11.6,6,49,02:14 PM,11:24 PM,06:23 AM,07:24 PM,12,20,20,20,16,19,59,0.0,1026,20,10,137,9,Connecticut
2022-09-03 03:00:00,27,18,0.0,11.6,6,49,02:14 PM,11:24 PM,06:23 AM,07:24 PM,12,19,19,19,8,11,64,0.0,1025,19,10,121,4,Connecticut
2022-09-03 06:00:00,27,18,0.0,11.6,6,49,02:14 PM,11:24 PM,06:23 AM,07:24 PM,13,18,18,18,10,30,71,0.0,1026,18,10,70,5,Connecticut
2022-09-03 09:00:00,27,18,0.0,11.6,6,49,02:14 PM,11:24 PM,06:23 AM,07:24 PM,14,21,24,21,7,5,64,0.0,1026,21,10,126,5,Connecticut
