date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,26,14,0.0,11.6,6,35,12:26 PM,10:49 PM,07:00 AM,08:04 PM,13,16,16,16,23,4,82,0.0,1016,16,10,264,11,Delaware
2022-09-01 03:00:00,26,14,0.0,11.6,6,35,12:26 PM,10:49 PM,07:00 AM,08:04 PM,13,15,15,15,20,4,86,0.0,1017,15,10,294,9,Delaware
2022-09-01 06:00:00,26,14,0.0,11.6,6,35,12:26 PM,10:49 PM,07:00 AM,08:04 PM,12,14,14,14,12,3,88,0.0,1017,14,10,342,6,Delaware
2022-09-01 09:00:00,26,14,0.0,11.6,6,35,12:26 PM,10:49 PM,07:00 AM,08:04 PM,14,18,18,18,8,8,80,0.0,1019,18,10,333,5,Delaware
2022-09-01 12:00:00,26,14,0.0,11.6,6,35,12:26 PM,10:49 PM,07:00 AM,08:04 PM,17,25,25,23,6,6,68,0.0,1019,23,10,347,5,Delaware
2022-09-01 15:00:00,26,14,0.0,11.6,6,35,12:26 PM,10:49 PM,07:00 AM,08:04 PM,18,27,27,26,9,36,62,0.0,1018,26,10,336,8,Delaware
2022-09-01 18:00:00,26,14,0.0,11.6,6,35,12:26 PM,10:49 PM,07:00 AM,08:04 PM,19,28,28,26,9,0,66,0.0,1017,26,10,33,8,Delaware
2022-09-01 21:00:00,26,14,0.0,11.6,6,35,12:26 PM,10:49 PM,07:00 AM,08:04 PM,15,19,19,19,24,0,78,0.0,1018,19,10,64,12,Delaware
2022-09-02 00:00:00,30,16,0.0,11.6,6,42,01:38 PM,11:23 PM,07:01 AM,08:02 PM,15,18,18,18,23,0,79,0.0,1018,18,10,95,11,Delaware
2022-09-02 03:00:00,30,16,0.0,11.6,6,42,01:38 PM,11:23 PM,07:01 AM,08:02 PM,14,17,17,17,23,0,82,0.0,1018,17,10,116,11,Delaware
2022-09-02 06:00:00,30,16,0.0,11.6,6,42,01:38 PM,11:23 PM,07:01 AM,08:02 PM,14,16,16,16,22,2,88,0.0,1019,16,10,118,10,Delaware
2022-09-02 09:00:00,30,16,0.0,11.6,6,42,01:38 PM,11:23 PM,07:01 AM,08:02 PM,16,19,19,19,14,5,80,0.0,1020,19,10,143,9,Delaware
2022-09-02 12:00:00,30,16,0.0,11.6,6,42,01:38 PM,11:23 PM,07:01 AM,08:02 PM,20,30,30,28,11,8,62,0.0,1020,28,10,158,10,Delaware
2022-09-02 15:00:00,30,16,0.0,11.6,6,42,01:38 PM,11:23 PM,07:01 AM,08:02 PM,19,32,32,30,10,5,53,0.0,1018,30,10,169,9,Delaware
2022-09-02 18:00:00,30,16,0.0,11.6,6,42,01:38 PM,11:23 PM,07:01 AM,08:02 PM,21,30,30,28,5,6,65,0.0,1018,28,10,181,5,Delaware
2022-09-02 21:00:00,30,16,0.0,11.6,6,42,01:38 PM,11:23 PM,07:01 AM,08:02 PM,16,21,24,21,7,3,73,0.0,1019,21,10,161,3,Delaware
2022-09-03 00:00:00,29,19,0.0,11.6,6,49,02:51 PM,No moonset,07:02 AM,08:01 PM,17,21,21,21,22,12,79,0.0,1018,21,10,174,10,Delaware
2022-09-03 03:00:00,29,19,0.0,11.6,6,49,02:51 PM,No moonset,07:02 AM,08:01 PM,18,19,19,19,29,71,93,0.5,1020,19,9,206,14,Delaware
2022-09-03 06:00:00,29,19,0.0,11.6,6,49,02:51 PM,No moonset,07:02 AM,08:01 PM,18,19,19,19,23,70,96,0.4,1020,19,9,184,12,Delaware
2022-09-03 09:00:00,29,19,0.0,11.6,6,49,02:51 PM,No moonset,07:02 AM,08:01 PM,20,21,24,21,18,45,91,0.0,1021,21,10,220,12,Delaware
2022-09-03 12:00:00,29,19,0.0,11.6,6,49,02:51 PM,No moonset,07:02 AM,08:01 PM,22,33,33,29,15,5,68,0.0,1021,29,10,211,13,Delaware
2022-09-03 15:00:00,29,19,0.0,11.6,6,49,02:51 PM,No moonset,07:02 AM,08:01 PM,20,28,28,26,17,24,71,0.0,1020,26,10,193,15,Delaware
2022-09-03 18:00:00,29,19,0.0,11.6,6,49,02:51 PM,No moonset,07:02 AM,08:01 PM,20,28,28,26,17,14,71,0.0,1020,26,10,185,15,Delaware
2022-09-03 21:00:00,29,19,0.0,11.6,6,49,02:51 PM,No moonset,07:02 AM,08:01 PM,18,20,20,20,18,16,87,0.0,1020,20,10,181,9,Delaware
2022-09-04 00:00:00,29,18,0.0,8.9,5,56,04:03 PM,12:06 AM,07:03 AM,07:59 PM,17,18,18,18,10,26,94,0.0,1021,18,2,208,5,Delaware
2022-09-04 03:00:00,29,18,0.0,8.9,5,56,04:03 PM,12:06 AM,07:03 AM,07:59 PM,17,18,18,18,13,17,95,0.0,1021,18,2,186,6,Delaware
2022-09-04 06:00:00,29,18,0.0,8.9,5,56,04:03 PM,12:06 AM,07:03 AM,07:59 PM,17,18,18,18,10,34,94,0.0,1020,18,10,97,5,Delaware
2022-09-04 09:00:00,29,18,0.0,8.9,5,56,04:03 PM,12:06 AM,07:03 AM,07:59 PM,18,21,21,21,9,18,84,0.0,1020,21,10,104,7,Delaware
2022-09-04 12:00:00,29,18,0.0,8.9,5,56,04:03 PM,12:06 AM,07:03 AM,07:59 PM,19,28,28,26,11,58,65,0.0,1020,26,10,123,9,Delaware
2022-09-04 15:00:00,29,18,0.0,8.9,5,56,04:03 PM,12:06 AM,07:03 AM,07:59 PM,19,30,30,29,10,62,55,0.0,1017,29,10,118,9,Delaware
2022-09-04 18:00:00,29,18,0.0,8.9,5,56,04:03 PM,12:06 AM,07:03 AM,07:59 PM,19,29,29,28,6,78,57,0.1,1016,28,10,128,5,Delaware
2022-09-04 21:00:00,29,18,0.0,8.9,5,56,04:03 PM,12:06 AM,07:03 AM,07:59 PM,18,22,24,22,5,56,82,1.5,1017,22,10,98,2,Delaware
2022-09-05 00:00:00,25,18,0.0,10.3,5,62,05:08 PM,12:59 AM,07:04 AM,07:58 PM,18,19,19,19,17,73,94,0.1,1017,19,2,75,8,Delaware
2022-09-05 03:00:00,25,18,0.0,10.3,5,62,05:08 PM,12:59 AM,07:04 AM,07:58 PM,17,18,18,18,16,45,95,0.0,1017,18,2,74,8,Delaware
2022-09-05 06:00:00,25,18,0.0,10.3,5,62,05:08 PM,12:59 AM,07:04 AM,07:58 PM,17,18,18,18,17,24,96,0.0,1017,18,2,64,9,Delaware
2022-09-05 09:00:00,25,18,0.0,10.3,5,62,05:08 PM,12:59 AM,07:04 AM,07:58 PM,18,20,20,20,15,36,90,0.0,1018,20,10,74,10,Delaware
2022-09-05 12:00:00,25,18,0.0,10.3,5,62,05:08 PM,12:59 AM,07:04 AM,07:58 PM,19,26,26,24,10,52,75,0.0,1019,24,10,82,9,Delaware
