date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,10,11,11,11,10,85,93,2.3,1014,11,9,110,5,Florida
2022-09-01 03:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,9,10,10,10,10,54,90,0.5,1013,10,10,101,5,Florida
2022-09-01 06:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,17,18,18,18,4,76,92,0.7,1015,18,10,109,3,Florida
2022-09-01 09:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,19,20,20,20,8,70,93,0.9,1016,20,10,255,5,Florida
2022-09-01 12:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,20,25,25,22,7,50,89,0.7,1014,22,10,290,4,Florida
2022-09-01 15:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,20,25,25,23,7,67,80,0.2,1011,23,10,309,6,Florida
2022-09-01 18:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,20,20,20,20,5,68,96,0.3,1012,20,10,318,3,Florida
2022-09-01 21:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,11,12,12,12,5,80,94,1.4,1014,12,10,36,3,Florida
2022-09-02 00:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,10,11,11,11,6,74,94,0.5,1014,11,9,51,3,Florida
2022-09-02 03:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,10,11,11,11,5,78,94,0.2,1012,11,9,101,2,Florida
2022-09-02 06:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,9,10,10,10,8,55,92,0.1,1013,10,10,115,4,Florida
2022-09-02 09:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,12,15,15,15,12,82,82,0.2,1014,15,9,262,6,Florida
2022-09-02 12:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,20,26,26,24,12,73,82,0.4,1012,24,9,286,8,Florida
2022-09-02 15:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,21,25,25,23,9,77,89,0.8,1010,23,10,300,6,Florida
2022-09-02 18:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,20,21,21,21,4,74,96,1.1,1012,21,10,344,2,Florida
2022-09-02 21:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,11,12,12,12,2,87,94,1.4,1015,12,10,78,1,Florida
2022-09-03 00:00:00,24,10,0.0,8.8,4,49,11:49 AM,11:50 PM,05:45 AM,05:59 PM,10,11,11,11,6,53,92,0.4,1015,11,10,96,3,Florida
2022-09-03 03:00:00,24,10,0.0,8.8,4,49,11:49 AM,11:50 PM,05:45 AM,05:59 PM,9,11,11,11,8,59,92,0.2,1013,11,10,85,4,Florida
2022-09-03 06:00:00,24,10,0.0,8.8,4,49,11:49 AM,11:50 PM,05:45 AM,05:59 PM,9,10,10,10,9,79,91,0.1,1015,10,10,101,4,Florida
2022-09-03 09:00:00,24,10,0.0,8.8,4,49,11:49 AM,11:50 PM,05:45 AM,05:59 PM,11,15,15,15,11,42,79,0.0,1015,15,10,260,5,Florida
2022-09-03 12:00:00,24,10,0.0,8.8,4,49,11:49 AM,11:50 PM,05:45 AM,05:59 PM,20,26,26,24,12,65,79,0.3,1013,24,10,282,8,Florida
2022-09-03 15:00:00,24,10,0.0,8.8,4,49,11:49 AM,11:50 PM,05:45 AM,05:59 PM,21,26,26,24,9,51,84,1.4,1010,24,10,294,6,Florida
2022-09-03 18:00:00,24,10,0.0,8.8,4,49,11:49 AM,11:50 PM,05:45 AM,05:59 PM,20,21,21,21,4,67,96,2.1,1012,21,10,344,2,Florida
2022-09-03 21:00:00,24,10,0.0,8.8,4,49,11:49 AM,11:50 PM,05:45 AM,05:59 PM,11,12,12,12,5,78,93,0.5,1015,12,9,103,3,Florida
2022-09-04 00:00:00,26,10,0.0,7.4,4,56,12:50 PM,No moonset,05:45 AM,05:58 PM,9,11,11,11,8,75,90,0.1,1015,11,10,112,4,Florida
2022-09-04 03:00:00,26,10,0.0,7.4,4,56,12:50 PM,No moonset,05:45 AM,05:58 PM,9,10,10,10,5,82,90,0.2,1014,10,9,108,2,Florida
2022-09-04 06:00:00,26,10,0.0,7.4,4,56,12:50 PM,No moonset,05:45 AM,05:58 PM,9,10,10,10,10,76,89,0.1,1015,10,10,122,5,Florida
