date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,3,24,24,25,10,1,24,0.0,1012,25,10,35,5,Georgia
2022-09-01 03:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,3,23,23,23,7,1,26,0.0,1012,23,10,24,3,Georgia
2022-09-01 06:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,3,21,21,21,6,6,30,0.0,1013,21,10,54,3,Georgia
2022-09-01 09:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,3,25,25,26,5,10,22,0.0,1012,26,10,180,4,Georgia
2022-09-01 12:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,6,34,34,36,14,2,15,0.0,1010,36,10,163,12,Georgia
2022-09-01 15:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,5,40,40,40,16,0,12,0.0,1007,40,10,148,14,Georgia
2022-09-01 18:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,3,35,35,36,17,30,12,0.0,1006,36,10,151,14,Georgia
2022-09-01 21:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,2,26,26,28,10,31,19,0.0,1009,28,10,52,5,Georgia
2022-09-02 00:00:00,42,22,0.0,11.6,8,42,12:45 PM,10:34 PM,06:27 AM,07:33 PM,4,25,25,26,14,16,23,0.0,1010,26,10,7,6,Georgia
2022-09-02 03:00:00,42,22,0.0,11.6,8,42,12:45 PM,10:34 PM,06:27 AM,07:33 PM,4,24,24,24,8,18,27,0.0,1011,24,10,28,4,Georgia
