date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,34,25,0.0,11.6,7,35,11:41 AM,10:26 PM,06:26 AM,07:18 PM,17,27,27,26,13,0,59,0.0,1008,26,10,206,8,Hawaii
2022-09-01 03:00:00,34,25,0.0,11.6,7,35,11:41 AM,10:26 PM,06:26 AM,07:18 PM,17,26,26,25,10,0,61,0.0,1007,25,10,205,6,Hawaii
2022-09-01 06:00:00,34,25,0.0,11.6,7,35,11:41 AM,10:26 PM,06:26 AM,07:18 PM,16,26,26,25,10,0,59,0.0,1007,25,10,169,5,Hawaii
2022-09-01 09:00:00,34,25,0.0,11.6,7,35,11:41 AM,10:26 PM,06:26 AM,07:18 PM,17,28,28,28,8,0,51,0.0,1008,28,10,188,6,Hawaii
2022-09-01 12:00:00,34,25,0.0,11.6,7,35,11:41 AM,10:26 PM,06:26 AM,07:18 PM,19,37,37,34,14,0,41,0.0,1008,34,10,199,12,Hawaii
2022-09-01 15:00:00,34,25,0.0,11.6,7,35,11:41 AM,10:26 PM,06:26 AM,07:18 PM,18,34,34,32,18,0,43,0.0,1006,32,10,199,15,Hawaii
2022-09-01 18:00:00,34,25,0.0,11.6,7,35,11:41 AM,10:26 PM,06:26 AM,07:18 PM,18,29,29,28,21,43,52,0.0,1006,28,10,184,18,Hawaii
2022-09-01 21:00:00,34,25,0.0,11.6,7,35,11:41 AM,10:26 PM,06:26 AM,07:18 PM,18,28,28,26,15,0,60,0.0,1008,26,10,171,12,Hawaii
2022-09-02 00:00:00,32,24,0.0,11.6,7,42,12:48 PM,11:05 PM,06:27 AM,07:17 PM,18,27,27,26,14,0,62,0.0,1007,26,10,164,10,Hawaii
2022-09-02 03:00:00,32,24,0.0,11.6,7,42,12:48 PM,11:05 PM,06:27 AM,07:17 PM,18,26,26,24,20,0,69,0.0,1007,24,10,155,15,Hawaii
2022-09-02 06:00:00,32,24,0.0,11.6,7,42,12:48 PM,11:05 PM,06:27 AM,07:17 PM,18,26,26,24,14,2,68,0.0,1008,24,10,154,10,Hawaii
2022-09-02 09:00:00,32,24,0.0,11.6,7,42,12:48 PM,11:05 PM,06:27 AM,07:17 PM,18,28,28,26,10,0,59,0.0,1009,26,10,172,8,Hawaii
2022-09-02 12:00:00,32,24,0.0,11.6,7,42,12:48 PM,11:05 PM,06:27 AM,07:17 PM,21,35,35,32,14,0,51,0.0,1008,32,10,207,12,Hawaii
2022-09-02 15:00:00,32,24,0.0,11.6,7,42,12:48 PM,11:05 PM,06:27 AM,07:17 PM,19,32,32,31,17,0,51,0.0,1007,31,10,206,15,Hawaii
2022-09-02 18:00:00,32,24,0.0,11.6,7,42,12:48 PM,11:05 PM,06:27 AM,07:17 PM,19,32,32,30,13,3,52,0.0,1007,30,10,209,11,Hawaii
2022-09-02 21:00:00,32,24,0.0,11.6,7,42,12:48 PM,11:05 PM,06:27 AM,07:17 PM,18,28,28,27,12,0,57,0.0,1008,27,10,191,9,Hawaii
2022-09-03 00:00:00,35,24,0.0,10.3,8,49,01:57 PM,11:53 PM,06:27 AM,07:15 PM,18,26,26,25,10,0,67,0.0,1009,25,10,186,8,Hawaii
2022-09-03 03:00:00,35,24,0.0,10.3,8,49,01:57 PM,11:53 PM,06:27 AM,07:15 PM,18,26,26,24,5,0,69,0.0,1009,24,10,199,3,Hawaii
2022-09-03 06:00:00,35,24,0.0,10.3,8,49,01:57 PM,11:53 PM,06:27 AM,07:15 PM,18,26,26,25,4,2,66,0.0,1009,25,10,195,2,Hawaii
2022-09-03 09:00:00,35,24,0.0,10.3,8,49,01:57 PM,11:53 PM,06:27 AM,07:15 PM,18,29,29,28,6,8,54,0.0,1009,28,10,309,5,Hawaii
2022-09-03 12:00:00,35,24,0.0,10.3,8,49,01:57 PM,11:53 PM,06:27 AM,07:15 PM,19,38,38,35,12,4,39,0.0,1009,35,10,240,10,Hawaii
2022-09-03 15:00:00,35,24,0.0,10.3,8,49,01:57 PM,11:53 PM,06:27 AM,07:15 PM,18,36,36,34,19,0,39,0.0,1007,34,10,255,17,Hawaii
2022-09-03 18:00:00,35,24,0.0,10.3,8,49,01:57 PM,11:53 PM,06:27 AM,07:15 PM,17,33,33,32,24,72,39,0.1,1006,32,10,250,15,Hawaii
2022-09-03 21:00:00,35,24,0.0,10.3,8,49,01:57 PM,11:53 PM,06:27 AM,07:15 PM,17,29,29,28,21,3,52,0.0,1009,28,10,191,12,Hawaii
2022-09-04 00:00:00,32,26,0.0,11.6,7,56,03:06 PM,No moonset,06:28 AM,07:14 PM,18,28,28,26,6,3,60,0.0,1011,26,10,220,4,Hawaii
2022-09-04 03:00:00,32,26,0.0,11.6,7,56,03:06 PM,No moonset,06:28 AM,07:14 PM,17,27,27,26,3,2,59,0.0,1010,26,10,188,2,Hawaii
2022-09-04 06:00:00,32,26,0.0,11.6,7,56,03:06 PM,No moonset,06:28 AM,07:14 PM,18,27,27,26,13,3,61,0.0,1010,26,10,188,8,Hawaii
2022-09-04 09:00:00,32,26,0.0,11.6,7,56,03:06 PM,No moonset,06:28 AM,07:14 PM,18,28,28,27,15,4,56,0.0,1012,27,10,184,12,Hawaii
2022-09-04 12:00:00,32,26,0.0,11.6,7,56,03:06 PM,No moonset,06:28 AM,07:14 PM,19,34,34,32,14,4,44,0.0,1012,32,10,212,12,Hawaii
2022-09-04 15:00:00,32,26,0.0,11.6,7,56,03:06 PM,No moonset,06:28 AM,07:14 PM,17,33,33,32,17,2,41,0.0,1009,32,10,245,15,Hawaii
2022-09-04 18:00:00,32,26,0.0,11.6,7,56,03:06 PM,No moonset,06:28 AM,07:14 PM,16,31,31,30,21,4,42,0.0,1008,30,10,262,15,Hawaii
2022-09-04 21:00:00,32,26,0.0,11.6,7,56,03:06 PM,No moonset,06:28 AM,07:14 PM,16,28,28,27,16,4,49,0.0,1009,27,10,208,10,Hawaii
2022-09-05 00:00:00,36,26,0.0,11.6,8,62,04:10 PM,12:49 AM,06:29 AM,07:12 PM,18,28,28,27,9,2,60,0.0,1009,27,10,228,6,Hawaii
2022-09-05 03:00:00,36,26,0.0,11.6,8,62,04:10 PM,12:49 AM,06:29 AM,07:12 PM,18,27,27,26,9,2,61,0.0,1008,26,10,226,5,Hawaii
2022-09-05 06:00:00,36,26,0.0,11.6,8,62,04:10 PM,12:49 AM,06:29 AM,07:12 PM,18,27,27,26,5,3,59,0.0,1007,26,10,281,3,Hawaii
2022-09-05 09:00:00,36,26,0.0,11.6,8,62,04:10 PM,12:49 AM,06:29 AM,07:12 PM,17,30,30,29,10,3,50,0.0,1008,29,10,281,7,Hawaii
2022-09-05 12:00:00,36,26,0.0,11.6,8,62,04:10 PM,12:49 AM,06:29 AM,07:12 PM,20,39,39,36,15,3,40,0.0,1007,36,10,249,13,Hawaii
2022-09-05 15:00:00,36,26,0.0,11.6,8,62,04:10 PM,12:49 AM,06:29 AM,07:12 PM,17,34,34,33,21,2,38,0.0,1005,33,10,249,18,Hawaii
2022-09-05 18:00:00,36,26,0.0,11.6,8,62,04:10 PM,12:49 AM,06:29 AM,07:12 PM,18,33,33,32,15,0,42,0.0,1004,32,10,241,13,Hawaii
2022-09-05 21:00:00,36,26,0.0,11.6,8,62,04:10 PM,12:49 AM,06:29 AM,07:12 PM,17,28,28,27,16,0,52,0.0,1006,27,10,200,12,Hawaii
2022-09-06 00:00:00,33,24,0.0,11.6,7,69,05:07 PM,01:55 AM,06:29 AM,07:11 PM,18,26,26,25,12,0,63,0.0,1008,25,10,206,9,Hawaii
2022-09-06 03:00:00,33,24,0.0,11.6,7,69,05:07 PM,01:55 AM,06:29 AM,07:11 PM,17,26,26,25,8,0,64,0.0,1007,25,10,211,6,Hawaii
2022-09-06 06:00:00,33,24,0.0,11.6,7,69,05:07 PM,01:55 AM,06:29 AM,07:11 PM,17,26,26,24,8,0,63,0.0,1008,24,10,229,5,Hawaii
2022-09-06 09:00:00,33,24,0.0,11.6,7,69,05:07 PM,01:55 AM,06:29 AM,07:11 PM,17,27,27,26,5,0,55,0.0,1009,26,10,231,4,Hawaii
2022-09-06 12:00:00,33,24,0.0,11.6,7,69,05:07 PM,01:55 AM,06:29 AM,07:11 PM,19,36,36,33,13,0,44,0.0,1008,33,10,240,12,Hawaii
2022-09-06 15:00:00,33,24,0.0,11.6,7,69,05:07 PM,01:55 AM,06:29 AM,07:11 PM,18,33,33,32,19,4,43,0.0,1007,32,10,241,17,Hawaii
2022-09-06 18:00:00,33,24,0.0,11.6,7,69,05:07 PM,01:55 AM,06:29 AM,07:11 PM,17,31,31,30,17,5,46,0.0,1007,30,10,240,14,Hawaii
2022-09-06 21:00:00,33,24,0.0,11.6,7,69,05:07 PM,01:55 AM,06:29 AM,07:11 PM,17,27,27,26,13,1,56,0.0,1009,26,10,203,10,Hawaii
2022-09-07 00:00:00,34,26,0.0,11.6,8,76,05:55 PM,03:06 AM,06:30 AM,07:10 PM,16,27,27,26,12,2,54,0.0,1011,26,10,208,8,Hawaii
2022-09-07 03:00:00,34,26,0.0,11.6,8,76,05:55 PM,03:06 AM,06:30 AM,07:10 PM,16,27,27,26,9,3,56,0.0,1011,26,10,262,5,Hawaii
2022-09-07 06:00:00,34,26,0.0,11.6,8,76,05:55 PM,03:06 AM,06:30 AM,07:10 PM,16,27,27,26,11,3,55,0.0,1011,26,10,213,6,Hawaii
2022-09-07 09:00:00,34,26,0.0,11.6,8,76,05:55 PM,03:06 AM,06:30 AM,07:10 PM,16,29,29,28,6,2,49,0.0,1012,28,10,215,5,Hawaii
2022-09-07 12:00:00,34,26,0.0,11.6,8,76,05:55 PM,03:06 AM,06:30 AM,07:10 PM,19,37,37,34,13,2,41,0.0,1012,34,10,232,11,Hawaii
2022-09-07 15:00:00,34,26,0.0,11.6,8,76,05:55 PM,03:06 AM,06:30 AM,07:10 PM,18,34,34,33,19,3,42,0.0,1010,33,10,231,16,Hawaii
2022-09-07 18:00:00,34,26,0.0,11.6,8,76,05:55 PM,03:06 AM,06:30 AM,07:10 PM,18,34,34,32,14,3,43,0.0,1009,32,10,234,12,Hawaii
2022-09-07 21:00:00,34,26,0.0,11.6,8,76,05:55 PM,03:06 AM,06:30 AM,07:10 PM,17,29,29,28,12,0,51,0.0,1011,28,10,207,8,Hawaii
2022-09-08 00:00:00,35,26,0.0,11.6,8,83,06:35 PM,04:19 AM,06:31 AM,07:08 PM,16,28,28,27,12,0,51,0.0,1011,27,10,197,7,Hawaii
2022-09-08 03:00:00,35,26,0.0,11.6,8,83,06:35 PM,04:19 AM,06:31 AM,07:08 PM,16,27,27,27,11,0,52,0.0,1010,27,10,223,6,Hawaii
2022-09-08 06:00:00,35,26,0.0,11.6,8,83,06:35 PM,04:19 AM,06:31 AM,07:08 PM,16,27,27,26,6,0,53,0.0,1009,26,10,232,4,Hawaii
2022-09-08 09:00:00,35,26,0.0,11.6,8,83,06:35 PM,04:19 AM,06:31 AM,07:08 PM,15,29,29,29,4,0,44,0.0,1009,29,10,242,3,Hawaii
2022-09-08 12:00:00,35,26,0.0,11.6,8,83,06:35 PM,04:19 AM,06:31 AM,07:08 PM,17,37,37,35,14,2,35,0.0,1007,35,10,235,12,Hawaii
2022-09-08 15:00:00,35,26,0.0,11.6,8,83,06:35 PM,04:19 AM,06:31 AM,07:08 PM,16,33,33,33,19,2,38,0.0,1004,33,10,232,17,Hawaii
2022-09-08 18:00:00,35,26,0.0,11.6,8,83,06:35 PM,04:19 AM,06:31 AM,07:08 PM,17,30,30,30,19,8,47,0.0,1003,30,10,203,16,Hawaii
2022-09-08 21:00:00,35,26,0.0,11.6,8,83,06:35 PM,04:19 AM,06:31 AM,07:08 PM,17,29,29,29,6,18,49,0.0,1003,29,10,235,4,Hawaii
2022-09-09 00:00:00,38,28,0.0,11.6,8,89,07:10 PM,05:32 AM,06:31 AM,07:07 PM,17,29,29,28,10,4,50,0.0,1002,28,10,319,7,Hawaii
2022-09-09 03:00:00,38,28,0.0,11.6,8,89,07:10 PM,05:32 AM,06:31 AM,07:07 PM,16,29,29,28,7,5,49,0.0,1000,28,10,271,4,Hawaii
2022-09-09 06:00:00,38,28,0.0,11.6,8,89,07:10 PM,05:32 AM,06:31 AM,07:07 PM,16,28,28,28,3,33,49,0.0,1000,28,10,63,1,Hawaii
2022-09-09 09:00:00,38,28,0.0,11.6,8,89,07:10 PM,05:32 AM,06:31 AM,07:07 PM,16,31,31,30,2,15,43,0.0,1000,30,10,143,1,Hawaii
2022-09-09 12:00:00,38,28,0.0,11.6,8,89,07:10 PM,05:32 AM,06:31 AM,07:07 PM,18,39,39,37,8,4,33,0.0,999,37,10,241,7,Hawaii
2022-09-09 15:00:00,38,28,0.0,11.6,8,89,07:10 PM,05:32 AM,06:31 AM,07:07 PM,19,41,41,38,13,6,32,0.0,996,38,10,250,11,Hawaii
2022-09-09 18:00:00,38,28,0.0,11.6,8,89,07:10 PM,05:32 AM,06:31 AM,07:07 PM,16,34,34,34,7,33,35,0.0,997,34,10,215,5,Hawaii
2022-09-09 21:00:00,38,28,0.0,11.6,8,89,07:10 PM,05:32 AM,06:31 AM,07:07 PM,16,32,32,31,28,56,41,0.0,999,31,10,122,18,Hawaii
2022-09-10 00:00:00,26,24,0.0,6.4,7,96,07:42 PM,06:41 AM,06:32 AM,07:06 PM,17,29,29,28,10,44,51,0.0,1001,28,10,202,7,Hawaii
2022-09-10 03:00:00,26,24,0.0,6.4,7,96,07:42 PM,06:41 AM,06:32 AM,07:06 PM,18,29,29,28,8,46,58,0.0,1002,28,10,82,6,Hawaii
2022-09-10 06:00:00,26,24,0.0,6.4,7,96,07:42 PM,06:41 AM,06:32 AM,07:06 PM,19,27,27,26,15,100,67,0.1,1004,26,10,156,11,Hawaii
2022-09-10 09:00:00,26,24,0.0,6.4,7,96,07:42 PM,06:41 AM,06:32 AM,07:06 PM,21,26,26,24,7,100,82,0.1,1008,24,10,150,5,Hawaii
2022-09-10 12:00:00,26,24,0.0,6.4,7,96,07:42 PM,06:41 AM,06:32 AM,07:06 PM,18,26,26,25,24,77,67,0.2,1009,25,2,139,19,Hawaii
2022-09-10 15:00:00,26,24,0.0,6.4,7,96,07:42 PM,06:41 AM,06:32 AM,07:06 PM,18,27,27,25,7,100,66,0.0,1010,25,10,127,6,Hawaii
2022-09-10 18:00:00,26,24,0.0,6.4,7,96,07:42 PM,06:41 AM,06:32 AM,07:06 PM,19,27,27,26,9,67,68,0.0,1010,26,10,138,8,Hawaii
2022-09-10 21:00:00,26,24,0.0,6.4,7,96,07:42 PM,06:41 AM,06:32 AM,07:06 PM,20,26,26,24,15,64,75,0.0,1012,24,10,163,13,Hawaii
2022-09-11 00:00:00,28,24,0.0,10.3,6,97,08:10 PM,07:49 AM,06:33 AM,07:04 PM,20,26,26,25,10,71,75,0.0,1013,25,10,145,7,Hawaii
2022-09-11 03:00:00,28,24,0.0,10.3,6,97,08:10 PM,07:49 AM,06:33 AM,07:04 PM,20,26,26,24,8,69,77,0.0,1013,24,10,169,6,Hawaii
2022-09-11 06:00:00,28,24,0.0,10.3,6,97,08:10 PM,07:49 AM,06:33 AM,07:04 PM,20,26,26,24,6,66,78,0.0,1014,24,10,176,4,Hawaii
2022-09-11 09:00:00,28,24,0.0,10.3,6,97,08:10 PM,07:49 AM,06:33 AM,07:04 PM,20,27,27,25,6,53,72,0.0,1015,25,10,186,5,Hawaii
2022-09-11 12:00:00,28,24,0.0,10.3,6,97,08:10 PM,07:49 AM,06:33 AM,07:04 PM,20,30,30,28,14,66,62,0.0,1015,28,10,226,12,Hawaii
2022-09-11 15:00:00,28,24,0.0,10.3,6,97,08:10 PM,07:49 AM,06:33 AM,07:04 PM,20,30,30,28,20,18,60,0.0,1014,28,10,233,17,Hawaii
2022-09-11 18:00:00,28,24,0.0,10.3,6,97,08:10 PM,07:49 AM,06:33 AM,07:04 PM,20,29,29,27,19,6,65,0.0,1013,27,10,239,16,Hawaii
2022-09-11 21:00:00,28,24,0.0,10.3,6,97,08:10 PM,07:49 AM,06:33 AM,07:04 PM,20,27,27,25,13,6,72,0.0,1015,25,10,235,10,Hawaii
2022-09-12 00:00:00,30,24,0.0,11.6,7,90,08:39 PM,08:53 AM,06:33 AM,07:03 PM,20,26,26,25,11,4,73,0.0,1014,25,10,220,8,Hawaii
