date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,-2,22,22,22,18,21,20,0.0,1011,22,10,197,9,Idaho
2022-09-01 03:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,-1,20,20,20,13,43,24,0.0,1012,20,10,89,6,Idaho
2022-09-01 06:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,1,19,19,19,15,53,30,0.0,1012,19,10,143,7,Idaho
2022-09-01 09:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,2,24,24,24,9,86,22,0.0,1012,24,10,191,8,Idaho
2022-09-01 12:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,3,33,33,35,26,0,13,0.0,1010,35,10,228,23,Idaho
2022-09-01 15:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,-4,37,37,38,32,15,7,0.0,1007,38,10,242,28,Idaho
2022-09-01 18:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,-7,34,34,36,36,4,6,0.0,1005,36,10,234,31,Idaho
2022-09-01 21:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,-10,24,24,26,47,0,9,0.0,1008,26,10,222,22,Idaho
2022-09-02 00:00:00,37,14,0.0,11.6,7,42,01:50 PM,11:12 PM,06:53 AM,08:01 PM,-10,18,18,18,5,0,14,0.0,1013,18,10,125,2,Idaho
2022-09-02 03:00:00,37,14,0.0,11.6,7,42,01:50 PM,11:12 PM,06:53 AM,08:01 PM,-10,16,16,16,10,0,17,0.0,1014,16,10,61,5,Idaho
2022-09-02 06:00:00,37,14,0.0,11.6,7,42,01:50 PM,11:12 PM,06:53 AM,08:01 PM,-8,13,14,13,17,0,21,0.0,1016,14,10,50,8,Idaho
2022-09-02 09:00:00,37,14,0.0,11.6,7,42,01:50 PM,11:12 PM,06:53 AM,08:01 PM,-8,21,21,21,5,0,14,0.0,1016,21,10,41,4,Idaho
2022-09-02 12:00:00,37,14,0.0,11.6,7,42,01:50 PM,11:12 PM,06:53 AM,08:01 PM,-5,31,31,33,4,0,9,0.0,1014,33,10,253,3,Idaho
2022-09-02 15:00:00,37,14,0.0,11.6,7,42,01:50 PM,11:12 PM,06:53 AM,08:01 PM,-7,35,35,37,16,0,6,0.0,1011,37,10,230,14,Idaho
2022-09-02 18:00:00,37,14,0.0,11.6,7,42,01:50 PM,11:12 PM,06:53 AM,08:01 PM,-14,33,33,35,15,0,4,0.0,1009,35,10,229,13,Idaho
2022-09-02 21:00:00,37,14,0.0,11.6,7,42,01:50 PM,11:12 PM,06:53 AM,08:01 PM,-16,22,22,22,21,0,7,0.0,1013,22,10,179,10,Idaho
2022-09-03 00:00:00,40,15,0.0,11.6,7,49,03:05 PM,11:53 PM,06:54 AM,08:00 PM,-10,19,19,19,14,0,13,0.0,1014,19,10,101,6,Idaho
2022-09-03 03:00:00,40,15,0.0,11.6,7,49,03:05 PM,11:53 PM,06:54 AM,08:00 PM,-10,17,17,17,10,0,16,0.0,1015,17,10,81,5,Idaho
2022-09-03 06:00:00,40,15,0.0,11.6,7,49,03:05 PM,11:53 PM,06:54 AM,08:00 PM,-8,15,15,15,14,0,20,0.0,1017,15,10,60,6,Idaho
2022-09-03 09:00:00,40,15,0.0,11.6,7,49,03:05 PM,11:53 PM,06:54 AM,08:00 PM,-7,22,22,22,12,0,14,0.0,1016,22,10,34,8,Idaho
2022-09-03 12:00:00,40,15,0.0,11.6,7,49,03:05 PM,11:53 PM,06:54 AM,08:00 PM,-6,34,34,36,11,0,6,0.0,1013,36,10,261,10,Idaho
2022-09-03 15:00:00,40,15,0.0,11.6,7,49,03:05 PM,11:53 PM,06:54 AM,08:00 PM,-7,39,39,40,19,5,5,0.0,1009,40,10,233,16,Idaho
2022-09-03 18:00:00,40,15,0.0,11.6,7,49,03:05 PM,11:53 PM,06:54 AM,08:00 PM,-6,36,36,37,27,4,6,0.0,1008,37,10,258,24,Idaho
2022-09-03 21:00:00,40,15,0.0,11.6,7,49,03:05 PM,11:53 PM,06:54 AM,08:00 PM,-4,24,24,25,16,12,15,0.0,1010,25,10,279,8,Idaho
2022-09-04 00:00:00,38,18,0.0,11.6,8,56,04:18 PM,No moonset,06:55 AM,07:58 PM,-5,22,22,22,26,0,16,0.0,1012,22,10,200,12,Idaho
