date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,32,18,0.0,11.6,7,35,12:01 PM,10:18 PM,06:30 AM,07:37 PM,10,21,21,21,22,5,50,0.0,1015,21,10,134,10,Illinois
2022-09-01 03:00:00,32,18,0.0,11.6,7,35,12:01 PM,10:18 PM,06:30 AM,07:37 PM,10,19,19,19,9,7,55,0.0,1015,19,10,185,4,Illinois
2022-09-01 06:00:00,32,18,0.0,11.6,7,35,12:01 PM,10:18 PM,06:30 AM,07:37 PM,9,18,18,18,14,9,55,0.0,1015,18,10,182,7,Illinois
2022-09-01 09:00:00,32,18,0.0,11.6,7,35,12:01 PM,10:18 PM,06:30 AM,07:37 PM,11,25,25,24,15,9,43,0.0,1016,24,10,205,13,Illinois
2022-09-01 12:00:00,32,18,0.0,11.6,7,35,12:01 PM,10:18 PM,06:30 AM,07:37 PM,15,32,32,32,19,17,35,0.0,1016,32,10,236,16,Illinois
2022-09-01 15:00:00,32,18,0.0,11.6,7,35,12:01 PM,10:18 PM,06:30 AM,07:37 PM,14,29,29,29,19,22,40,0.0,1015,29,10,257,17,Illinois
2022-09-01 18:00:00,32,18,0.0,11.6,7,35,12:01 PM,10:18 PM,06:30 AM,07:37 PM,14,28,28,28,9,16,42,0.0,1014,28,10,172,6,Illinois
2022-09-01 21:00:00,32,18,0.0,11.6,7,35,12:01 PM,10:18 PM,06:30 AM,07:37 PM,11,26,26,25,26,14,40,0.0,1014,25,10,160,13,Illinois
2022-09-02 00:00:00,35,20,0.0,11.6,7,42,01:14 PM,10:52 PM,06:31 AM,07:35 PM,13,27,27,26,38,8,44,0.0,1013,26,10,192,23,Illinois
2022-09-02 03:00:00,35,20,0.0,11.6,7,42,01:14 PM,10:52 PM,06:31 AM,07:35 PM,13,25,25,24,34,10,52,0.0,1012,24,10,195,19,Illinois
2022-09-02 06:00:00,35,20,0.0,11.6,7,42,01:14 PM,10:52 PM,06:31 AM,07:35 PM,13,20,20,20,31,7,63,0.0,1013,20,10,185,15,Illinois
2022-09-02 09:00:00,35,20,0.0,11.6,7,42,01:14 PM,10:52 PM,06:31 AM,07:35 PM,16,26,26,25,22,19,56,0.0,1014,25,10,207,19,Illinois
2022-09-02 12:00:00,35,20,0.0,11.6,7,42,01:14 PM,10:52 PM,06:31 AM,07:35 PM,17,34,34,33,22,18,37,0.0,1013,33,10,224,19,Illinois
2022-09-02 15:00:00,35,20,0.0,11.6,7,42,01:14 PM,10:52 PM,06:31 AM,07:35 PM,14,35,35,35,27,18,29,0.0,1012,35,10,204,23,Illinois
2022-09-02 18:00:00,35,20,0.0,11.6,7,42,01:14 PM,10:52 PM,06:31 AM,07:35 PM,12,33,33,33,27,22,27,0.0,1011,33,10,197,23,Illinois
2022-09-02 21:00:00,35,20,0.0,11.6,7,42,01:14 PM,10:52 PM,06:31 AM,07:35 PM,16,25,25,23,27,82,67,0.3,1015,23,9,226,13,Illinois
2022-09-03 00:00:00,34,17,0.0,11.6,6,49,02:28 PM,11:34 PM,06:32 AM,07:33 PM,17,19,19,19,36,71,86,0.2,1016,19,10,208,17,Illinois
2022-09-03 03:00:00,34,17,0.0,11.6,6,49,02:28 PM,11:34 PM,06:32 AM,07:33 PM,16,18,18,18,23,70,86,0.1,1016,18,10,245,11,Illinois
2022-09-03 06:00:00,34,17,0.0,11.6,6,49,02:28 PM,11:34 PM,06:32 AM,07:33 PM,14,17,17,17,23,12,85,0.0,1017,17,10,215,11,Illinois
2022-09-03 09:00:00,34,17,0.0,11.6,6,49,02:28 PM,11:34 PM,06:32 AM,07:33 PM,15,25,25,22,12,10,65,0.0,1018,22,10,243,9,Illinois
2022-09-03 12:00:00,34,17,0.0,11.6,6,49,02:28 PM,11:34 PM,06:32 AM,07:33 PM,16,34,34,33,8,10,37,0.0,1018,33,10,269,7,Illinois
2022-09-03 15:00:00,34,17,0.0,11.6,6,49,02:28 PM,11:34 PM,06:32 AM,07:33 PM,14,34,34,34,8,18,31,0.0,1016,34,10,13,7,Illinois
2022-09-03 18:00:00,34,17,0.0,11.6,6,49,02:28 PM,11:34 PM,06:32 AM,07:33 PM,18,30,30,29,31,17,50,0.0,1016,29,10,37,23,Illinois
