date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,35,18,0.0,11.6,7,35,12:38 PM,11:03 PM,07:13 AM,08:16 PM,11,21,21,21,12,3,53,0.0,1017,21,10,285,6,Indiana
2022-09-01 03:00:00,35,18,0.0,11.6,7,35,12:38 PM,11:03 PM,07:13 AM,08:16 PM,11,20,20,20,8,4,58,0.0,1016,20,10,218,4,Indiana
2022-09-01 06:00:00,35,18,0.0,11.6,7,35,12:38 PM,11:03 PM,07:13 AM,08:16 PM,11,18,18,18,12,7,63,0.0,1017,18,10,291,6,Indiana
2022-09-01 09:00:00,35,18,0.0,11.6,7,35,12:38 PM,11:03 PM,07:13 AM,08:16 PM,11,21,21,21,3,7,54,0.0,1019,21,10,267,2,Indiana
2022-09-01 12:00:00,35,18,0.0,11.6,7,35,12:38 PM,11:03 PM,07:13 AM,08:16 PM,15,31,31,31,6,7,37,0.0,1018,31,10,208,5,Indiana
2022-09-01 15:00:00,35,18,0.0,11.6,7,35,12:38 PM,11:03 PM,07:13 AM,08:16 PM,14,35,35,35,5,13,30,0.0,1016,35,10,237,5,Indiana
2022-09-01 18:00:00,35,18,0.0,11.6,7,35,12:38 PM,11:03 PM,07:13 AM,08:16 PM,13,32,32,32,6,11,30,0.0,1016,32,10,294,6,Indiana
2022-09-01 21:00:00,35,18,0.0,11.6,7,35,12:38 PM,11:03 PM,07:13 AM,08:16 PM,14,27,27,26,6,13,48,0.0,1017,26,10,106,3,Indiana
2022-09-02 00:00:00,34,20,0.0,11.6,7,42,01:50 PM,11:38 PM,07:14 AM,08:14 PM,14,25,25,23,13,7,57,0.0,1016,23,10,184,6,Indiana
2022-09-02 03:00:00,34,20,0.0,11.6,7,42,01:50 PM,11:38 PM,07:14 AM,08:14 PM,14,21,25,21,17,12,63,0.0,1016,21,10,155,8,Indiana
2022-09-02 06:00:00,34,20,0.0,11.6,7,42,01:50 PM,11:38 PM,07:14 AM,08:14 PM,14,20,20,20,13,23,67,0.0,1017,20,10,165,6,Indiana
2022-09-02 09:00:00,34,20,0.0,11.6,7,42,01:50 PM,11:38 PM,07:14 AM,08:14 PM,14,22,25,22,13,18,61,0.0,1018,22,10,146,8,Indiana
2022-09-02 12:00:00,34,20,0.0,11.6,7,42,01:50 PM,11:38 PM,07:14 AM,08:14 PM,18,32,32,31,14,10,44,0.0,1018,31,10,143,12,Indiana
2022-09-02 15:00:00,34,20,0.0,11.6,7,42,01:50 PM,11:38 PM,07:14 AM,08:14 PM,17,35,35,34,18,6,36,0.0,1017,34,10,151,16,Indiana
2022-09-02 18:00:00,34,20,0.0,11.6,7,42,01:50 PM,11:38 PM,07:14 AM,08:14 PM,15,32,32,32,15,6,36,0.0,1016,32,10,145,13,Indiana
2022-09-02 21:00:00,34,20,0.0,11.6,7,42,01:50 PM,11:38 PM,07:14 AM,08:14 PM,16,27,27,26,18,19,56,0.0,1017,26,10,127,9,Indiana
2022-09-03 00:00:00,33,22,0.0,11.6,7,49,03:02 PM,No moonset,07:15 AM,08:12 PM,17,25,25,22,14,49,70,0.0,1017,22,10,211,6,Indiana
2022-09-03 03:00:00,33,22,0.0,11.6,7,49,03:02 PM,No moonset,07:15 AM,08:12 PM,17,25,25,22,14,47,71,0.0,1018,22,10,211,7,Indiana
2022-09-03 06:00:00,33,22,0.0,11.6,7,49,03:02 PM,No moonset,07:15 AM,08:12 PM,16,22,25,22,9,26,72,0.0,1018,22,10,200,5,Indiana
2022-09-03 09:00:00,33,22,0.0,11.6,7,49,03:02 PM,No moonset,07:15 AM,08:12 PM,16,25,25,23,6,22,67,0.0,1020,23,10,123,4,Indiana
2022-09-03 12:00:00,33,22,0.0,11.6,7,49,03:02 PM,No moonset,07:15 AM,08:12 PM,19,34,34,32,11,9,47,0.0,1020,32,10,132,9,Indiana
2022-09-03 15:00:00,33,22,0.0,11.6,7,49,03:02 PM,No moonset,07:15 AM,08:12 PM,19,35,35,33,13,8,45,0.0,1019,33,10,129,11,Indiana
2022-09-03 18:00:00,33,22,0.0,11.6,7,49,03:02 PM,No moonset,07:15 AM,08:12 PM,16,31,31,31,14,17,43,0.0,1017,31,10,97,12,Indiana
2022-09-03 21:00:00,33,22,0.0,11.6,7,49,03:02 PM,No moonset,07:15 AM,08:12 PM,20,22,24,22,17,87,88,0.3,1019,22,5,207,8,Indiana
2022-09-04 00:00:00,27,19,0.0,7.8,6,56,04:13 PM,12:20 AM,07:16 AM,08:11 PM,20,21,24,21,14,30,90,0.0,1020,21,10,118,8,Indiana
2022-09-04 03:00:00,27,19,0.0,7.8,6,56,04:13 PM,12:20 AM,07:16 AM,08:11 PM,19,20,20,20,12,47,95,0.0,1019,20,2,102,7,Indiana
2022-09-04 06:00:00,27,19,0.0,7.8,6,56,04:13 PM,12:20 AM,07:16 AM,08:11 PM,18,19,19,19,12,48,96,0.0,1019,19,2,82,7,Indiana
2022-09-04 09:00:00,27,19,0.0,7.8,6,56,04:13 PM,12:20 AM,07:16 AM,08:11 PM,19,21,21,21,13,55,91,0.0,1020,21,10,80,9,Indiana
2022-09-04 12:00:00,27,19,0.0,7.8,6,56,04:13 PM,12:20 AM,07:16 AM,08:11 PM,19,27,27,25,13,87,72,0.0,1019,25,10,99,11,Indiana
2022-09-04 15:00:00,27,19,0.0,7.8,6,56,04:13 PM,12:20 AM,07:16 AM,08:11 PM,20,28,28,27,11,84,65,0.1,1017,27,10,107,9,Indiana
2022-09-04 18:00:00,27,19,0.0,7.8,6,56,04:13 PM,12:20 AM,07:16 AM,08:11 PM,19,29,29,27,12,78,61,0.1,1016,27,10,75,9,Indiana
2022-09-04 21:00:00,27,19,0.0,7.8,6,56,04:13 PM,12:20 AM,07:16 AM,08:11 PM,19,25,25,23,13,13,81,0.0,1016,23,10,104,7,Indiana
2022-09-05 00:00:00,24,20,0.0,6.5,6,62,05:19 PM,01:14 AM,07:17 AM,08:09 PM,19,22,24,22,13,29,82,0.0,1016,22,10,107,8,Indiana
2022-09-05 03:00:00,24,20,0.0,6.5,6,62,05:19 PM,01:14 AM,07:17 AM,08:09 PM,19,21,21,21,9,37,87,0.0,1016,21,10,112,5,Indiana
2022-09-05 06:00:00,24,20,0.0,6.5,6,62,05:19 PM,01:14 AM,07:17 AM,08:09 PM,18,20,20,20,10,37,90,0.0,1016,20,10,103,6,Indiana
2022-09-05 09:00:00,24,20,0.0,6.5,6,62,05:19 PM,01:14 AM,07:17 AM,08:09 PM,19,21,21,21,12,96,88,0.2,1017,21,10,112,9,Indiana
2022-09-05 12:00:00,24,20,0.0,6.5,6,62,05:19 PM,01:14 AM,07:17 AM,08:09 PM,20,25,25,23,10,100,81,0.1,1018,23,10,172,9,Indiana
2022-09-05 15:00:00,24,20,0.0,6.5,6,62,05:19 PM,01:14 AM,07:17 AM,08:09 PM,19,26,26,24,10,93,72,0.1,1017,24,10,165,8,Indiana
2022-09-05 18:00:00,24,20,0.0,6.5,6,62,05:19 PM,01:14 AM,07:17 AM,08:09 PM,20,25,25,23,14,77,84,0.2,1016,23,9,155,10,Indiana
2022-09-05 21:00:00,24,20,0.0,6.5,6,62,05:19 PM,01:14 AM,07:17 AM,08:09 PM,19,21,21,21,12,54,94,0.0,1017,21,10,151,6,Indiana
2022-09-06 00:00:00,22,19,0.0,6.5,5,69,06:14 PM,02:19 AM,07:18 AM,08:08 PM,19,20,20,20,12,60,95,0.0,1017,20,2,135,7,Indiana
2022-09-06 03:00:00,22,19,0.0,6.5,5,69,06:14 PM,02:19 AM,07:18 AM,08:08 PM,18,19,19,19,11,57,95,0.0,1017,19,2,151,6,Indiana
2022-09-06 06:00:00,22,19,0.0,6.5,5,69,06:14 PM,02:19 AM,07:18 AM,08:08 PM,18,19,19,19,11,56,94,0.0,1017,19,10,123,6,Indiana
2022-09-06 09:00:00,22,19,0.0,6.5,5,69,06:14 PM,02:19 AM,07:18 AM,08:08 PM,18,20,20,20,9,65,88,0.1,1019,20,10,126,6,Indiana
2022-09-06 12:00:00,22,19,0.0,6.5,5,69,06:14 PM,02:19 AM,07:18 AM,08:08 PM,19,25,25,22,10,100,83,0.0,1019,22,10,145,8,Indiana
2022-09-06 15:00:00,22,19,0.0,6.5,5,69,06:14 PM,02:19 AM,07:18 AM,08:08 PM,20,22,24,22,6,86,90,0.3,1018,22,2,184,4,Indiana
2022-09-06 18:00:00,22,19,0.0,6.5,5,69,06:14 PM,02:19 AM,07:18 AM,08:08 PM,20,21,21,21,5,100,97,0.5,1018,21,2,91,3,Indiana
2022-09-06 21:00:00,22,19,0.0,6.5,5,69,06:14 PM,02:19 AM,07:18 AM,08:08 PM,20,20,20,20,9,100,98,0.7,1018,20,2,61,6,Indiana
2022-09-07 00:00:00,31,19,0.0,11.6,7,76,07:00 PM,03:33 AM,07:19 AM,08:06 PM,18,22,24,22,15,34,82,0.0,1018,22,10,31,8,Indiana
2022-09-07 03:00:00,31,19,0.0,11.6,7,76,07:00 PM,03:33 AM,07:19 AM,08:06 PM,19,21,24,21,15,15,86,0.0,1017,21,10,47,10,Indiana
2022-09-07 06:00:00,31,19,0.0,11.6,7,76,07:00 PM,03:33 AM,07:19 AM,08:06 PM,17,19,19,19,15,33,90,0.0,1018,19,10,35,10,Indiana
2022-09-07 09:00:00,31,19,0.0,11.6,7,76,07:00 PM,03:33 AM,07:19 AM,08:06 PM,16,20,20,20,16,7,80,0.0,1019,20,10,53,12,Indiana
2022-09-07 12:00:00,31,19,0.0,11.6,7,76,07:00 PM,03:33 AM,07:19 AM,08:06 PM,17,29,29,28,17,2,50,0.0,1019,28,10,52,15,Indiana
2022-09-07 15:00:00,31,19,0.0,11.6,7,76,07:00 PM,03:33 AM,07:19 AM,08:06 PM,16,32,32,31,17,13,40,0.0,1017,31,10,46,15,Indiana
2022-09-07 18:00:00,31,19,0.0,11.6,7,76,07:00 PM,03:33 AM,07:19 AM,08:06 PM,14,28,28,28,17,32,41,0.0,1016,28,10,57,14,Indiana
2022-09-07 21:00:00,31,19,0.0,11.6,7,76,07:00 PM,03:33 AM,07:19 AM,08:06 PM,15,25,25,22,20,5,62,0.0,1017,22,10,78,10,Indiana
2022-09-08 00:00:00,31,17,0.0,11.6,6,83,07:37 PM,04:50 AM,07:19 AM,08:04 PM,13,20,20,20,14,0,65,0.0,1016,20,10,34,6,Indiana
2022-09-08 03:00:00,31,17,0.0,11.6,6,83,07:37 PM,04:50 AM,07:19 AM,08:04 PM,9,18,18,18,16,0,58,0.0,1016,18,10,54,8,Indiana
2022-09-08 06:00:00,31,17,0.0,11.6,6,83,07:37 PM,04:50 AM,07:19 AM,08:04 PM,8,17,17,17,14,0,59,0.0,1016,17,10,66,7,Indiana
2022-09-08 09:00:00,31,17,0.0,11.6,6,83,07:37 PM,04:50 AM,07:19 AM,08:04 PM,10,18,18,18,8,0,59,0.0,1017,18,10,67,5,Indiana
2022-09-08 12:00:00,31,17,0.0,11.6,6,83,07:37 PM,04:50 AM,07:19 AM,08:04 PM,12,26,26,26,8,0,41,0.0,1016,26,10,66,6,Indiana
2022-09-08 15:00:00,31,17,0.0,11.6,6,83,07:37 PM,04:50 AM,07:19 AM,08:04 PM,13,30,30,31,10,0,34,0.0,1014,31,10,69,9,Indiana
2022-09-08 18:00:00,31,17,0.0,11.6,6,83,07:37 PM,04:50 AM,07:19 AM,08:04 PM,13,28,28,28,12,0,39,0.0,1012,28,10,88,10,Indiana
2022-09-08 21:00:00,31,17,0.0,11.6,6,83,07:37 PM,04:50 AM,07:19 AM,08:04 PM,14,22,25,22,17,0,64,0.0,1012,22,10,99,8,Indiana
