date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,33,18,0.0,10.3,7,35,12:05 PM,10:20 PM,06:32 AM,07:39 PM,11,21,24,21,25,5,52,0.0,1015,21,10,92,12,Iowa
2022-09-01 03:00:00,33,18,0.0,10.3,7,35,12:05 PM,10:20 PM,06:32 AM,07:39 PM,11,19,19,19,24,8,58,0.0,1015,19,10,71,12,Iowa
2022-09-01 06:00:00,33,18,0.0,10.3,7,35,12:05 PM,10:20 PM,06:32 AM,07:39 PM,10,18,18,18,23,10,59,0.0,1015,18,10,120,11,Iowa
2022-09-01 09:00:00,33,18,0.0,10.3,7,35,12:05 PM,10:20 PM,06:32 AM,07:39 PM,10,25,25,23,5,22,42,0.0,1016,23,10,92,4,Iowa
2022-09-01 12:00:00,33,18,0.0,10.3,7,35,12:05 PM,10:20 PM,06:32 AM,07:39 PM,16,26,26,24,18,86,60,0.1,1016,24,10,242,13,Iowa
2022-09-01 15:00:00,33,18,0.0,10.3,7,35,12:05 PM,10:20 PM,06:32 AM,07:39 PM,15,29,29,29,13,47,45,0.0,1014,29,10,199,10,Iowa
2022-09-01 18:00:00,33,18,0.0,10.3,7,35,12:05 PM,10:20 PM,06:32 AM,07:39 PM,9,31,31,33,12,49,23,0.0,1013,33,10,190,9,Iowa
2022-09-01 21:00:00,33,18,0.0,10.3,7,35,12:05 PM,10:20 PM,06:32 AM,07:39 PM,10,25,25,25,16,12,38,0.0,1013,25,10,165,8,Iowa
2022-09-02 00:00:00,36,19,0.0,9.1,7,42,01:18 PM,10:53 PM,06:33 AM,07:38 PM,10,26,26,26,45,8,37,0.0,1012,26,10,186,23,Iowa
2022-09-02 03:00:00,36,19,0.0,9.1,7,42,01:18 PM,10:53 PM,06:33 AM,07:38 PM,11,25,25,23,32,8,49,0.0,1012,23,10,187,16,Iowa
2022-09-02 06:00:00,36,19,0.0,9.1,7,42,01:18 PM,10:53 PM,06:33 AM,07:38 PM,13,19,19,19,24,21,69,0.0,1013,19,10,201,12,Iowa
2022-09-02 09:00:00,36,19,0.0,9.1,7,42,01:18 PM,10:53 PM,06:33 AM,07:38 PM,18,26,26,24,25,72,67,0.1,1013,24,10,207,21,Iowa
2022-09-02 12:00:00,36,19,0.0,9.1,7,42,01:18 PM,10:53 PM,06:33 AM,07:38 PM,16,34,34,33,29,29,35,0.0,1012,33,9,216,25,Iowa
2022-09-02 15:00:00,36,19,0.0,9.1,7,42,01:18 PM,10:53 PM,06:33 AM,07:38 PM,13,36,36,36,27,28,25,0.0,1011,36,9,207,24,Iowa
