date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,8,21,21,21,41,32,42,0.0,1017,21,10,33,25,Kentucky
2022-09-01 03:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,7,18,18,18,50,6,49,0.0,1017,18,10,51,24,Kentucky
2022-09-01 06:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,8,16,16,16,39,10,61,0.0,1017,16,10,49,19,Kentucky
2022-09-01 09:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,6,19,19,19,37,6,42,0.0,1017,19,10,25,27,Kentucky
2022-09-01 12:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,7,26,26,27,30,6,28,0.0,1015,27,10,354,26,Kentucky
2022-09-01 15:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,5,29,29,32,42,7,19,0.0,1011,32,10,305,37,Kentucky
2022-09-01 18:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,4,26,26,27,30,2,23,0.0,1012,27,10,245,26,Kentucky
2022-09-01 21:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,3,20,20,20,30,0,32,0.0,1015,20,10,199,16,Kentucky
2022-09-02 00:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,6,20,20,20,21,0,39,0.0,1015,20,10,180,11,Kentucky
2022-09-02 03:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,3,16,16,16,12,2,41,0.0,1015,16,10,236,6,Kentucky
2022-09-02 06:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,3,15,14,15,10,1,44,0.0,1015,14,10,351,5,Kentucky
2022-09-02 09:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,3,20,20,20,15,2,32,0.0,1016,20,10,11,11,Kentucky
2022-09-02 12:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,4,25,25,27,26,2,23,0.0,1014,27,10,338,22,Kentucky
2022-09-02 15:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,5,28,28,31,41,2,19,0.0,1011,31,10,282,36,Kentucky
