date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,12,20,20,20,24,2,61,0.0,1016,20,10,176,12,Louisiana
2022-09-01 03:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,12,19,19,19,18,6,67,0.0,1016,19,10,204,9,Louisiana
2022-09-01 06:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,12,18,18,18,10,7,68,0.0,1017,18,10,203,5,Louisiana
2022-09-01 09:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,13,25,25,23,15,21,53,0.0,1017,23,10,195,11,Louisiana
2022-09-01 12:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,13,29,29,29,14,32,37,0.0,1017,29,10,187,12,Louisiana
2022-09-01 15:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,13,31,31,32,8,45,31,0.0,1015,32,10,196,6,Louisiana
2022-09-01 18:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,15,31,31,30,13,45,39,0.0,1014,30,10,126,8,Louisiana
2022-09-01 21:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,15,25,25,24,34,40,59,0.0,1015,24,10,131,16,Louisiana
2022-09-02 00:00:00,31,19,0.0,11.6,7,42,01:09 PM,10:58 PM,06:33 AM,07:34 PM,13,25,25,22,23,4,57,0.0,1015,22,10,180,11,Louisiana
2022-09-02 03:00:00,31,19,0.0,11.6,7,42,01:09 PM,10:58 PM,06:33 AM,07:34 PM,13,20,20,20,21,18,63,0.0,1014,20,10,184,10,Louisiana
2022-09-02 06:00:00,31,19,0.0,11.6,7,42,01:09 PM,10:58 PM,06:33 AM,07:34 PM,15,19,19,19,18,5,77,0.0,1014,19,10,186,9,Louisiana
2022-09-02 09:00:00,31,19,0.0,11.6,7,42,01:09 PM,10:58 PM,06:33 AM,07:34 PM,17,26,26,25,11,50,62,0.0,1015,25,10,225,9,Louisiana
2022-09-02 12:00:00,31,19,0.0,11.6,7,42,01:09 PM,10:58 PM,06:33 AM,07:34 PM,17,30,30,30,13,48,46,0.0,1015,30,10,220,11,Louisiana
2022-09-02 15:00:00,31,19,0.0,11.6,7,42,01:09 PM,10:58 PM,06:33 AM,07:34 PM,15,31,31,31,19,29,37,0.0,1014,31,10,225,17,Louisiana
2022-09-02 18:00:00,31,19,0.0,11.6,7,42,01:09 PM,10:58 PM,06:33 AM,07:34 PM,17,26,26,24,22,33,64,0.0,1015,24,10,201,17,Louisiana
2022-09-02 21:00:00,31,19,0.0,11.6,7,42,01:09 PM,10:58 PM,06:33 AM,07:34 PM,16,21,21,21,9,19,75,0.0,1016,21,10,297,4,Louisiana
2022-09-03 00:00:00,34,18,0.0,11.6,7,49,02:22 PM,11:42 PM,06:34 AM,07:32 PM,15,19,19,19,13,5,76,0.0,1017,19,10,217,6,Louisiana
2022-09-03 03:00:00,34,18,0.0,11.6,7,49,02:22 PM,11:42 PM,06:34 AM,07:32 PM,14,19,19,19,13,20,76,0.0,1016,19,10,195,6,Louisiana
2022-09-03 06:00:00,34,18,0.0,11.6,7,49,02:22 PM,11:42 PM,06:34 AM,07:32 PM,14,18,18,18,5,14,76,0.0,1017,18,10,200,2,Louisiana
2022-09-03 09:00:00,34,18,0.0,11.6,7,49,02:22 PM,11:42 PM,06:34 AM,07:32 PM,14,26,26,24,3,11,54,0.0,1018,24,10,142,3,Louisiana
2022-09-03 12:00:00,34,18,0.0,11.6,7,49,02:22 PM,11:42 PM,06:34 AM,07:32 PM,15,33,33,33,14,8,35,0.0,1018,33,10,111,12,Louisiana
2022-09-03 15:00:00,34,18,0.0,11.6,7,49,02:22 PM,11:42 PM,06:34 AM,07:32 PM,15,35,35,34,17,12,32,0.0,1016,34,10,95,15,Louisiana
2022-09-03 18:00:00,34,18,0.0,11.6,7,49,02:22 PM,11:42 PM,06:34 AM,07:32 PM,16,32,32,32,17,9,38,0.0,1016,32,10,93,15,Louisiana
2022-09-03 21:00:00,34,18,0.0,11.6,7,49,02:22 PM,11:42 PM,06:34 AM,07:32 PM,18,26,26,24,26,6,71,0.0,1017,24,10,105,12,Louisiana
2022-09-04 00:00:00,32,18,0.0,11.6,7,56,03:33 PM,No moonset,06:35 AM,07:31 PM,19,21,21,21,21,13,89,0.0,1018,21,10,93,10,Louisiana
2022-09-04 03:00:00,32,18,0.0,11.6,7,56,03:33 PM,No moonset,06:35 AM,07:31 PM,18,19,19,19,15,10,95,0.0,1017,19,2,71,7,Louisiana
2022-09-04 06:00:00,32,18,0.0,11.6,7,56,03:33 PM,No moonset,06:35 AM,07:31 PM,18,18,18,18,17,25,96,0.0,1018,18,2,45,8,Louisiana
2022-09-04 09:00:00,32,18,0.0,11.6,7,56,03:33 PM,No moonset,06:35 AM,07:31 PM,18,25,25,23,15,22,73,0.0,1019,23,10,72,13,Louisiana
2022-09-04 12:00:00,32,18,0.0,11.6,7,56,03:33 PM,No moonset,06:35 AM,07:31 PM,20,35,35,32,19,14,48,0.0,1017,32,10,90,16,Louisiana
2022-09-04 15:00:00,32,18,0.0,11.6,7,56,03:33 PM,No moonset,06:35 AM,07:31 PM,17,33,33,32,22,60,41,0.0,1015,32,10,102,19,Louisiana
2022-09-04 18:00:00,32,18,0.0,11.6,7,56,03:33 PM,No moonset,06:35 AM,07:31 PM,17,30,30,30,22,44,48,0.0,1015,30,10,110,15,Louisiana
2022-09-04 21:00:00,32,18,0.0,11.6,7,56,03:33 PM,No moonset,06:35 AM,07:31 PM,18,26,26,24,23,14,69,0.0,1015,24,10,122,11,Louisiana
2022-09-05 00:00:00,29,19,0.0,9.0,6,62,04:37 PM,12:36 AM,06:36 AM,07:29 PM,18,21,24,21,14,19,83,0.0,1015,21,10,110,7,Louisiana
2022-09-05 03:00:00,29,19,0.0,9.0,6,62,04:37 PM,12:36 AM,06:36 AM,07:29 PM,18,20,20,20,21,17,92,0.0,1014,20,10,74,10,Louisiana
2022-09-05 06:00:00,29,19,0.0,9.0,6,62,04:37 PM,12:36 AM,06:36 AM,07:29 PM,18,19,19,19,22,23,95,0.0,1014,19,2,79,11,Louisiana
2022-09-05 09:00:00,29,19,0.0,9.0,6,62,04:37 PM,12:36 AM,06:36 AM,07:29 PM,19,25,25,23,11,47,80,0.0,1015,23,10,100,9,Louisiana
2022-09-05 12:00:00,29,19,0.0,9.0,6,62,04:37 PM,12:36 AM,06:36 AM,07:29 PM,19,30,30,28,15,53,56,0.0,1016,28,10,117,13,Louisiana
2022-09-05 15:00:00,29,19,0.0,9.0,6,62,04:37 PM,12:36 AM,06:36 AM,07:29 PM,19,30,30,29,21,89,56,0.3,1014,29,9,109,17,Louisiana
2022-09-05 18:00:00,29,19,0.0,9.0,6,62,04:37 PM,12:36 AM,06:36 AM,07:29 PM,21,27,27,25,22,76,77,0.3,1014,25,9,136,16,Louisiana
2022-09-05 21:00:00,29,19,0.0,9.0,6,62,04:37 PM,12:36 AM,06:36 AM,07:29 PM,20,21,21,21,20,28,96,0.0,1016,21,2,122,11,Louisiana
2022-09-06 00:00:00,29,19,0.0,7.7,5,69,05:33 PM,01:41 AM,06:37 AM,07:27 PM,19,20,20,20,17,72,95,0.8,1015,20,9,67,8,Louisiana
2022-09-06 03:00:00,29,19,0.0,7.7,5,69,05:33 PM,01:41 AM,06:37 AM,07:27 PM,19,20,20,20,13,35,97,0.0,1015,20,2,62,7,Louisiana
2022-09-06 06:00:00,29,19,0.0,7.7,5,69,05:33 PM,01:41 AM,06:37 AM,07:27 PM,19,19,19,19,14,100,97,0.0,1016,19,0,27,7,Louisiana
2022-09-06 09:00:00,29,19,0.0,7.7,5,69,05:33 PM,01:41 AM,06:37 AM,07:27 PM,20,25,25,22,12,52,90,0.0,1017,22,10,42,10,Louisiana
2022-09-06 12:00:00,29,19,0.0,7.7,5,69,05:33 PM,01:41 AM,06:37 AM,07:27 PM,21,29,29,27,13,70,70,0.2,1017,27,10,63,10,Louisiana
2022-09-06 15:00:00,29,19,0.0,7.7,5,69,05:33 PM,01:41 AM,06:37 AM,07:27 PM,20,31,31,29,12,76,60,0.4,1015,29,9,44,9,Louisiana
2022-09-06 18:00:00,29,19,0.0,7.7,5,69,05:33 PM,01:41 AM,06:37 AM,07:27 PM,21,27,27,25,17,69,80,0.5,1016,25,10,40,10,Louisiana
2022-09-06 21:00:00,29,19,0.0,7.7,5,69,05:33 PM,01:41 AM,06:37 AM,07:27 PM,20,22,24,22,23,78,93,1.3,1017,22,10,90,12,Louisiana
2022-09-07 00:00:00,34,19,0.0,11.6,7,76,06:19 PM,02:55 AM,06:38 AM,07:26 PM,18,21,24,21,13,17,83,0.0,1018,21,10,103,6,Louisiana
2022-09-07 03:00:00,34,19,0.0,11.6,7,76,06:19 PM,02:55 AM,06:38 AM,07:26 PM,18,19,19,19,14,8,91,0.0,1018,19,10,90,7,Louisiana
2022-09-07 06:00:00,34,19,0.0,11.6,7,76,06:19 PM,02:55 AM,06:38 AM,07:26 PM,17,19,19,19,12,0,92,0.0,1018,19,10,78,6,Louisiana
2022-09-07 09:00:00,34,19,0.0,11.6,7,76,06:19 PM,02:55 AM,06:38 AM,07:26 PM,18,26,26,24,12,0,68,0.0,1020,24,10,56,10,Louisiana
2022-09-07 12:00:00,34,19,0.0,11.6,7,76,06:19 PM,02:55 AM,06:38 AM,07:26 PM,17,34,34,33,16,0,39,0.0,1019,33,10,51,14,Louisiana
2022-09-07 15:00:00,34,19,0.0,11.6,7,76,06:19 PM,02:55 AM,06:38 AM,07:26 PM,12,34,34,34,15,7,27,0.0,1017,34,10,63,13,Louisiana
2022-09-07 18:00:00,34,19,0.0,11.6,7,76,06:19 PM,02:55 AM,06:38 AM,07:26 PM,12,31,31,32,18,6,30,0.0,1016,32,10,98,15,Louisiana
2022-09-07 21:00:00,34,19,0.0,11.6,7,76,06:19 PM,02:55 AM,06:38 AM,07:26 PM,16,25,25,23,24,3,67,0.0,1017,23,10,138,12,Louisiana
2022-09-08 00:00:00,34,17,0.0,11.6,7,83,06:56 PM,04:12 AM,06:39 AM,07:24 PM,14,19,19,19,13,0,71,0.0,1016,19,10,100,6,Louisiana
2022-09-08 03:00:00,34,17,0.0,11.6,7,83,06:56 PM,04:12 AM,06:39 AM,07:24 PM,14,18,18,18,8,0,79,0.0,1016,18,10,99,4,Louisiana
2022-09-08 06:00:00,34,17,0.0,11.6,7,83,06:56 PM,04:12 AM,06:39 AM,07:24 PM,14,17,17,17,3,0,84,0.0,1016,17,10,111,1,Louisiana
2022-09-08 09:00:00,34,17,0.0,11.6,7,83,06:56 PM,04:12 AM,06:39 AM,07:24 PM,14,25,25,23,4,0,57,0.0,1016,23,10,118,4,Louisiana
2022-09-08 12:00:00,34,17,0.0,11.6,7,83,06:56 PM,04:12 AM,06:39 AM,07:24 PM,15,33,33,33,7,0,34,0.0,1014,33,10,119,6,Louisiana
2022-09-08 15:00:00,34,17,0.0,11.6,7,83,06:56 PM,04:12 AM,06:39 AM,07:24 PM,12,33,33,34,15,5,26,0.0,1011,34,10,116,13,Louisiana
2022-09-08 18:00:00,34,17,0.0,11.6,7,83,06:56 PM,04:12 AM,06:39 AM,07:24 PM,12,30,30,31,22,0,32,0.0,1010,31,10,119,18,Louisiana
2022-09-08 21:00:00,34,17,0.0,11.6,7,83,06:56 PM,04:12 AM,06:39 AM,07:24 PM,15,21,24,21,29,0,70,0.0,1011,21,10,132,14,Louisiana
2022-09-09 00:00:00,32,15,0.0,11.6,7,89,07:27 PM,05:29 AM,06:40 AM,07:23 PM,15,18,18,18,26,0,83,0.0,1011,18,10,142,12,Louisiana
2022-09-09 03:00:00,32,15,0.0,11.6,7,89,07:27 PM,05:29 AM,06:40 AM,07:23 PM,13,16,16,16,23,0,85,0.0,1011,16,10,161,11,Louisiana
2022-09-09 06:00:00,32,15,0.0,11.6,7,89,07:27 PM,05:29 AM,06:40 AM,07:23 PM,13,15,15,15,17,0,88,0.0,1012,15,10,158,8,Louisiana
2022-09-09 09:00:00,32,15,0.0,11.6,7,89,07:27 PM,05:29 AM,06:40 AM,07:23 PM,13,22,25,22,15,0,58,0.0,1012,22,10,150,13,Louisiana
2022-09-09 12:00:00,32,15,0.0,11.6,7,89,07:27 PM,05:29 AM,06:40 AM,07:23 PM,13,30,30,31,16,0,35,0.0,1011,31,10,147,14,Louisiana
2022-09-09 15:00:00,32,15,0.0,11.6,7,89,07:27 PM,05:29 AM,06:40 AM,07:23 PM,10,31,31,32,17,2,26,0.0,1010,32,10,137,15,Louisiana
2022-09-09 18:00:00,32,15,0.0,11.6,7,89,07:27 PM,05:29 AM,06:40 AM,07:23 PM,12,28,28,29,22,0,34,0.0,1010,29,10,131,18,Louisiana
2022-09-09 21:00:00,32,15,0.0,11.6,7,89,07:27 PM,05:29 AM,06:40 AM,07:23 PM,15,20,20,20,29,0,72,0.0,1012,20,10,120,14,Louisiana
2022-09-10 00:00:00,30,18,0.0,10.3,6,96,07:54 PM,06:43 AM,06:41 AM,07:21 PM,15,18,18,18,23,0,78,0.0,1013,18,10,144,11,Louisiana
2022-09-10 03:00:00,30,18,0.0,10.3,6,96,07:54 PM,06:43 AM,06:41 AM,07:21 PM,15,18,18,18,21,3,83,0.0,1013,18,10,152,10,Louisiana
2022-09-10 06:00:00,30,18,0.0,10.3,6,96,07:54 PM,06:43 AM,06:41 AM,07:21 PM,16,18,18,18,14,6,88,0.0,1014,18,10,164,7,Louisiana
2022-09-10 09:00:00,30,18,0.0,10.3,6,96,07:54 PM,06:43 AM,06:41 AM,07:21 PM,17,25,25,23,8,8,71,0.0,1015,23,10,157,6,Louisiana
2022-09-10 12:00:00,30,18,0.0,10.3,6,96,07:54 PM,06:43 AM,06:41 AM,07:21 PM,18,31,31,30,15,16,48,0.0,1015,30,10,137,13,Louisiana
2022-09-10 15:00:00,30,18,0.0,10.3,6,96,07:54 PM,06:43 AM,06:41 AM,07:21 PM,18,30,30,29,28,75,54,0.1,1014,29,10,136,24,Louisiana
2022-09-10 18:00:00,30,18,0.0,10.3,6,96,07:54 PM,06:43 AM,06:41 AM,07:21 PM,19,27,27,26,30,27,67,0.0,1014,26,10,142,24,Louisiana
2022-09-10 21:00:00,30,18,0.0,10.3,6,96,07:54 PM,06:43 AM,06:41 AM,07:21 PM,19,20,20,20,28,62,96,0.0,1015,20,10,146,17,Louisiana
2022-09-11 00:00:00,22,14,0.0,9.0,4,97,08:19 PM,07:54 AM,06:42 AM,07:19 PM,14,16,16,16,33,74,91,0.3,1016,16,9,338,21,Louisiana
2022-09-11 03:00:00,22,14,0.0,9.0,4,97,08:19 PM,07:54 AM,06:42 AM,07:19 PM,15,16,16,16,17,100,96,0.2,1017,16,10,346,11,Louisiana
2022-09-11 06:00:00,22,14,0.0,9.0,4,97,08:19 PM,07:54 AM,06:42 AM,07:19 PM,16,16,16,16,23,100,97,0.5,1017,16,10,338,16,Louisiana
2022-09-11 09:00:00,22,14,0.0,9.0,4,97,08:19 PM,07:54 AM,06:42 AM,07:19 PM,15,16,16,16,25,100,95,0.1,1019,16,10,327,18,Louisiana
2022-09-11 12:00:00,22,14,0.0,9.0,4,97,08:19 PM,07:54 AM,06:42 AM,07:19 PM,14,16,16,16,27,97,88,0.0,1020,16,10,337,21,Louisiana
2022-09-11 15:00:00,22,14,0.0,9.0,4,97,08:19 PM,07:54 AM,06:42 AM,07:19 PM,9,21,21,21,26,34,47,0.0,1019,21,10,341,23,Louisiana
2022-09-11 18:00:00,22,14,0.0,9.0,4,97,08:19 PM,07:54 AM,06:42 AM,07:19 PM,6,24,24,22,27,6,35,0.0,1018,22,10,357,24,Louisiana
2022-09-11 21:00:00,22,14,0.0,9.0,4,97,08:19 PM,07:54 AM,06:42 AM,07:19 PM,6,14,14,14,21,5,58,0.0,1019,14,10,54,10,Louisiana
2022-09-12 00:00:00,25,10,0.0,11.6,5,90,08:44 PM,09:03 AM,06:43 AM,07:18 PM,6,11,11,11,11,8,71,0.0,1017,11,10,31,5,Louisiana
2022-09-12 03:00:00,25,10,0.0,11.6,5,90,08:44 PM,09:03 AM,06:43 AM,07:18 PM,7,11,11,11,4,14,76,0.0,1016,11,10,219,2,Louisiana
2022-09-12 06:00:00,25,10,0.0,11.6,5,90,08:44 PM,09:03 AM,06:43 AM,07:18 PM,6,10,10,10,6,14,77,0.0,1015,10,10,114,3,Louisiana
2022-09-12 09:00:00,25,10,0.0,11.6,5,90,08:44 PM,09:03 AM,06:43 AM,07:18 PM,6,14,14,14,9,46,60,0.0,1014,14,10,211,7,Louisiana
2022-09-12 12:00:00,25,10,0.0,11.6,5,90,08:44 PM,09:03 AM,06:43 AM,07:18 PM,7,20,20,20,19,15,41,0.0,1013,20,10,308,17,Louisiana
2022-09-12 15:00:00,25,10,0.0,11.6,5,90,08:44 PM,09:03 AM,06:43 AM,07:18 PM,6,24,24,23,23,16,34,0.0,1011,23,10,301,20,Louisiana
2022-09-12 18:00:00,25,10,0.0,11.6,5,90,08:44 PM,09:03 AM,06:43 AM,07:18 PM,7,25,25,25,24,13,33,0.0,1009,25,10,325,20,Louisiana
2022-09-12 21:00:00,25,10,0.0,11.6,5,90,08:44 PM,09:03 AM,06:43 AM,07:18 PM,9,17,17,17,13,10,59,0.0,1011,17,10,12,6,Louisiana
2022-09-13 00:00:00,31,11,0.0,11.6,6,84,09:10 PM,10:11 AM,06:43 AM,07:16 PM,8,12,12,12,10,0,79,0.0,1012,12,10,330,5,Louisiana
2022-09-13 03:00:00,31,11,0.0,11.6,6,84,09:10 PM,10:11 AM,06:43 AM,07:16 PM,9,11,11,11,9,0,84,0.0,1012,11,10,251,4,Louisiana
2022-09-13 06:00:00,31,11,0.0,11.6,6,84,09:10 PM,10:11 AM,06:43 AM,07:16 PM,8,11,11,11,9,0,83,0.0,1013,11,10,265,4,Louisiana
2022-09-13 09:00:00,31,11,0.0,11.6,6,84,09:10 PM,10:11 AM,06:43 AM,07:16 PM,8,18,18,18,4,0,52,0.0,1014,18,10,322,4,Louisiana
2022-09-13 12:00:00,31,11,0.0,11.6,6,84,09:10 PM,10:11 AM,06:43 AM,07:16 PM,7,27,27,29,7,3,26,0.0,1014,29,10,313,6,Louisiana
2022-09-13 15:00:00,31,11,0.0,11.6,6,84,09:10 PM,10:11 AM,06:43 AM,07:16 PM,4,29,29,31,9,0,18,0.0,1012,31,10,327,8,Louisiana
2022-09-13 18:00:00,31,11,0.0,11.6,6,84,09:10 PM,10:11 AM,06:43 AM,07:16 PM,7,27,27,29,8,0,25,0.0,1013,29,10,12,5,Louisiana
2022-09-13 21:00:00,31,11,0.0,11.6,6,84,09:10 PM,10:11 AM,06:43 AM,07:16 PM,5,19,19,19,19,0,40,0.0,1015,19,10,128,9,Louisiana
2022-09-14 00:00:00,33,14,0.0,11.6,7,77,09:38 PM,11:17 AM,06:44 AM,07:14 PM,7,16,16,16,17,0,55,0.0,1016,16,10,145,8,Louisiana
2022-09-14 03:00:00,33,14,0.0,11.6,7,77,09:38 PM,11:17 AM,06:44 AM,07:14 PM,7,14,15,14,19,0,59,0.0,1016,15,10,150,9,Louisiana
2022-09-14 06:00:00,33,14,0.0,11.6,7,77,09:38 PM,11:17 AM,06:44 AM,07:14 PM,7,13,14,13,20,5,62,0.0,1018,14,10,141,9,Louisiana
2022-09-14 09:00:00,33,14,0.0,11.6,7,77,09:38 PM,11:17 AM,06:44 AM,07:14 PM,7,21,21,21,15,2,41,0.0,1019,21,10,165,12,Louisiana
