date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,31,31,28,24,46,64,0.0,1010,28,10,218,18,Maine
2022-09-01 03:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,27,27,25,25,87,80,1.0,1010,25,10,228,17,Maine
2022-09-01 06:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,22,27,27,25,23,85,80,0.5,1010,25,9,215,15,Maine
2022-09-01 09:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,30,30,28,25,15,67,0.0,1012,28,10,223,22,Maine
2022-09-01 12:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,33,33,30,20,83,58,0.2,1012,30,9,180,15,Maine
2022-09-01 15:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,20,34,34,31,18,56,53,0.0,1009,31,10,226,15,Maine
2022-09-01 18:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,32,32,30,14,19,59,0.0,1009,30,10,185,11,Maine
2022-09-01 21:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,22,30,30,27,16,48,71,0.0,1010,27,10,235,11,Maine
2022-09-02 00:00:00,32,23,0.0,8.9,7,42,11:06 AM,10:50 PM,06:01 AM,06:22 PM,20,26,26,25,22,46,76,0.0,1011,25,10,230,12,Maine
2022-09-02 03:00:00,32,23,0.0,8.9,7,42,11:06 AM,10:50 PM,06:01 AM,06:22 PM,20,26,26,24,24,46,76,0.0,1010,24,10,228,14,Maine
2022-09-02 06:00:00,32,23,0.0,8.9,7,42,11:06 AM,10:50 PM,06:01 AM,06:22 PM,19,25,25,23,26,12,80,0.0,1012,23,10,237,15,Maine
2022-09-02 09:00:00,32,23,0.0,8.9,7,42,11:06 AM,10:50 PM,06:01 AM,06:22 PM,21,28,28,26,30,72,74,0.0,1014,26,10,237,25,Maine
2022-09-02 12:00:00,32,23,0.0,8.9,7,42,11:06 AM,10:50 PM,06:01 AM,06:22 PM,21,35,35,32,21,9,54,0.0,1012,32,10,228,18,Maine
2022-09-02 15:00:00,32,23,0.0,8.9,7,42,11:06 AM,10:50 PM,06:01 AM,06:22 PM,20,33,33,31,12,63,51,0.0,1011,31,10,223,10,Maine
2022-09-02 18:00:00,32,23,0.0,8.9,7,42,11:06 AM,10:50 PM,06:01 AM,06:22 PM,20,32,32,30,14,11,56,0.0,1010,30,10,226,11,Maine
2022-09-02 21:00:00,32,23,0.0,8.9,7,42,11:06 AM,10:50 PM,06:01 AM,06:22 PM,20,29,29,27,21,8,66,0.0,1011,27,10,206,14,Maine
2022-09-03 00:00:00,34,22,0.0,11.6,7,49,12:05 PM,11:43 PM,06:01 AM,06:21 PM,21,27,27,25,30,17,79,0.0,1013,25,10,196,22,Maine
2022-09-03 03:00:00,34,22,0.0,11.6,7,49,12:05 PM,11:43 PM,06:01 AM,06:21 PM,19,25,25,23,28,14,81,0.0,1012,23,10,200,20,Maine
2022-09-03 06:00:00,34,22,0.0,11.6,7,49,12:05 PM,11:43 PM,06:01 AM,06:21 PM,19,25,25,22,26,25,84,0.0,1014,22,10,208,19,Maine
2022-09-03 09:00:00,34,22,0.0,11.6,7,49,12:05 PM,11:43 PM,06:01 AM,06:21 PM,19,26,26,25,24,22,71,0.0,1015,25,10,226,21,Maine
2022-09-03 12:00:00,34,22,0.0,11.6,7,49,12:05 PM,11:43 PM,06:01 AM,06:21 PM,21,34,34,31,16,5,53,0.0,1013,31,10,215,14,Maine
