date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,36,20,0.0,11.6,7,35,11:54 AM,10:22 PM,06:31 AM,07:32 PM,13,25,25,23,20,2,56,0.0,1016,23,10,170,10,Maryland
2022-09-01 03:00:00,36,20,0.0,11.6,7,35,11:54 AM,10:22 PM,06:31 AM,07:32 PM,13,21,24,21,15,4,58,0.0,1016,21,10,166,7,Maryland
2022-09-01 06:00:00,36,20,0.0,11.6,7,35,11:54 AM,10:22 PM,06:31 AM,07:32 PM,12,20,20,20,17,4,59,0.0,1017,20,10,174,8,Maryland
2022-09-01 09:00:00,36,20,0.0,11.6,7,35,11:54 AM,10:22 PM,06:31 AM,07:32 PM,12,25,25,24,15,6,46,0.0,1018,24,10,168,12,Maryland
2022-09-01 12:00:00,36,20,0.0,11.6,7,35,11:54 AM,10:22 PM,06:31 AM,07:32 PM,14,33,33,34,13,12,30,0.0,1017,34,10,167,11,Maryland
2022-09-01 15:00:00,36,20,0.0,11.6,7,35,11:54 AM,10:22 PM,06:31 AM,07:32 PM,13,36,36,36,9,14,24,0.0,1015,36,10,141,8,Maryland
2022-09-01 18:00:00,36,20,0.0,11.6,7,35,11:54 AM,10:22 PM,06:31 AM,07:32 PM,14,33,33,33,15,11,32,0.0,1015,33,10,92,13,Maryland
2022-09-01 21:00:00,36,20,0.0,11.6,7,35,11:54 AM,10:22 PM,06:31 AM,07:32 PM,15,27,27,26,25,44,50,0.0,1015,26,10,111,14,Maryland
2022-09-02 00:00:00,30,23,0.0,11.6,6,42,01:05 PM,10:58 PM,06:32 AM,07:30 PM,14,26,26,25,20,76,52,0.0,1015,25,10,150,11,Maryland
2022-09-02 03:00:00,30,23,0.0,11.6,6,42,01:05 PM,10:58 PM,06:32 AM,07:30 PM,12,25,25,23,17,6,51,0.0,1014,23,10,198,9,Maryland
