date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,11,16,16,16,18,0,72,0.0,1009,16,10,285,9,Massachusetts
2022-09-01 03:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,10,16,16,16,16,8,68,0.0,1009,16,10,267,8,Massachusetts
2022-09-01 06:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,9,16,16,16,18,12,67,0.0,1010,16,10,250,9,Massachusetts
2022-09-01 09:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,10,19,19,19,22,0,57,0.0,1011,19,10,283,18,Massachusetts
2022-09-01 12:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,8,25,25,24,23,3,37,0.0,1012,24,10,290,20,Massachusetts
2022-09-01 15:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,7,25,25,25,22,14,33,0.0,1012,25,10,301,19,Massachusetts
2022-09-01 18:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,9,25,25,24,18,3,38,0.0,1014,24,10,310,16,Massachusetts
2022-09-01 21:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,6,16,16,16,19,0,51,0.0,1018,16,10,331,12,Massachusetts
2022-09-02 00:00:00,28,10,0.0,11.6,6,42,12:57 PM,10:30 PM,06:13 AM,07:20 PM,5,12,13,12,14,0,59,0.0,1019,13,10,346,6,Massachusetts
2022-09-02 03:00:00,28,10,0.0,11.6,6,42,12:57 PM,10:30 PM,06:13 AM,07:20 PM,5,11,12,11,12,0,63,0.0,1021,12,10,323,6,Massachusetts
2022-09-02 06:00:00,28,10,0.0,11.6,6,42,12:57 PM,10:30 PM,06:13 AM,07:20 PM,5,10,10,10,10,0,71,0.0,1023,10,10,12,5,Massachusetts
2022-09-02 09:00:00,28,10,0.0,11.6,6,42,12:57 PM,10:30 PM,06:13 AM,07:20 PM,8,17,17,17,5,0,55,0.0,1024,17,10,128,4,Massachusetts
2022-09-02 12:00:00,28,10,0.0,11.6,6,42,12:57 PM,10:30 PM,06:13 AM,07:20 PM,8,25,25,25,5,0,35,0.0,1024,25,10,147,5,Massachusetts
2022-09-02 15:00:00,28,10,0.0,11.6,6,42,12:57 PM,10:30 PM,06:13 AM,07:20 PM,9,27,27,28,6,0,31,0.0,1023,28,10,160,5,Massachusetts
2022-09-02 18:00:00,28,10,0.0,11.6,6,42,12:57 PM,10:30 PM,06:13 AM,07:20 PM,13,26,26,25,8,0,45,0.0,1023,25,10,152,7,Massachusetts
