date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,17,22,24,22,24,10,73,0.0,1015,22,10,247,12,Michigan
2022-09-01 03:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,17,21,21,21,22,7,80,0.0,1016,21,10,277,11,Michigan
2022-09-01 06:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,18,20,20,20,12,8,86,0.0,1016,20,10,353,6,Michigan
2022-09-01 09:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,17,20,20,20,19,10,85,0.0,1018,20,10,103,13,Michigan
2022-09-01 12:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,19,27,27,26,9,5,66,0.0,1018,26,10,107,8,Michigan
2022-09-01 15:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,20,30,30,29,3,9,59,0.0,1017,29,10,58,3,Michigan
2022-09-01 18:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,18,28,28,27,8,6,58,0.0,1016,27,10,9,6,Michigan
2022-09-01 21:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,17,25,25,23,23,6,70,0.0,1016,23,10,121,11,Michigan
2022-09-02 00:00:00,31,21,0.0,11.6,7,42,12:58 PM,10:34 PM,06:14 AM,07:19 PM,16,25,25,22,36,19,69,0.0,1015,22,10,145,17,Michigan
2022-09-02 03:00:00,31,21,0.0,11.6,7,42,12:58 PM,10:34 PM,06:14 AM,07:19 PM,16,21,21,21,30,13,74,0.0,1015,21,10,179,14,Michigan
2022-09-02 06:00:00,31,21,0.0,11.6,7,42,12:58 PM,10:34 PM,06:14 AM,07:19 PM,15,21,21,21,32,17,70,0.0,1015,21,10,186,15,Michigan
2022-09-02 09:00:00,31,21,0.0,11.6,7,42,12:58 PM,10:34 PM,06:14 AM,07:19 PM,15,25,25,22,29,18,66,0.0,1016,22,10,183,17,Michigan
2022-09-02 12:00:00,31,21,0.0,11.6,7,42,12:58 PM,10:34 PM,06:14 AM,07:19 PM,17,29,29,28,23,20,51,0.0,1017,28,10,203,20,Michigan
2022-09-02 15:00:00,31,21,0.0,11.6,7,42,12:58 PM,10:34 PM,06:14 AM,07:19 PM,16,31,31,31,27,19,42,0.0,1015,31,10,198,19,Michigan
2022-09-02 18:00:00,31,21,0.0,11.6,7,42,12:58 PM,10:34 PM,06:14 AM,07:19 PM,17,31,31,30,23,17,44,0.0,1014,30,10,201,13,Michigan
2022-09-02 21:00:00,31,21,0.0,11.6,7,42,12:58 PM,10:34 PM,06:14 AM,07:19 PM,15,27,27,26,30,14,51,0.0,1015,26,10,191,14,Michigan
2022-09-03 00:00:00,29,20,0.0,11.6,6,49,02:12 PM,11:16 PM,06:15 AM,07:18 PM,14,25,25,22,40,4,61,0.0,1016,22,10,188,19,Michigan
2022-09-03 03:00:00,29,20,0.0,11.6,6,49,02:12 PM,11:16 PM,06:15 AM,07:18 PM,16,21,21,21,34,4,75,0.0,1016,21,10,219,16,Michigan
2022-09-03 06:00:00,29,20,0.0,11.6,6,49,02:12 PM,11:16 PM,06:15 AM,07:18 PM,18,20,20,20,31,8,87,0.0,1017,20,10,247,15,Michigan
2022-09-03 09:00:00,29,20,0.0,11.6,6,49,02:12 PM,11:16 PM,06:15 AM,07:18 PM,16,22,24,22,24,14,73,0.0,1019,22,10,222,15,Michigan
2022-09-03 12:00:00,29,20,0.0,11.6,6,49,02:12 PM,11:16 PM,06:15 AM,07:18 PM,20,31,31,29,14,8,56,0.0,1019,29,10,225,12,Michigan
2022-09-03 15:00:00,29,20,0.0,11.6,6,49,02:12 PM,11:16 PM,06:15 AM,07:18 PM,17,29,29,28,17,15,53,0.0,1018,28,10,345,13,Michigan
2022-09-03 18:00:00,29,20,0.0,11.6,6,49,02:12 PM,11:16 PM,06:15 AM,07:18 PM,20,26,26,24,30,16,78,0.0,1019,24,10,5,26,Michigan
2022-09-03 21:00:00,29,20,0.0,11.6,6,49,02:12 PM,11:16 PM,06:15 AM,07:18 PM,18,20,20,20,34,32,89,0.0,1020,20,10,8,23,Michigan
2022-09-04 00:00:00,24,20,0.0,11.6,6,56,03:25 PM,No moonset,06:16 AM,07:16 PM,18,20,20,20,27,19,91,0.0,1021,20,10,20,16,Michigan
2022-09-04 03:00:00,24,20,0.0,11.6,6,56,03:25 PM,No moonset,06:16 AM,07:16 PM,18,20,20,20,13,15,90,0.0,1020,20,10,46,7,Michigan
2022-09-04 06:00:00,24,20,0.0,11.6,6,56,03:25 PM,No moonset,06:16 AM,07:16 PM,18,20,20,20,19,27,92,0.0,1020,20,10,37,11,Michigan
2022-09-04 09:00:00,24,20,0.0,11.6,6,56,03:25 PM,No moonset,06:16 AM,07:16 PM,19,21,21,21,15,39,89,0.0,1021,21,10,36,11,Michigan
2022-09-04 12:00:00,24,20,0.0,11.6,6,56,03:25 PM,No moonset,06:16 AM,07:16 PM,20,26,26,24,15,12,75,0.0,1020,24,10,13,13,Michigan
2022-09-04 15:00:00,24,20,0.0,11.6,6,56,03:25 PM,No moonset,06:16 AM,07:16 PM,20,26,26,24,20,15,74,0.0,1019,24,10,356,17,Michigan
2022-09-04 18:00:00,24,20,0.0,11.6,6,56,03:25 PM,No moonset,06:16 AM,07:16 PM,20,26,26,24,24,11,78,0.0,1018,24,10,358,21,Michigan
2022-09-04 21:00:00,24,20,0.0,11.6,6,56,03:25 PM,No moonset,06:16 AM,07:16 PM,19,21,21,21,31,11,89,0.0,1018,21,10,9,19,Michigan
2022-09-05 00:00:00,26,18,0.0,10.3,5,62,04:29 PM,12:09 AM,06:17 AM,07:14 PM,19,20,20,20,28,86,91,0.1,1017,20,10,91,14,Michigan
2022-09-05 03:00:00,26,18,0.0,10.3,5,62,04:29 PM,12:09 AM,06:17 AM,07:14 PM,18,19,19,19,30,23,91,0.0,1017,19,10,95,15,Michigan
2022-09-05 06:00:00,26,18,0.0,10.3,5,62,04:29 PM,12:09 AM,06:17 AM,07:14 PM,17,18,18,18,26,21,93,0.0,1017,18,10,97,14,Michigan
2022-09-05 09:00:00,26,18,0.0,10.3,5,62,04:29 PM,12:09 AM,06:17 AM,07:14 PM,18,19,19,19,22,33,91,0.0,1018,19,10,107,15,Michigan
2022-09-05 12:00:00,26,18,0.0,10.3,5,62,04:29 PM,12:09 AM,06:17 AM,07:14 PM,20,27,27,25,12,12,71,0.0,1019,25,10,88,10,Michigan
2022-09-05 15:00:00,26,18,0.0,10.3,5,62,04:29 PM,12:09 AM,06:17 AM,07:14 PM,20,27,27,26,19,72,73,0.3,1018,26,9,31,15,Michigan
