date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,30,13,0.0,11.6,6,35,12:11 PM,10:14 PM,06:30 AM,07:43 PM,13,17,17,17,10,5,79,0.0,1016,17,10,64,5,Minnesota
2022-09-01 03:00:00,30,13,0.0,11.6,6,35,12:11 PM,10:14 PM,06:30 AM,07:43 PM,12,15,15,15,14,6,84,0.0,1016,15,10,88,7,Minnesota
2022-09-01 06:00:00,30,13,0.0,11.6,6,35,12:11 PM,10:14 PM,06:30 AM,07:43 PM,11,13,13,13,14,6,85,0.0,1016,13,10,133,7,Minnesota
2022-09-01 09:00:00,30,13,0.0,11.6,6,35,12:11 PM,10:14 PM,06:30 AM,07:43 PM,16,20,20,20,13,5,75,0.0,1016,20,10,120,10,Minnesota
2022-09-01 12:00:00,30,13,0.0,11.6,6,35,12:11 PM,10:14 PM,06:30 AM,07:43 PM,20,31,31,28,17,6,62,0.0,1016,28,10,166,15,Minnesota
2022-09-01 15:00:00,30,13,0.0,11.6,6,35,12:11 PM,10:14 PM,06:30 AM,07:43 PM,20,32,32,30,21,5,56,0.0,1014,30,10,172,18,Minnesota
2022-09-01 18:00:00,30,13,0.0,11.6,6,35,12:11 PM,10:14 PM,06:30 AM,07:43 PM,20,28,28,26,19,11,69,0.0,1012,26,10,179,13,Minnesota
2022-09-01 21:00:00,30,13,0.0,11.6,6,35,12:11 PM,10:14 PM,06:30 AM,07:43 PM,17,20,20,20,21,6,86,0.0,1012,20,10,160,10,Minnesota
2022-09-02 00:00:00,28,18,0.0,9.1,6,42,01:27 PM,10:46 PM,06:31 AM,07:41 PM,16,18,18,18,26,10,89,0.0,1011,18,10,161,12,Minnesota
2022-09-02 03:00:00,28,18,0.0,9.1,6,42,01:27 PM,10:46 PM,06:31 AM,07:41 PM,15,19,19,19,25,12,77,0.0,1010,19,10,172,12,Minnesota
2022-09-02 06:00:00,28,18,0.0,9.1,6,42,01:27 PM,10:46 PM,06:31 AM,07:41 PM,14,18,18,18,28,50,78,0.0,1010,18,10,221,13,Minnesota
2022-09-02 09:00:00,28,18,0.0,9.1,6,42,01:27 PM,10:46 PM,06:31 AM,07:41 PM,18,21,21,21,28,55,85,0.1,1011,21,10,190,20,Minnesota
2022-09-02 12:00:00,28,18,0.0,9.1,6,42,01:27 PM,10:46 PM,06:31 AM,07:41 PM,20,26,26,25,25,94,76,0.1,1011,25,10,200,21,Minnesota
