date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,36,18,0.0,11.6,7,35,11:38 AM,10:26 PM,06:29 AM,07:21 PM,12,21,21,21,17,0,56,0.0,1014,21,10,50,8,Mississippi
2022-09-01 03:00:00,36,18,0.0,11.6,7,35,11:38 AM,10:26 PM,06:29 AM,07:21 PM,12,19,19,19,14,0,63,0.0,1015,19,10,32,6,Mississippi
2022-09-01 06:00:00,36,18,0.0,11.6,7,35,11:38 AM,10:26 PM,06:29 AM,07:21 PM,12,18,18,18,14,1,68,0.0,1015,18,10,36,6,Mississippi
2022-09-01 09:00:00,36,18,0.0,11.6,7,35,11:38 AM,10:26 PM,06:29 AM,07:21 PM,14,25,25,24,11,0,54,0.0,1016,24,10,26,9,Mississippi
2022-09-01 12:00:00,36,18,0.0,11.6,7,35,11:38 AM,10:26 PM,06:29 AM,07:21 PM,16,34,34,34,11,0,34,0.0,1015,34,10,8,10,Mississippi
2022-09-01 15:00:00,36,18,0.0,11.6,7,35,11:38 AM,10:26 PM,06:29 AM,07:21 PM,13,35,35,36,9,0,26,0.0,1013,36,10,357,8,Mississippi
2022-09-01 18:00:00,36,18,0.0,11.6,7,35,11:38 AM,10:26 PM,06:29 AM,07:21 PM,17,34,34,33,6,4,39,0.0,1013,33,10,344,4,Mississippi
2022-09-01 21:00:00,36,18,0.0,11.6,7,35,11:38 AM,10:26 PM,06:29 AM,07:21 PM,13,25,25,24,14,1,50,0.0,1014,24,10,39,6,Mississippi
2022-09-02 00:00:00,36,20,0.0,11.6,7,42,12:44 PM,11:06 PM,06:30 AM,07:19 PM,11,22,24,22,2,2,52,0.0,1014,22,10,114,1,Mississippi
2022-09-02 03:00:00,36,20,0.0,11.6,7,42,12:44 PM,11:06 PM,06:30 AM,07:19 PM,11,21,21,21,10,36,54,0.0,1014,21,10,100,5,Mississippi
2022-09-02 06:00:00,36,20,0.0,11.6,7,42,12:44 PM,11:06 PM,06:30 AM,07:19 PM,12,20,20,20,12,4,60,0.0,1015,20,10,128,6,Mississippi
2022-09-02 09:00:00,36,20,0.0,11.6,7,42,12:44 PM,11:06 PM,06:30 AM,07:19 PM,14,26,26,25,7,3,50,0.0,1016,25,10,169,5,Mississippi
2022-09-02 12:00:00,36,20,0.0,11.6,7,42,12:44 PM,11:06 PM,06:30 AM,07:19 PM,16,32,32,31,6,34,39,0.0,1016,31,10,158,5,Mississippi
2022-09-02 15:00:00,36,20,0.0,11.6,7,42,12:44 PM,11:06 PM,06:30 AM,07:19 PM,15,37,37,36,8,6,28,0.0,1014,36,10,189,6,Mississippi
2022-09-02 18:00:00,36,20,0.0,11.6,7,42,12:44 PM,11:06 PM,06:30 AM,07:19 PM,18,34,34,32,11,8,42,0.0,1015,32,10,232,8,Mississippi
2022-09-02 21:00:00,36,20,0.0,11.6,7,42,12:44 PM,11:06 PM,06:30 AM,07:19 PM,16,26,26,25,9,51,58,0.0,1015,25,10,230,4,Mississippi
2022-09-03 00:00:00,26,23,0.0,7.7,6,49,01:54 PM,11:52 PM,06:30 AM,07:18 PM,21,26,26,23,20,54,86,0.0,1017,23,10,154,11,Mississippi
2022-09-03 03:00:00,26,23,0.0,7.7,6,49,01:54 PM,11:52 PM,06:30 AM,07:18 PM,21,25,25,23,14,93,88,0.0,1016,23,10,199,7,Mississippi
2022-09-03 06:00:00,26,23,0.0,7.7,6,49,01:54 PM,11:52 PM,06:30 AM,07:18 PM,21,25,25,23,14,55,90,0.0,1017,23,10,175,7,Mississippi
2022-09-03 09:00:00,26,23,0.0,7.7,6,49,01:54 PM,11:52 PM,06:30 AM,07:18 PM,21,27,27,25,9,79,79,0.2,1018,25,9,156,7,Mississippi
