date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,34,23,0.0,8.9,6,35,11:59 AM,11:01 PM,07:00 AM,07:44 PM,20,25,25,23,8,82,80,2.8,1014,23,7,324,4,Missouri
2022-09-01 03:00:00,34,23,0.0,8.9,6,35,11:59 AM,11:01 PM,07:00 AM,07:44 PM,19,26,26,24,1,15,74,0.0,1013,24,10,220,1,Missouri
2022-09-01 06:00:00,34,23,0.0,8.9,6,35,11:59 AM,11:01 PM,07:00 AM,07:44 PM,20,25,25,23,6,80,84,0.5,1014,23,9,11,3,Missouri
2022-09-01 09:00:00,34,23,0.0,8.9,6,35,11:59 AM,11:01 PM,07:00 AM,07:44 PM,21,27,27,25,12,74,81,0.2,1015,25,9,9,8,Missouri
2022-09-01 12:00:00,34,23,0.0,8.9,6,35,11:59 AM,11:01 PM,07:00 AM,07:44 PM,23,36,36,31,9,82,61,0.5,1015,31,9,35,6,Missouri
2022-09-01 15:00:00,34,23,0.0,8.9,6,35,11:59 AM,11:01 PM,07:00 AM,07:44 PM,22,39,39,34,9,34,52,0.0,1013,34,10,90,8,Missouri
2022-09-01 18:00:00,34,23,0.0,8.9,6,35,11:59 AM,11:01 PM,07:00 AM,07:44 PM,23,38,38,33,11,16,56,0.0,1011,33,10,128,9,Missouri
2022-09-01 21:00:00,34,23,0.0,8.9,6,35,11:59 AM,11:01 PM,07:00 AM,07:44 PM,23,30,30,27,21,12,76,0.0,1012,27,10,177,12,Missouri
2022-09-02 00:00:00,32,26,0.0,10.3,7,42,01:04 PM,11:43 PM,07:00 AM,07:43 PM,21,29,29,27,9,15,71,0.0,1013,27,10,165,5,Missouri
2022-09-02 03:00:00,32,26,0.0,10.3,7,42,01:04 PM,11:43 PM,07:00 AM,07:43 PM,21,28,28,26,7,11,74,0.0,1013,26,10,85,4,Missouri
2022-09-02 06:00:00,32,26,0.0,10.3,7,42,01:04 PM,11:43 PM,07:00 AM,07:43 PM,21,28,28,26,12,23,77,0.0,1012,26,10,126,7,Missouri
2022-09-02 09:00:00,32,26,0.0,10.3,7,42,01:04 PM,11:43 PM,07:00 AM,07:43 PM,22,30,30,27,8,54,75,0.0,1014,27,10,106,6,Missouri
2022-09-02 12:00:00,32,26,0.0,10.3,7,42,01:04 PM,11:43 PM,07:00 AM,07:43 PM,22,36,36,32,9,43,57,0.0,1015,32,10,125,8,Missouri
2022-09-02 15:00:00,32,26,0.0,10.3,7,42,01:04 PM,11:43 PM,07:00 AM,07:43 PM,22,36,36,32,6,81,56,0.1,1013,32,10,115,6,Missouri
2022-09-02 18:00:00,32,26,0.0,10.3,7,42,01:04 PM,11:43 PM,07:00 AM,07:43 PM,23,34,34,30,15,58,65,0.2,1013,30,10,125,12,Missouri
2022-09-02 21:00:00,32,26,0.0,10.3,7,42,01:04 PM,11:43 PM,07:00 AM,07:43 PM,23,30,30,27,16,25,79,0.0,1014,27,10,121,9,Missouri
2022-09-03 00:00:00,28,25,0.0,8.9,6,49,02:11 PM,No moonset,07:01 AM,07:42 PM,24,29,29,26,13,76,87,0.2,1015,26,9,148,7,Missouri
2022-09-03 03:00:00,28,25,0.0,8.9,6,49,02:11 PM,No moonset,07:01 AM,07:42 PM,23,28,28,25,10,18,88,0.0,1014,25,10,134,5,Missouri
2022-09-03 06:00:00,28,25,0.0,8.9,6,49,02:11 PM,No moonset,07:01 AM,07:42 PM,23,27,27,25,8,86,90,0.2,1015,25,9,90,4,Missouri
2022-09-03 09:00:00,28,25,0.0,8.9,6,49,02:11 PM,No moonset,07:01 AM,07:42 PM,24,30,30,27,8,64,82,0.1,1016,27,10,127,6,Missouri
2022-09-03 12:00:00,28,25,0.0,8.9,6,49,02:11 PM,No moonset,07:01 AM,07:42 PM,24,32,32,28,19,86,80,0.8,1017,28,10,186,11,Missouri
2022-09-03 15:00:00,28,25,0.0,8.9,6,49,02:11 PM,No moonset,07:01 AM,07:42 PM,24,30,30,26,10,55,87,0.0,1016,26,10,164,8,Missouri
2022-09-03 18:00:00,28,25,0.0,8.9,6,49,02:11 PM,No moonset,07:01 AM,07:42 PM,23,28,28,25,10,52,89,0.5,1015,25,10,108,7,Missouri
2022-09-03 21:00:00,28,25,0.0,8.9,6,49,02:11 PM,No moonset,07:01 AM,07:42 PM,23,27,27,25,12,32,90,0.0,1016,25,10,117,7,Missouri
2022-09-04 00:00:00,24,23,0.0,6.2,6,56,03:19 PM,12:31 AM,07:01 AM,07:41 PM,22,26,26,24,13,55,91,0.0,1016,24,10,125,8,Missouri
2022-09-04 03:00:00,24,23,0.0,6.2,6,56,03:19 PM,12:31 AM,07:01 AM,07:41 PM,22,26,26,24,11,83,93,0.0,1016,24,10,60,6,Missouri
2022-09-04 06:00:00,24,23,0.0,6.2,6,56,03:19 PM,12:31 AM,07:01 AM,07:41 PM,22,26,26,23,9,73,94,1.4,1016,23,10,101,5,Missouri
2022-09-04 09:00:00,24,23,0.0,6.2,6,56,03:19 PM,12:31 AM,07:01 AM,07:41 PM,22,26,26,23,6,100,94,0.0,1017,23,10,340,4,Missouri
2022-09-04 12:00:00,24,23,0.0,6.2,6,56,03:19 PM,12:31 AM,07:01 AM,07:41 PM,22,26,26,24,11,76,93,0.5,1017,24,10,48,8,Missouri
2022-09-04 15:00:00,24,23,0.0,6.2,6,56,03:19 PM,12:31 AM,07:01 AM,07:41 PM,23,26,26,24,12,61,92,0.0,1016,24,10,57,9,Missouri
2022-09-04 18:00:00,24,23,0.0,6.2,6,56,03:19 PM,12:31 AM,07:01 AM,07:41 PM,23,27,27,24,9,61,91,0.0,1015,24,10,53,7,Missouri
2022-09-04 21:00:00,24,23,0.0,6.2,6,56,03:19 PM,12:31 AM,07:01 AM,07:41 PM,22,26,26,23,4,100,93,0.0,1015,23,10,61,3,Missouri
2022-09-05 00:00:00,24,22,0.0,7.5,5,62,04:23 PM,01:28 AM,07:02 AM,07:40 PM,21,22,24,22,13,79,95,0.0,1015,22,2,231,8,Missouri
2022-09-05 03:00:00,24,22,0.0,7.5,5,62,04:23 PM,01:28 AM,07:02 AM,07:40 PM,21,22,24,22,7,70,94,0.0,1014,22,2,274,4,Missouri
2022-09-05 06:00:00,24,22,0.0,7.5,5,62,04:23 PM,01:28 AM,07:02 AM,07:40 PM,21,22,24,22,4,61,94,0.1,1014,22,2,287,2,Missouri
2022-09-05 09:00:00,24,22,0.0,7.5,5,62,04:23 PM,01:28 AM,07:02 AM,07:40 PM,21,25,25,22,5,81,95,0.1,1016,22,2,155,3,Missouri
2022-09-05 12:00:00,24,22,0.0,7.5,5,62,04:23 PM,01:28 AM,07:02 AM,07:40 PM,22,25,25,23,6,99,95,0.5,1017,23,2,168,5,Missouri
2022-09-05 15:00:00,24,22,0.0,7.5,5,62,04:23 PM,01:28 AM,07:02 AM,07:40 PM,22,25,25,23,7,80,94,0.3,1016,23,2,159,5,Missouri
2022-09-05 18:00:00,24,22,0.0,7.5,5,62,04:23 PM,01:28 AM,07:02 AM,07:40 PM,22,26,26,24,8,52,88,0.6,1015,24,5,167,6,Missouri
