date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,18,20,20,20,8,88,85,0.8,1015,20,10,190,5,Montana
2022-09-01 03:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,16,19,19,19,7,30,84,0.0,1014,19,10,216,4,Montana
2022-09-01 06:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,16,18,18,18,5,47,86,0.0,1013,18,10,315,3,Montana
2022-09-01 09:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,17,21,24,21,6,52,75,0.1,1014,21,10,1,5,Montana
2022-09-01 12:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,16,25,25,23,8,52,64,0.2,1014,23,10,6,6,Montana
2022-09-01 15:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,17,28,28,27,8,70,55,0.7,1012,27,9,353,6,Montana
2022-09-01 18:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,17,27,27,26,9,73,61,0.5,1012,26,9,317,6,Montana
2022-09-01 21:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,17,20,20,20,12,78,82,1.4,1014,20,9,221,6,Montana
2022-09-02 00:00:00,18,16,0.0,6.7,4,42,01:20 PM,10:57 PM,06:52 AM,08:01 PM,18,21,21,21,9,84,84,0.8,1013,21,10,272,6,Montana
2022-09-02 03:00:00,18,16,0.0,6.7,4,42,01:20 PM,10:57 PM,06:52 AM,08:01 PM,17,18,18,18,13,93,93,0.8,1014,18,10,312,10,Montana
2022-09-02 06:00:00,18,16,0.0,6.7,4,42,01:20 PM,10:57 PM,06:52 AM,08:01 PM,15,16,16,16,8,100,96,0.2,1014,16,2,319,5,Montana
2022-09-02 09:00:00,18,16,0.0,6.7,4,42,01:20 PM,10:57 PM,06:52 AM,08:01 PM,16,18,18,18,5,100,91,0.6,1015,18,10,322,4,Montana
2022-09-02 12:00:00,18,16,0.0,6.7,4,42,01:20 PM,10:57 PM,06:52 AM,08:01 PM,17,18,18,18,11,100,91,0.5,1016,18,10,5,8,Montana
2022-09-02 15:00:00,18,16,0.0,6.7,4,42,01:20 PM,10:57 PM,06:52 AM,08:01 PM,17,18,18,18,11,100,94,0.2,1016,18,2,358,9,Montana
2022-09-02 18:00:00,18,16,0.0,6.7,4,42,01:20 PM,10:57 PM,06:52 AM,08:01 PM,16,17,17,17,8,100,94,0.1,1017,17,2,345,7,Montana
2022-09-02 21:00:00,18,16,0.0,6.7,4,42,01:20 PM,10:57 PM,06:52 AM,08:01 PM,16,17,17,17,6,100,94,0.0,1018,17,10,343,5,Montana
2022-09-03 00:00:00,22,15,0.0,10.3,4,49,02:35 PM,11:35 PM,06:53 AM,07:59 PM,15,16,16,16,9,100,94,0.2,1016,16,10,334,7,Montana
2022-09-03 03:00:00,22,15,0.0,10.3,4,49,02:35 PM,11:35 PM,06:53 AM,07:59 PM,14,16,16,16,4,100,92,0.0,1016,16,10,317,3,Montana
2022-09-03 06:00:00,22,15,0.0,10.3,4,49,02:35 PM,11:35 PM,06:53 AM,07:59 PM,14,15,15,15,3,99,91,0.0,1017,15,10,294,2,Montana
2022-09-03 09:00:00,22,15,0.0,10.3,4,49,02:35 PM,11:35 PM,06:53 AM,07:59 PM,14,18,18,18,5,47,77,0.0,1017,18,10,318,5,Montana
2022-09-03 12:00:00,22,15,0.0,10.3,4,49,02:35 PM,11:35 PM,06:53 AM,07:59 PM,14,21,21,21,5,92,65,0.0,1018,21,10,315,4,Montana
2022-09-03 15:00:00,22,15,0.0,10.3,4,49,02:35 PM,11:35 PM,06:53 AM,07:59 PM,14,25,25,22,5,56,58,0.0,1017,22,10,12,4,Montana
2022-09-03 18:00:00,22,15,0.0,10.3,4,49,02:35 PM,11:35 PM,06:53 AM,07:59 PM,15,22,25,22,5,41,64,0.0,1017,22,10,46,4,Montana
2022-09-03 21:00:00,22,15,0.0,10.3,4,49,02:35 PM,11:35 PM,06:53 AM,07:59 PM,14,18,18,18,6,17,77,0.0,1018,18,10,142,4,Montana
2022-09-04 00:00:00,23,13,0.0,9.1,5,56,03:50 PM,No moonset,06:54 AM,07:57 PM,13,16,16,16,4,3,83,0.0,1020,16,10,129,3,Montana
2022-09-04 03:00:00,23,13,0.0,9.1,5,56,03:50 PM,No moonset,06:54 AM,07:57 PM,13,14,14,14,4,7,89,0.0,1020,14,10,346,2,Montana
2022-09-04 06:00:00,23,13,0.0,9.1,5,56,03:50 PM,No moonset,06:54 AM,07:57 PM,12,13,13,13,4,35,94,0.0,1020,13,10,14,2,Montana
2022-09-04 09:00:00,23,13,0.0,9.1,5,56,03:50 PM,No moonset,06:54 AM,07:57 PM,13,17,17,17,6,41,77,0.0,1021,17,10,40,5,Montana
2022-09-04 12:00:00,23,13,0.0,9.1,5,56,03:50 PM,No moonset,06:54 AM,07:57 PM,14,21,25,21,10,30,61,0.0,1020,21,10,58,9,Montana
2022-09-04 15:00:00,23,13,0.0,9.1,5,56,03:50 PM,No moonset,06:54 AM,07:57 PM,13,25,25,23,12,70,55,0.1,1019,23,10,62,10,Montana
2022-09-04 18:00:00,23,13,0.0,9.1,5,56,03:50 PM,No moonset,06:54 AM,07:57 PM,15,21,21,21,4,73,69,0.0,1020,21,10,163,3,Montana
2022-09-04 21:00:00,23,13,0.0,9.1,5,56,03:50 PM,No moonset,06:54 AM,07:57 PM,14,19,19,19,5,54,75,0.0,1021,19,10,79,4,Montana
2022-09-05 00:00:00,24,16,0.0,11.6,6,62,04:58 PM,12:24 AM,06:55 AM,07:56 PM,13,18,18,18,5,52,72,0.0,1023,18,10,64,4,Montana
2022-09-05 03:00:00,24,16,0.0,11.6,6,62,04:58 PM,12:24 AM,06:55 AM,07:56 PM,12,17,17,17,2,59,74,0.0,1022,17,10,23,2,Montana
2022-09-05 06:00:00,24,16,0.0,11.6,6,62,04:58 PM,12:24 AM,06:55 AM,07:56 PM,12,16,16,16,4,44,77,0.0,1023,16,10,14,3,Montana
2022-09-05 09:00:00,24,16,0.0,11.6,6,62,04:58 PM,12:24 AM,06:55 AM,07:56 PM,12,19,19,19,5,19,64,0.0,1024,19,10,48,4,Montana
2022-09-05 12:00:00,24,16,0.0,11.6,6,62,04:58 PM,12:24 AM,06:55 AM,07:56 PM,12,25,25,23,8,11,51,0.0,1023,23,10,45,6,Montana
2022-09-05 15:00:00,24,16,0.0,11.6,6,62,04:58 PM,12:24 AM,06:55 AM,07:56 PM,11,25,25,24,6,12,45,0.0,1022,24,10,62,6,Montana
2022-09-05 18:00:00,24,16,0.0,11.6,6,62,04:58 PM,12:24 AM,06:55 AM,07:56 PM,13,25,25,23,3,6,54,0.0,1021,23,10,107,3,Montana
2022-09-05 21:00:00,24,16,0.0,11.6,6,62,04:58 PM,12:24 AM,06:55 AM,07:56 PM,11,19,19,19,8,6,60,0.0,1022,19,10,208,4,Montana
2022-09-06 00:00:00,26,16,0.0,11.6,6,69,05:56 PM,01:25 AM,06:56 AM,07:54 PM,11,18,18,18,9,6,67,0.0,1022,18,10,201,5,Montana
2022-09-06 03:00:00,26,16,0.0,11.6,6,69,05:56 PM,01:25 AM,06:56 AM,07:54 PM,11,17,17,17,11,8,69,0.0,1021,17,10,208,6,Montana
2022-09-06 06:00:00,26,16,0.0,11.6,6,69,05:56 PM,01:25 AM,06:56 AM,07:54 PM,11,16,16,16,6,8,72,0.0,1021,16,10,241,3,Montana
2022-09-06 09:00:00,26,16,0.0,11.6,6,69,05:56 PM,01:25 AM,06:56 AM,07:54 PM,12,20,20,20,5,10,57,0.0,1021,20,10,4,5,Montana
2022-09-06 12:00:00,26,16,0.0,11.6,6,69,05:56 PM,01:25 AM,06:56 AM,07:54 PM,11,25,25,24,8,12,45,0.0,1020,24,10,48,7,Montana
2022-09-06 15:00:00,26,16,0.0,11.6,6,69,05:56 PM,01:25 AM,06:56 AM,07:54 PM,12,26,26,26,6,21,40,0.0,1019,26,10,61,6,Montana
2022-09-06 18:00:00,26,16,0.0,11.6,6,69,05:56 PM,01:25 AM,06:56 AM,07:54 PM,13,25,25,24,6,22,49,0.0,1019,24,10,61,5,Montana
2022-09-06 21:00:00,26,16,0.0,11.6,6,69,05:56 PM,01:25 AM,06:56 AM,07:54 PM,11,19,19,19,10,15,58,0.0,1020,19,10,160,5,Montana
2022-09-07 00:00:00,28,16,0.0,11.6,6,76,06:42 PM,02:38 AM,06:57 AM,07:52 PM,11,18,18,18,10,9,64,0.0,1020,18,10,210,5,Montana
2022-09-07 03:00:00,28,16,0.0,11.6,6,76,06:42 PM,02:38 AM,06:57 AM,07:52 PM,10,17,17,17,10,16,66,0.0,1019,17,10,215,5,Montana
2022-09-07 06:00:00,28,16,0.0,11.6,6,76,06:42 PM,02:38 AM,06:57 AM,07:52 PM,11,16,16,16,4,20,68,0.0,1019,16,10,300,2,Montana
2022-09-07 09:00:00,28,16,0.0,11.6,6,76,06:42 PM,02:38 AM,06:57 AM,07:52 PM,11,20,20,20,5,13,59,0.0,1020,20,10,359,4,Montana
2022-09-07 12:00:00,28,16,0.0,11.6,6,76,06:42 PM,02:38 AM,06:57 AM,07:52 PM,12,25,25,24,9,11,48,0.0,1019,24,10,52,8,Montana
2022-09-07 15:00:00,28,16,0.0,11.6,6,76,06:42 PM,02:38 AM,06:57 AM,07:52 PM,14,28,28,28,8,13,43,0.0,1018,28,10,83,7,Montana
2022-09-07 18:00:00,28,16,0.0,11.6,6,76,06:42 PM,02:38 AM,06:57 AM,07:52 PM,14,25,25,24,7,20,53,0.0,1018,24,10,77,5,Montana
2022-09-07 21:00:00,28,16,0.0,11.6,6,76,06:42 PM,02:38 AM,06:57 AM,07:52 PM,12,20,20,20,9,14,61,0.0,1018,20,10,180,5,Montana
2022-09-08 00:00:00,30,16,0.0,11.6,6,83,07:18 PM,03:57 AM,06:59 AM,07:50 PM,11,19,19,19,13,5,60,0.0,1018,19,10,196,6,Montana
2022-09-08 03:00:00,30,16,0.0,11.6,6,83,07:18 PM,03:57 AM,06:59 AM,07:50 PM,9,17,17,17,13,3,61,0.0,1017,17,10,195,6,Montana
2022-09-08 06:00:00,30,16,0.0,11.6,6,83,07:18 PM,03:57 AM,06:59 AM,07:50 PM,9,16,16,16,11,4,63,0.0,1017,16,10,224,5,Montana
2022-09-08 09:00:00,30,16,0.0,11.6,6,83,07:18 PM,03:57 AM,06:59 AM,07:50 PM,10,21,24,21,4,4,47,0.0,1017,21,10,95,3,Montana
2022-09-08 12:00:00,30,16,0.0,11.6,6,83,07:18 PM,03:57 AM,06:59 AM,07:50 PM,12,28,28,28,8,5,36,0.0,1016,28,10,54,7,Montana
2022-09-08 15:00:00,30,16,0.0,11.6,6,83,07:18 PM,03:57 AM,06:59 AM,07:50 PM,13,30,30,30,8,15,34,0.0,1015,30,10,63,7,Montana
2022-09-08 18:00:00,30,16,0.0,11.6,6,83,07:18 PM,03:57 AM,06:59 AM,07:50 PM,14,28,28,28,8,10,44,0.0,1015,28,10,65,6,Montana
2022-09-08 21:00:00,30,16,0.0,11.6,6,83,07:18 PM,03:57 AM,06:59 AM,07:50 PM,12,25,25,23,17,5,51,0.0,1016,23,10,180,8,Montana
2022-09-09 00:00:00,30,18,0.0,8.9,7,89,07:48 PM,05:18 AM,07:00 AM,07:49 PM,12,22,24,22,17,12,53,0.0,1015,22,10,205,8,Montana
2022-09-09 03:00:00,30,18,0.0,8.9,7,89,07:48 PM,05:18 AM,07:00 AM,07:49 PM,10,18,18,18,15,11,57,0.0,1015,18,10,228,7,Montana
2022-09-09 06:00:00,30,18,0.0,8.9,7,89,07:48 PM,05:18 AM,07:00 AM,07:49 PM,11,18,18,18,11,8,63,0.0,1015,18,10,255,5,Montana
2022-09-09 09:00:00,30,18,0.0,8.9,7,89,07:48 PM,05:18 AM,07:00 AM,07:49 PM,12,25,25,24,5,12,49,0.0,1016,24,10,335,5,Montana
2022-09-09 12:00:00,30,18,0.0,8.9,7,89,07:48 PM,05:18 AM,07:00 AM,07:49 PM,13,29,29,29,6,23,39,0.0,1015,29,10,47,5,Montana
2022-09-09 15:00:00,30,18,0.0,8.9,7,89,07:48 PM,05:18 AM,07:00 AM,07:49 PM,15,30,30,30,8,71,38,0.2,1013,30,9,25,6,Montana
2022-09-09 18:00:00,30,18,0.0,8.9,7,89,07:48 PM,05:18 AM,07:00 AM,07:49 PM,18,26,26,25,8,70,67,0.5,1014,25,9,149,5,Montana
2022-09-09 21:00:00,30,18,0.0,8.9,7,89,07:48 PM,05:18 AM,07:00 AM,07:49 PM,18,25,25,23,7,45,74,0.0,1015,23,10,196,4,Montana
2022-09-10 00:00:00,26,16,0.0,10.3,5,96,08:12 PM,06:37 AM,07:01 AM,07:47 PM,16,19,19,19,4,83,80,0.2,1016,19,9,211,2,Montana
2022-09-10 03:00:00,26,16,0.0,10.3,5,96,08:12 PM,06:37 AM,07:01 AM,07:47 PM,15,17,17,17,9,83,85,0.2,1015,17,9,288,4,Montana
2022-09-10 06:00:00,26,16,0.0,10.3,5,96,08:12 PM,06:37 AM,07:01 AM,07:47 PM,14,16,16,16,1,86,87,0.1,1015,16,10,339,1,Montana
2022-09-10 09:00:00,26,16,0.0,10.3,5,96,08:12 PM,06:37 AM,07:01 AM,07:47 PM,15,21,21,21,4,47,70,0.0,1015,21,10,5,3,Montana
2022-09-10 12:00:00,26,16,0.0,10.3,5,96,08:12 PM,06:37 AM,07:01 AM,07:47 PM,15,25,25,23,5,45,63,0.0,1014,23,10,21,4,Montana
2022-09-10 15:00:00,26,16,0.0,10.3,5,96,08:12 PM,06:37 AM,07:01 AM,07:47 PM,17,27,27,26,9,85,57,0.7,1012,26,9,4,8,Montana
2022-09-10 18:00:00,26,16,0.0,10.3,5,96,08:12 PM,06:37 AM,07:01 AM,07:47 PM,19,20,20,20,3,52,95,2.1,1013,20,10,216,2,Montana
2022-09-10 21:00:00,26,16,0.0,10.3,5,96,08:12 PM,06:37 AM,07:01 AM,07:47 PM,18,20,20,20,12,74,92,0.5,1014,20,9,275,8,Montana
2022-09-11 00:00:00,22,15,0.0,7.6,4,97,08:34 PM,07:53 AM,07:02 AM,07:45 PM,17,19,19,19,10,55,85,0.9,1013,19,10,281,6,Montana
2022-09-11 03:00:00,22,15,0.0,7.6,4,97,08:34 PM,07:53 AM,07:02 AM,07:45 PM,12,15,15,15,14,20,84,0.0,1012,15,10,206,7,Montana
2022-09-11 06:00:00,22,15,0.0,7.6,4,97,08:34 PM,07:53 AM,07:02 AM,07:45 PM,13,15,15,15,14,23,86,0.0,1012,15,10,266,6,Montana
2022-09-11 09:00:00,22,15,0.0,7.6,4,97,08:34 PM,07:53 AM,07:02 AM,07:45 PM,12,20,20,20,15,87,61,0.1,1013,20,10,312,10,Montana
2022-09-11 12:00:00,22,15,0.0,7.6,4,97,08:34 PM,07:53 AM,07:02 AM,07:45 PM,10,24,24,22,24,86,46,0.1,1012,22,10,325,18,Montana
2022-09-11 15:00:00,22,15,0.0,7.6,4,97,08:34 PM,07:53 AM,07:02 AM,07:45 PM,11,22,24,22,26,80,51,0.2,1012,22,9,313,21,Montana
2022-09-11 18:00:00,22,15,0.0,7.6,4,97,08:34 PM,07:53 AM,07:02 AM,07:45 PM,11,21,24,21,23,57,54,0.1,1013,21,10,323,19,Montana
2022-09-11 21:00:00,22,15,0.0,7.6,4,97,08:34 PM,07:53 AM,07:02 AM,07:45 PM,11,19,19,19,17,14,58,0.0,1014,19,10,282,13,Montana
2022-09-12 00:00:00,22,12,0.0,11.6,5,90,08:56 PM,09:06 AM,07:03 AM,07:43 PM,11,16,16,16,17,11,71,0.0,1014,16,10,260,10,Montana
