date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,17,21,24,21,17,71,76,0.1,1015,21,10,246,8,Nebraska
2022-09-01 03:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,17,21,24,21,26,48,78,0.0,1015,21,10,217,12,Nebraska
2022-09-01 06:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,17,20,20,20,5,50,83,0.1,1015,20,10,236,2,Nebraska
2022-09-01 09:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,18,21,24,21,15,73,79,0.1,1015,21,10,162,9,Nebraska
2022-09-01 12:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,11,34,34,35,27,12,24,0.0,1013,35,10,164,23,Nebraska
2022-09-01 15:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,9,39,39,39,25,10,16,0.0,1010,39,10,182,22,Nebraska
2022-09-01 18:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,8,37,37,38,28,6,16,0.0,1008,38,10,176,24,Nebraska
2022-09-01 21:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,11,29,29,30,50,15,32,0.0,1008,30,10,159,26,Nebraska
2022-09-02 00:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,18,20,20,20,43,70,88,1.9,1010,20,9,184,21,Nebraska
2022-09-02 03:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,18,20,20,20,44,11,88,0.0,1010,20,10,181,23,Nebraska
2022-09-02 06:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,18,19,19,19,34,6,90,0.0,1010,19,10,197,18,Nebraska
2022-09-02 09:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,20,25,25,23,24,75,84,0.2,1011,23,10,188,18,Nebraska
2022-09-02 12:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,19,38,38,35,29,88,38,0.1,1010,35,10,188,24,Nebraska
2022-09-02 15:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,18,31,31,29,14,79,52,0.1,1010,29,10,268,9,Nebraska
2022-09-02 18:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,18,27,27,26,26,78,60,0.3,1010,26,10,164,14,Nebraska
2022-09-02 21:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,17,20,20,20,11,6,82,0.0,1014,20,10,296,5,Nebraska
2022-09-03 00:00:00,35,17,0.0,11.6,7,49,02:46 PM,11:57 PM,06:52 AM,07:52 PM,14,18,18,18,17,4,77,0.0,1016,18,10,241,8,Nebraska
2022-09-03 03:00:00,35,17,0.0,11.6,7,49,02:46 PM,11:57 PM,06:52 AM,07:52 PM,15,17,17,17,8,2,86,0.0,1016,17,10,321,4,Nebraska
2022-09-03 06:00:00,35,17,0.0,11.6,7,49,02:46 PM,11:57 PM,06:52 AM,07:52 PM,14,17,17,17,17,4,87,0.0,1017,17,10,6,8,Nebraska
2022-09-03 09:00:00,35,17,0.0,11.6,7,49,02:46 PM,11:57 PM,06:52 AM,07:52 PM,12,25,25,23,21,9,50,0.0,1019,23,10,38,18,Nebraska
2022-09-03 12:00:00,35,17,0.0,11.6,7,49,02:46 PM,11:57 PM,06:52 AM,07:52 PM,8,31,31,33,22,9,22,0.0,1020,33,10,38,19,Nebraska
2022-09-03 15:00:00,35,17,0.0,11.6,7,49,02:46 PM,11:57 PM,06:52 AM,07:52 PM,5,33,33,35,19,0,16,0.0,1018,35,10,32,16,Nebraska
2022-09-03 18:00:00,35,17,0.0,11.6,7,49,02:46 PM,11:57 PM,06:52 AM,07:52 PM,2,30,30,32,19,0,15,0.0,1017,32,10,28,16,Nebraska
2022-09-03 21:00:00,35,17,0.0,11.6,7,49,02:46 PM,11:57 PM,06:52 AM,07:52 PM,4,21,21,21,30,0,34,0.0,1019,21,10,58,14,Nebraska
2022-09-04 00:00:00,36,17,0.0,11.6,7,56,03:58 PM,No moonset,06:53 AM,07:51 PM,13,20,20,20,24,9,65,0.0,1019,20,10,63,12,Nebraska
2022-09-04 03:00:00,36,17,0.0,11.6,7,56,03:58 PM,No moonset,06:53 AM,07:51 PM,14,18,18,18,21,10,77,0.0,1018,18,10,33,10,Nebraska
2022-09-04 06:00:00,36,17,0.0,11.6,7,56,03:58 PM,No moonset,06:53 AM,07:51 PM,15,17,17,17,21,8,89,0.0,1018,17,10,20,10,Nebraska
2022-09-04 09:00:00,36,17,0.0,11.6,7,56,03:58 PM,No moonset,06:53 AM,07:51 PM,16,25,25,22,13,10,69,0.0,1019,22,10,28,11,Nebraska
2022-09-04 12:00:00,36,17,0.0,11.6,7,56,03:58 PM,No moonset,06:53 AM,07:51 PM,18,35,35,33,10,14,43,0.0,1017,33,10,72,9,Nebraska
2022-09-04 15:00:00,36,17,0.0,11.6,7,56,03:58 PM,No moonset,06:53 AM,07:51 PM,15,37,37,36,8,14,28,0.0,1014,36,10,121,7,Nebraska
2022-09-04 18:00:00,36,17,0.0,11.6,7,56,03:58 PM,No moonset,06:53 AM,07:51 PM,12,33,33,34,22,44,25,0.0,1013,34,10,120,19,Nebraska
2022-09-04 21:00:00,36,17,0.0,11.6,7,56,03:58 PM,No moonset,06:53 AM,07:51 PM,12,27,27,27,26,43,39,0.0,1013,27,10,113,12,Nebraska
2022-09-05 00:00:00,35,19,0.0,11.6,7,62,05:03 PM,12:51 AM,06:54 AM,07:49 PM,15,25,25,22,24,13,65,0.0,1014,22,10,131,12,Nebraska
2022-09-05 03:00:00,35,19,0.0,11.6,7,62,05:03 PM,12:51 AM,06:54 AM,07:49 PM,14,20,20,20,24,12,68,0.0,1014,20,10,150,12,Nebraska
2022-09-05 06:00:00,35,19,0.0,11.6,7,62,05:03 PM,12:51 AM,06:54 AM,07:49 PM,15,19,19,19,21,14,76,0.0,1014,19,10,165,10,Nebraska
2022-09-05 09:00:00,35,19,0.0,11.6,7,62,05:03 PM,12:51 AM,06:54 AM,07:49 PM,16,26,26,25,14,14,57,0.0,1015,25,10,153,12,Nebraska
2022-09-05 12:00:00,35,19,0.0,11.6,7,62,05:03 PM,12:51 AM,06:54 AM,07:49 PM,15,33,33,33,19,18,33,0.0,1015,33,10,145,16,Nebraska
2022-09-05 15:00:00,35,19,0.0,11.6,7,62,05:03 PM,12:51 AM,06:54 AM,07:49 PM,12,35,35,35,17,44,25,0.0,1012,35,10,139,14,Nebraska
2022-09-05 18:00:00,35,19,0.0,11.6,7,62,05:03 PM,12:51 AM,06:54 AM,07:49 PM,10,33,33,35,16,32,23,0.0,1011,35,10,129,14,Nebraska
2022-09-05 21:00:00,35,19,0.0,11.6,7,62,05:03 PM,12:51 AM,06:54 AM,07:49 PM,10,26,26,26,22,11,36,0.0,1012,26,10,137,10,Nebraska
