date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,9,24,24,23,26,23,41,0.0,1015,23,10,166,13,Nevada
2022-09-01 03:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,10,21,24,21,14,23,49,0.0,1014,21,10,286,6,Nevada
2022-09-01 06:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,13,17,17,17,17,84,78,0.1,1015,17,10,252,8,Nevada
2022-09-01 09:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,17,22,25,22,10,17,72,0.0,1016,22,10,257,6,Nevada
2022-09-01 12:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,18,31,31,30,18,15,49,0.0,1015,30,10,223,16,Nevada
2022-09-01 15:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,13,32,32,32,30,14,32,0.0,1013,32,10,199,26,Nevada
2022-09-01 18:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,14,27,27,27,28,23,45,0.0,1012,27,10,204,18,Nevada
2022-09-01 21:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,11,25,25,23,30,8,47,0.0,1012,23,10,148,14,Nevada
2022-09-02 00:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,16,21,21,21,11,14,76,0.0,1011,21,10,277,5,Nevada
2022-09-02 03:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,18,19,19,19,20,71,91,0.6,1011,19,9,193,9,Nevada
