date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,13,16,16,16,22,5,82,0.0,1016,16,10,258,10,New_Hampshire
2022-09-01 03:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,12,15,15,15,18,9,83,0.0,1017,15,10,263,9,New_Hampshire
2022-09-01 06:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,12,15,14,15,13,11,85,0.0,1017,14,10,300,6,New_Hampshire
2022-09-01 09:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,14,18,18,18,8,29,78,0.0,1019,18,10,341,5,New_Hampshire
2022-09-01 12:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,17,25,25,23,5,16,67,0.0,1019,23,10,336,5,New_Hampshire
2022-09-01 15:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,18,27,27,26,8,25,62,0.0,1018,26,10,328,7,New_Hampshire
2022-09-01 18:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,19,27,27,25,9,21,66,0.0,1017,25,10,343,8,New_Hampshire
2022-09-01 21:00:00,26,14,0.0,11.6,6,35,12:30 PM,10:52 PM,07:03 AM,08:08 PM,16,19,19,19,17,3,84,0.0,1018,19,10,88,8,New_Hampshire
2022-09-02 00:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,15,18,18,18,26,4,80,0.0,1018,18,10,130,13,New_Hampshire
2022-09-02 03:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,15,17,17,17,24,10,84,0.0,1018,17,10,154,12,New_Hampshire
2022-09-02 06:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,15,17,17,17,23,12,86,0.0,1018,17,10,154,11,New_Hampshire
2022-09-02 09:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,16,20,20,20,18,14,79,0.0,1019,20,10,160,11,New_Hampshire
2022-09-02 12:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,21,31,31,29,13,15,62,0.0,1019,29,10,170,11,New_Hampshire
2022-09-02 15:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,20,32,32,30,12,10,57,0.0,1018,30,10,178,10,New_Hampshire
2022-09-02 18:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,22,30,30,28,8,11,70,0.0,1018,28,10,177,7,New_Hampshire
2022-09-02 21:00:00,30,17,0.0,11.6,6,42,01:43 PM,11:26 PM,07:04 AM,08:06 PM,18,22,24,22,21,8,80,0.0,1019,22,10,139,10,New_Hampshire
2022-09-03 00:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,17,21,24,21,32,14,77,0.0,1018,21,10,178,15,New_Hampshire
2022-09-03 03:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,16,19,19,19,31,16,83,0.0,1019,19,10,189,15,New_Hampshire
2022-09-03 06:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,18,19,19,19,28,22,94,0.0,1019,19,10,188,13,New_Hampshire
2022-09-03 09:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,19,21,24,21,23,18,88,0.0,1020,21,10,205,15,New_Hampshire
2022-09-03 12:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,22,33,33,29,16,5,66,0.0,1020,29,10,233,14,New_Hampshire
2022-09-03 15:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,21,34,34,31,13,11,55,0.0,1020,31,10,206,12,New_Hampshire
2022-09-03 18:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,21,30,30,28,13,38,67,0.0,1019,28,10,191,10,New_Hampshire
2022-09-03 21:00:00,31,19,0.0,11.6,7,49,02:56 PM,No moonset,07:05 AM,08:04 PM,18,20,20,20,26,6,90,0.0,1020,20,10,174,13,New_Hampshire
2022-09-04 00:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,18,19,19,19,23,40,96,0.0,1021,19,2,176,11,New_Hampshire
2022-09-04 03:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,17,18,18,18,20,42,96,0.0,1021,18,2,188,9,New_Hampshire
2022-09-04 06:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,16,17,17,17,9,28,94,0.0,1020,17,10,167,4,New_Hampshire
2022-09-04 09:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,17,20,20,20,7,11,85,0.0,1020,20,10,70,5,New_Hampshire
2022-09-04 12:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,19,28,28,26,10,26,64,0.0,1020,26,10,116,9,New_Hampshire
2022-09-04 15:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,19,29,29,27,7,69,62,0.7,1018,27,10,89,6,New_Hampshire
2022-09-04 18:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,20,28,28,26,3,81,69,0.8,1016,26,10,112,1,New_Hampshire
2022-09-04 21:00:00,27,17,0.0,9.0,5,56,04:07 PM,12:08 AM,07:06 AM,08:03 PM,18,21,24,21,9,86,82,0.1,1017,21,10,32,4,New_Hampshire
