date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,29,22,0.0,11.6,7,35,11:50 AM,10:11 PM,06:23 AM,07:29 PM,10,25,25,24,10,4,41,0.0,1011,24,10,320,8,New_Jersey
2022-09-01 03:00:00,29,22,0.0,11.6,7,35,11:50 AM,10:11 PM,06:23 AM,07:29 PM,10,25,25,23,13,5,44,0.0,1011,23,10,265,9,New_Jersey
2022-09-01 06:00:00,29,22,0.0,11.6,7,35,11:50 AM,10:11 PM,06:23 AM,07:29 PM,10,24,24,22,18,13,47,0.0,1012,22,10,268,13,New_Jersey
2022-09-01 09:00:00,29,22,0.0,11.6,7,35,11:50 AM,10:11 PM,06:23 AM,07:29 PM,10,25,25,23,20,4,44,0.0,1014,23,10,314,17,New_Jersey
2022-09-01 12:00:00,29,22,0.0,11.6,7,35,11:50 AM,10:11 PM,06:23 AM,07:29 PM,8,27,27,29,25,0,27,0.0,1014,29,10,307,22,New_Jersey
2022-09-01 15:00:00,29,22,0.0,11.6,7,35,11:50 AM,10:11 PM,06:23 AM,07:29 PM,7,27,27,28,22,4,26,0.0,1014,28,10,303,19,New_Jersey
2022-09-01 18:00:00,29,22,0.0,11.6,7,35,11:50 AM,10:11 PM,06:23 AM,07:29 PM,8,27,27,29,25,0,27,0.0,1015,29,10,326,22,New_Jersey
2022-09-01 21:00:00,29,22,0.0,11.6,7,35,11:50 AM,10:11 PM,06:23 AM,07:29 PM,5,24,24,23,23,0,32,0.0,1018,23,10,341,19,New_Jersey
2022-09-02 00:00:00,29,19,0.0,11.6,6,42,01:02 PM,10:45 PM,06:24 AM,07:27 PM,6,22,24,22,14,0,36,0.0,1019,22,10,4,11,New_Jersey
2022-09-02 03:00:00,29,19,0.0,11.6,6,42,01:02 PM,10:45 PM,06:24 AM,07:27 PM,6,20,20,20,13,0,39,0.0,1020,20,10,21,10,New_Jersey
2022-09-02 06:00:00,29,19,0.0,11.6,6,42,01:02 PM,10:45 PM,06:24 AM,07:27 PM,6,19,19,19,12,0,44,0.0,1022,19,10,18,9,New_Jersey
2022-09-02 09:00:00,29,19,0.0,11.6,6,42,01:02 PM,10:45 PM,06:24 AM,07:27 PM,7,21,21,21,9,0,41,0.0,1024,21,10,53,8,New_Jersey
