date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,8,8,9,8,18,16,91,0.0,1023,9,10,96,9,New_Mexico
2022-09-01 03:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,8,9,10,9,14,25,88,0.0,1023,10,10,89,7,New_Mexico
2022-09-01 06:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,7,8,9,8,13,15,91,0.0,1024,9,10,95,6,New_Mexico
2022-09-01 09:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,10,15,15,15,3,11,69,0.0,1024,15,10,74,2,New_Mexico
2022-09-01 12:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,10,20,20,20,8,14,52,0.0,1021,20,10,302,7,New_Mexico
2022-09-01 15:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,9,21,24,21,6,28,46,0.0,1019,21,10,243,5,New_Mexico
2022-09-01 18:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,10,15,15,15,5,87,73,0.1,1019,15,10,237,2,New_Mexico
2022-09-01 21:00:00,21,9,0.0,10.1,5,35,09:55 AM,11:24 PM,07:14 AM,06:42 PM,12,14,13,14,6,100,92,0.4,1022,13,10,250,4,New_Mexico
2022-09-02 00:00:00,14,10,0.0,5.6,3,42,10:29 AM,No moonset,07:13 AM,06:42 PM,7,12,12,12,9,69,70,0.0,1021,12,10,346,4,New_Mexico
2022-09-02 03:00:00,14,10,0.0,5.6,3,42,10:29 AM,No moonset,07:13 AM,06:42 PM,7,11,11,11,6,51,75,0.0,1020,11,10,316,3,New_Mexico
2022-09-02 06:00:00,14,10,0.0,5.6,3,42,10:29 AM,No moonset,07:13 AM,06:42 PM,7,11,11,11,5,47,76,0.0,1021,11,10,41,3,New_Mexico
2022-09-02 09:00:00,14,10,0.0,5.6,3,42,10:29 AM,No moonset,07:13 AM,06:42 PM,9,14,14,14,4,92,70,0.0,1022,14,10,263,3,New_Mexico
2022-09-02 12:00:00,14,10,0.0,5.6,3,42,10:29 AM,No moonset,07:13 AM,06:42 PM,10,12,12,12,7,72,88,0.4,1021,12,5,238,5,New_Mexico
2022-09-02 15:00:00,14,10,0.0,5.6,3,42,10:29 AM,No moonset,07:13 AM,06:42 PM,10,10,11,10,9,100,96,1.2,1021,11,9,213,7,New_Mexico
2022-09-02 18:00:00,14,10,0.0,5.6,3,42,10:29 AM,No moonset,07:13 AM,06:42 PM,10,9,10,9,12,98,97,1.6,1021,10,9,176,9,New_Mexico
2022-09-02 21:00:00,14,10,0.0,5.6,3,42,10:29 AM,No moonset,07:13 AM,06:42 PM,9,8,10,8,14,100,94,1.1,1021,10,9,145,10,New_Mexico
2022-09-03 00:00:00,9,9,0.0,5.7,2,49,11:09 AM,12:28 AM,07:12 AM,06:43 PM,8,7,9,7,18,100,93,0.5,1020,9,2,147,11,New_Mexico
2022-09-03 03:00:00,9,9,0.0,5.7,2,49,11:09 AM,12:28 AM,07:12 AM,06:43 PM,8,7,9,7,16,100,97,1.4,1018,9,9,160,10,New_Mexico
2022-09-03 06:00:00,9,9,0.0,5.7,2,49,11:09 AM,12:28 AM,07:12 AM,06:43 PM,8,7,9,7,15,100,92,1.0,1019,9,9,168,9,New_Mexico
2022-09-03 09:00:00,9,9,0.0,5.7,2,49,11:09 AM,12:28 AM,07:12 AM,06:43 PM,8,7,9,7,17,100,93,0.7,1020,9,2,188,14,New_Mexico
2022-09-03 12:00:00,9,9,0.0,5.7,2,49,11:09 AM,12:28 AM,07:12 AM,06:43 PM,8,7,9,7,17,100,93,0.5,1019,9,2,191,14,New_Mexico
2022-09-03 15:00:00,9,9,0.0,5.7,2,49,11:09 AM,12:28 AM,07:12 AM,06:43 PM,8,7,9,7,17,100,93,0.4,1018,9,2,192,13,New_Mexico
2022-09-03 18:00:00,9,9,0.0,5.7,2,49,11:09 AM,12:28 AM,07:12 AM,06:43 PM,8,7,9,7,24,100,90,0.2,1019,9,2,179,17,New_Mexico
2022-09-03 21:00:00,9,9,0.0,5.7,2,49,11:09 AM,12:28 AM,07:12 AM,06:43 PM,7,6,9,6,23,100,88,0.2,1021,9,10,174,15,New_Mexico
2022-09-04 00:00:00,14,7,0.0,7.1,3,56,11:56 AM,01:36 AM,07:11 AM,06:43 PM,6,5,8,5,32,100,87,0.0,1019,8,10,163,19,New_Mexico
2022-09-04 03:00:00,14,7,0.0,7.1,3,56,11:56 AM,01:36 AM,07:11 AM,06:43 PM,7,6,9,6,28,100,87,0.0,1018,9,10,164,17,New_Mexico
2022-09-04 06:00:00,14,7,0.0,7.1,3,56,11:56 AM,01:36 AM,07:11 AM,06:43 PM,7,7,9,7,30,100,84,0.0,1019,9,10,166,19,New_Mexico
2022-09-04 09:00:00,14,7,0.0,7.1,3,56,11:56 AM,01:36 AM,07:11 AM,06:43 PM,8,10,12,10,23,75,76,0.0,1020,12,10,148,19,New_Mexico
2022-09-04 12:00:00,14,7,0.0,7.1,3,56,11:56 AM,01:36 AM,07:11 AM,06:43 PM,9,11,13,11,23,100,75,0.0,1020,13,10,165,20,New_Mexico
2022-09-04 15:00:00,14,7,0.0,7.1,3,56,11:56 AM,01:36 AM,07:11 AM,06:43 PM,7,13,14,13,24,63,63,0.0,1018,14,10,149,21,New_Mexico
2022-09-04 18:00:00,14,7,0.0,7.1,3,56,11:56 AM,01:36 AM,07:11 AM,06:43 PM,6,8,10,8,19,30,78,0.0,1020,10,10,150,11,New_Mexico
2022-09-04 21:00:00,14,7,0.0,7.1,3,56,11:56 AM,01:36 AM,07:11 AM,06:43 PM,5,6,7,6,14,20,85,0.0,1023,7,10,173,7,New_Mexico
2022-09-05 00:00:00,16,5,0.0,11.4,4,62,12:51 PM,02:43 AM,07:09 AM,06:44 PM,4,5,6,5,11,23,86,0.0,1023,6,10,180,6,New_Mexico
2022-09-05 03:00:00,16,5,0.0,11.4,4,62,12:51 PM,02:43 AM,07:09 AM,06:44 PM,4,5,5,5,8,29,91,0.0,1022,5,10,148,4,New_Mexico
2022-09-05 06:00:00,16,5,0.0,11.4,4,62,12:51 PM,02:43 AM,07:09 AM,06:44 PM,3,3,5,3,12,30,93,0.0,1023,5,10,141,6,New_Mexico
2022-09-05 09:00:00,16,5,0.0,11.4,4,62,12:51 PM,02:43 AM,07:09 AM,06:44 PM,6,11,12,11,9,18,68,0.0,1023,12,10,149,8,New_Mexico
2022-09-05 12:00:00,16,5,0.0,11.4,4,62,12:51 PM,02:43 AM,07:09 AM,06:44 PM,6,16,16,16,11,23,51,0.0,1020,16,10,156,9,New_Mexico
2022-09-05 15:00:00,16,5,0.0,11.4,4,62,12:51 PM,02:43 AM,07:09 AM,06:44 PM,6,16,16,16,19,46,52,0.0,1019,16,10,164,16,New_Mexico
2022-09-05 18:00:00,16,5,0.0,11.4,4,62,12:51 PM,02:43 AM,07:09 AM,06:44 PM,6,9,10,9,17,34,77,0.0,1021,10,10,161,8,New_Mexico
2022-09-05 21:00:00,16,5,0.0,11.4,4,62,12:51 PM,02:43 AM,07:09 AM,06:44 PM,5,6,8,6,20,25,82,0.0,1023,8,10,115,9,New_Mexico
2022-09-06 00:00:00,16,5,0.0,11.4,4,69,01:54 PM,03:49 AM,07:08 AM,06:44 PM,4,4,6,4,19,13,87,0.0,1024,6,10,125,9,New_Mexico
2022-09-06 03:00:00,16,5,0.0,11.4,4,69,01:54 PM,03:49 AM,07:08 AM,06:44 PM,3,4,5,4,16,15,87,0.0,1023,5,10,119,8,New_Mexico
2022-09-06 06:00:00,16,5,0.0,11.4,4,69,01:54 PM,03:49 AM,07:08 AM,06:44 PM,3,3,5,3,15,16,85,0.0,1024,5,10,115,7,New_Mexico
2022-09-06 09:00:00,16,5,0.0,11.4,4,69,01:54 PM,03:49 AM,07:08 AM,06:44 PM,5,10,11,10,8,16,66,0.0,1024,11,10,122,6,New_Mexico
2022-09-06 12:00:00,16,5,0.0,11.4,4,69,01:54 PM,03:49 AM,07:08 AM,06:44 PM,6,16,16,16,3,28,52,0.0,1022,16,10,214,3,New_Mexico
2022-09-06 15:00:00,16,5,0.0,11.4,4,69,01:54 PM,03:49 AM,07:08 AM,06:44 PM,6,16,16,16,6,19,54,0.0,1020,16,10,202,5,New_Mexico
2022-09-06 18:00:00,16,5,0.0,11.4,4,69,01:54 PM,03:49 AM,07:08 AM,06:44 PM,6,10,11,10,17,22,72,0.0,1021,11,10,119,8,New_Mexico
2022-09-06 21:00:00,16,5,0.0,11.4,4,69,01:54 PM,03:49 AM,07:08 AM,06:44 PM,5,8,10,8,17,24,75,0.0,1023,10,10,113,9,New_Mexico
2022-09-07 00:00:00,18,10,0.0,10.1,4,76,03:04 PM,04:48 AM,07:07 AM,06:45 PM,5,9,10,9,14,43,75,0.0,1024,10,10,113,8,New_Mexico
2022-09-07 03:00:00,18,10,0.0,10.1,4,76,03:04 PM,04:48 AM,07:07 AM,06:45 PM,6,9,10,9,13,48,77,0.0,1023,10,10,102,8,New_Mexico
2022-09-07 06:00:00,18,10,0.0,10.1,4,76,03:04 PM,04:48 AM,07:07 AM,06:45 PM,6,9,10,9,14,31,77,0.0,1024,10,10,98,8,New_Mexico
2022-09-07 09:00:00,18,10,0.0,10.1,4,76,03:04 PM,04:48 AM,07:07 AM,06:45 PM,7,14,14,14,3,45,63,0.0,1024,14,10,87,2,New_Mexico
2022-09-07 12:00:00,18,10,0.0,10.1,4,76,03:04 PM,04:48 AM,07:07 AM,06:45 PM,6,18,18,18,7,23,46,0.0,1023,18,10,293,6,New_Mexico
2022-09-07 15:00:00,18,10,0.0,10.1,4,76,03:04 PM,04:48 AM,07:07 AM,06:45 PM,7,18,18,18,5,25,50,0.0,1020,18,10,219,4,New_Mexico
2022-09-07 18:00:00,18,10,0.0,10.1,4,76,03:04 PM,04:48 AM,07:07 AM,06:45 PM,6,14,14,14,5,84,60,0.0,1021,14,10,151,3,New_Mexico
2022-09-07 21:00:00,18,10,0.0,10.1,4,76,03:04 PM,04:48 AM,07:07 AM,06:45 PM,6,13,13,13,9,72,61,0.0,1023,13,10,87,5,New_Mexico
2022-09-08 00:00:00,18,8,0.0,8.7,4,83,04:15 PM,05:40 AM,07:06 AM,06:46 PM,7,9,10,9,17,45,85,0.0,1022,10,10,83,8,New_Mexico
2022-09-08 03:00:00,18,8,0.0,8.7,4,83,04:15 PM,05:40 AM,07:06 AM,06:46 PM,7,7,8,7,16,32,92,0.0,1022,8,10,92,8,New_Mexico
2022-09-08 06:00:00,18,8,0.0,8.7,4,83,04:15 PM,05:40 AM,07:06 AM,06:46 PM,7,7,8,7,14,17,90,0.0,1023,8,10,69,6,New_Mexico
2022-09-08 09:00:00,18,8,0.0,8.7,4,83,04:15 PM,05:40 AM,07:06 AM,06:46 PM,8,13,14,13,10,20,69,0.0,1022,14,10,58,8,New_Mexico
2022-09-08 12:00:00,18,8,0.0,8.7,4,83,04:15 PM,05:40 AM,07:06 AM,06:46 PM,8,18,18,18,22,50,50,0.0,1019,18,10,345,19,New_Mexico
2022-09-08 15:00:00,18,8,0.0,8.7,4,83,04:15 PM,05:40 AM,07:06 AM,06:46 PM,9,18,18,18,20,61,55,0.0,1017,18,10,350,17,New_Mexico
