date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,12,21,21,21,30,5,58,0.0,1014,21,10,352,14,North_Carolina
2022-09-01 03:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,11,18,18,18,23,6,63,0.0,1015,18,10,3,11,North_Carolina
2022-09-01 06:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,11,17,17,17,19,7,66,0.0,1016,17,10,4,9,North_Carolina
2022-09-01 09:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,11,25,25,23,12,5,49,0.0,1017,23,10,18,9,North_Carolina
2022-09-01 12:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,14,32,32,33,9,3,31,0.0,1017,33,10,37,8,North_Carolina
2022-09-01 15:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,12,35,35,35,9,6,25,0.0,1015,35,10,337,8,North_Carolina
2022-09-01 18:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,11,32,32,33,9,6,27,0.0,1015,33,10,338,8,North_Carolina
2022-09-01 21:00:00,35,17,0.0,11.6,7,35,12:03 PM,10:43 PM,06:49 AM,07:45 PM,10,25,25,24,17,6,43,0.0,1016,24,10,33,8,North_Carolina
2022-09-02 00:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,10,21,21,21,17,3,48,0.0,1017,21,10,83,8,North_Carolina
2022-09-02 03:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,11,19,19,19,8,4,59,0.0,1018,19,10,45,4,North_Carolina
2022-09-02 06:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,12,17,17,17,17,5,72,0.0,1019,17,10,12,8,North_Carolina
2022-09-02 09:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,15,25,25,23,12,4,59,0.0,1020,23,10,43,10,North_Carolina
2022-09-02 12:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,16,35,35,34,13,5,34,0.0,1020,34,10,124,12,North_Carolina
2022-09-02 15:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,15,36,36,36,13,11,29,0.0,1019,36,10,130,11,North_Carolina
2022-09-02 18:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,14,33,33,33,17,31,31,0.0,1017,33,10,121,14,North_Carolina
2022-09-02 21:00:00,36,17,0.0,11.6,7,42,01:12 PM,11:20 PM,06:50 AM,07:44 PM,18,28,28,27,27,46,58,0.0,1020,27,10,142,18,North_Carolina
2022-09-03 00:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,18,25,25,24,22,12,71,0.0,1021,24,10,144,12,North_Carolina
2022-09-03 03:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,19,21,21,21,13,18,92,0.0,1022,21,10,153,6,North_Carolina
2022-09-03 06:00:00,33,20,0.0,10.3,7,49,02:22 PM,No moonset,06:51 AM,07:43 PM,19,20,20,20,9,44,95,0.0,1023,20,2,157,4,North_Carolina
