date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,14,17,17,17,10,4,83,0.0,1016,17,10,53,5,North_Dakota
2022-09-01 03:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,13,15,15,15,13,6,85,0.0,1016,15,10,72,6,North_Dakota
2022-09-01 06:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,11,14,14,14,10,6,85,0.0,1017,14,10,134,5,North_Dakota
2022-09-01 09:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,13,20,20,20,10,6,67,0.0,1017,20,10,121,8,North_Dakota
2022-09-01 12:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,19,30,30,29,16,7,55,0.0,1016,29,10,171,14,North_Dakota
2022-09-01 15:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,18,32,32,30,18,5,49,0.0,1014,30,10,175,15,North_Dakota
2022-09-01 18:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,21,30,30,28,14,7,64,0.0,1012,28,10,187,10,North_Dakota
2022-09-01 21:00:00,30,14,0.0,11.6,6,35,12:09 PM,10:13 PM,06:29 AM,07:41 PM,18,21,21,21,17,6,80,0.0,1013,21,10,153,8,North_Dakota
2022-09-02 00:00:00,27,19,0.0,6.6,6,42,01:24 PM,10:45 PM,06:30 AM,07:40 PM,17,19,19,19,19,9,92,0.0,1012,19,10,158,9,North_Dakota
2022-09-02 03:00:00,27,19,0.0,6.6,6,42,01:24 PM,10:45 PM,06:30 AM,07:40 PM,17,19,19,19,17,10,87,0.0,1010,19,10,160,8,North_Dakota
2022-09-02 06:00:00,27,19,0.0,6.6,6,42,01:24 PM,10:45 PM,06:30 AM,07:40 PM,15,19,19,19,21,18,78,0.0,1011,19,10,199,10,North_Dakota
2022-09-02 09:00:00,27,19,0.0,6.6,6,42,01:24 PM,10:45 PM,06:30 AM,07:40 PM,19,20,20,20,36,97,94,0.6,1011,20,2,192,22,North_Dakota
2022-09-02 12:00:00,27,19,0.0,6.6,6,42,01:24 PM,10:45 PM,06:30 AM,07:40 PM,20,25,25,23,27,100,84,0.7,1011,23,10,192,22,North_Dakota
