date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,12,20,20,20,11,7,59,0.0,1016,20,10,186,5,Ohio
2022-09-01 03:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,11,18,18,18,6,5,63,0.0,1016,18,10,160,3,Ohio
2022-09-01 06:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,11,18,18,18,18,6,64,0.0,1016,18,10,135,9,Ohio
2022-09-01 09:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,13,21,24,21,12,10,58,0.0,1017,21,10,175,9,Ohio
2022-09-01 12:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,16,31,31,31,13,8,42,0.0,1016,31,10,180,11,Ohio
2022-09-01 15:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,17,35,35,33,16,9,37,0.0,1014,33,10,224,14,Ohio
2022-09-01 18:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,17,29,29,28,29,21,50,0.0,1014,28,10,260,18,Ohio
2022-09-01 21:00:00,33,18,0.0,11.6,7,35,11:56 AM,10:11 PM,06:24 AM,07:31 PM,15,25,25,23,14,87,61,0.1,1015,23,10,205,6,Ohio
2022-09-02 00:00:00,36,20,0.0,10.3,7,42,01:09 PM,10:45 PM,06:25 AM,07:29 PM,14,25,25,22,29,13,58,0.0,1014,22,10,172,14,Ohio
2022-09-02 03:00:00,36,20,0.0,10.3,7,42,01:09 PM,10:45 PM,06:25 AM,07:29 PM,14,21,21,21,28,11,65,0.0,1013,21,10,184,13,Ohio
2022-09-02 06:00:00,36,20,0.0,10.3,7,42,01:09 PM,10:45 PM,06:25 AM,07:29 PM,14,20,20,20,26,13,69,0.0,1014,20,10,173,13,Ohio
2022-09-02 09:00:00,36,20,0.0,10.3,7,42,01:09 PM,10:45 PM,06:25 AM,07:29 PM,13,26,26,26,25,17,46,0.0,1015,26,10,196,21,Ohio
2022-09-02 12:00:00,36,20,0.0,10.3,7,42,01:09 PM,10:45 PM,06:25 AM,07:29 PM,14,35,35,35,27,6,29,0.0,1014,35,10,207,24,Ohio
