date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,8,26,26,27,17,22,30,0.0,1014,27,10,101,8,Oklahoma
2022-09-01 03:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,14,26,26,25,19,5,48,0.0,1013,25,10,168,9,Oklahoma
2022-09-01 06:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,13,26,26,25,22,19,47,0.0,1013,25,10,267,10,Oklahoma
2022-09-01 09:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,16,29,29,29,11,22,45,0.0,1014,29,10,252,8,Oklahoma
2022-09-01 12:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,18,38,38,36,17,20,34,0.0,1014,36,10,230,14,Oklahoma
2022-09-01 15:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,14,39,39,39,14,23,23,0.0,1010,39,10,233,12,Oklahoma
2022-09-01 18:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,15,34,34,34,22,31,33,0.0,1009,34,10,150,14,Oklahoma
2022-09-01 21:00:00,39,25,0.0,11.6,8,35,12:17 PM,10:58 PM,07:02 AM,07:57 PM,16,32,32,31,33,18,39,0.0,1010,31,10,191,19,Oklahoma
2022-09-02 00:00:00,37,20,0.0,11.6,7,42,01:26 PM,11:36 PM,07:03 AM,07:56 PM,19,20,20,20,29,61,95,0.0,1013,20,10,174,18,Oklahoma
2022-09-02 03:00:00,37,20,0.0,11.6,7,42,01:26 PM,11:36 PM,07:03 AM,07:56 PM,19,20,20,20,29,100,96,0.0,1013,20,10,183,19,Oklahoma
2022-09-02 06:00:00,37,20,0.0,11.6,7,42,01:26 PM,11:36 PM,07:03 AM,07:56 PM,19,20,20,20,28,59,96,0.0,1013,20,10,191,17,Oklahoma
2022-09-02 09:00:00,37,20,0.0,11.6,7,42,01:26 PM,11:36 PM,07:03 AM,07:56 PM,19,25,25,23,28,15,75,0.0,1013,23,10,211,24,Oklahoma
2022-09-02 12:00:00,37,20,0.0,11.6,7,42,01:26 PM,11:36 PM,07:03 AM,07:56 PM,21,37,37,33,25,8,48,0.0,1013,33,10,215,22,Oklahoma
2022-09-02 15:00:00,37,20,0.0,11.6,7,42,01:26 PM,11:36 PM,07:03 AM,07:56 PM,20,41,41,37,23,12,37,0.0,1010,37,10,217,20,Oklahoma
2022-09-02 18:00:00,37,20,0.0,11.6,7,42,01:26 PM,11:36 PM,07:03 AM,07:56 PM,18,37,37,35,19,12,35,0.0,1009,35,10,219,17,Oklahoma
2022-09-02 21:00:00,37,20,0.0,11.6,7,42,01:26 PM,11:36 PM,07:03 AM,07:56 PM,18,30,30,29,32,16,52,0.0,1011,29,10,202,16,Oklahoma
2022-09-03 00:00:00,30,20,0.0,10.3,7,49,02:36 PM,No moonset,07:04 AM,07:54 PM,18,27,27,26,33,33,61,0.0,1013,26,10,219,18,Oklahoma
