date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,9,14,14,14,18,11,72,0.0,1014,14,10,239,9,Pennsylvania
2022-09-01 03:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,10,16,16,16,24,13,65,0.0,1014,16,10,273,12,Pennsylvania
2022-09-01 06:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,11,12,12,12,11,0,91,0.0,1015,12,10,280,5,Pennsylvania
2022-09-01 09:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,10,16,16,16,14,0,66,0.0,1017,16,10,310,11,Pennsylvania
2022-09-01 12:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,9,25,25,25,18,0,38,0.0,1017,25,10,316,16,Pennsylvania
2022-09-01 15:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,7,26,26,26,17,4,28,0.0,1016,26,10,314,15,Pennsylvania
2022-09-01 18:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,10,25,25,25,12,6,40,0.0,1017,25,10,314,10,Pennsylvania
2022-09-01 21:00:00,26,12,0.0,11.6,6,35,12:06 PM,10:26 PM,06:39 AM,07:44 PM,8,15,15,15,9,4,62,0.0,1019,15,10,331,4,Pennsylvania
2022-09-02 00:00:00,28,10,0.0,11.6,6,42,01:18 PM,11:01 PM,06:40 AM,07:43 PM,6,13,13,13,8,3,64,0.0,1020,13,10,345,4,Pennsylvania
2022-09-02 03:00:00,28,10,0.0,11.6,6,42,01:18 PM,11:01 PM,06:40 AM,07:43 PM,6,11,11,11,12,3,72,0.0,1021,11,10,40,6,Pennsylvania
