date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,13,20,20,20,20,21,66,0.0,1009,20,10,298,10,Rhode_Island
2022-09-01 03:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,11,17,17,17,21,1,70,0.0,1009,17,10,296,10,Rhode_Island
2022-09-01 06:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,10,17,17,17,17,8,65,0.0,1010,17,10,272,8,Rhode_Island
2022-09-01 09:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,11,25,25,23,22,15,48,0.0,1011,23,10,266,17,Rhode_Island
2022-09-01 12:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,13,29,29,29,23,3,37,0.0,1011,29,10,278,20,Rhode_Island
2022-09-01 15:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,10,28,28,30,22,7,30,0.0,1011,30,10,291,19,Rhode_Island
2022-09-01 18:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,11,26,26,27,20,5,37,0.0,1013,27,10,302,17,Rhode_Island
2022-09-01 21:00:00,30,17,0.0,11.6,6,35,11:40 AM,09:57 PM,06:11 AM,07:18 PM,8,19,19,19,25,0,49,0.0,1017,19,10,339,15,Rhode_Island
2022-09-02 00:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,7,15,15,15,22,0,57,0.0,1019,15,10,7,10,Rhode_Island
2022-09-02 03:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,6,13,13,13,21,0,60,0.0,1020,13,10,4,10,Rhode_Island
2022-09-02 06:00:00,26,12,0.0,11.6,6,42,12:52 PM,10:30 PM,06:12 AM,07:17 PM,8,11,12,11,21,0,73,0.0,1022,12,10,10,10,Rhode_Island
