date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,22,7,0.0,8.7,5,35,09:14 AM,10:39 PM,06:12 AM,05:47 PM,-2,10,10,10,10,20,44,0.0,1028,10,10,61,6,South_Carolina
2022-09-01 03:00:00,22,7,0.0,8.7,5,35,09:14 AM,10:39 PM,06:12 AM,05:47 PM,-1,8,8,8,8,8,53,0.0,1027,8,10,65,4,South_Carolina
2022-09-01 06:00:00,22,7,0.0,8.7,5,35,09:14 AM,10:39 PM,06:12 AM,05:47 PM,-0,7,7,7,3,6,60,0.0,1028,7,10,277,1,South_Carolina
2022-09-01 09:00:00,22,7,0.0,8.7,5,35,09:14 AM,10:39 PM,06:12 AM,05:47 PM,0,13,13,13,8,6,42,0.0,1028,13,10,249,6,South_Carolina
2022-09-01 12:00:00,22,7,0.0,8.7,5,35,09:14 AM,10:39 PM,06:12 AM,05:47 PM,2,19,19,19,9,6,32,0.0,1024,19,10,262,8,South_Carolina
2022-09-01 15:00:00,22,7,0.0,8.7,5,35,09:14 AM,10:39 PM,06:12 AM,05:47 PM,-0,22,22,22,10,4,23,0.0,1020,22,10,277,9,South_Carolina
2022-09-01 18:00:00,22,7,0.0,8.7,5,35,09:14 AM,10:39 PM,06:12 AM,05:47 PM,-0,19,19,19,15,3,27,0.0,1020,19,10,320,11,South_Carolina
2022-09-01 21:00:00,22,7,0.0,8.7,5,35,09:14 AM,10:39 PM,06:12 AM,05:47 PM,0,13,14,13,16,3,39,0.0,1024,14,10,3,8,South_Carolina
2022-09-02 00:00:00,25,9,0.0,8.7,5,42,09:53 AM,11:43 PM,06:11 AM,05:48 PM,1,12,12,12,10,5,48,0.0,1024,12,10,359,5,South_Carolina
2022-09-02 03:00:00,25,9,0.0,8.7,5,42,09:53 AM,11:43 PM,06:11 AM,05:48 PM,1,9,10,9,14,7,53,0.0,1024,10,10,333,7,South_Carolina
