date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,39,15,0.0,11.6,7,35,12:35 PM,10:31 PM,06:48 AM,08:04 PM,10,19,19,19,23,3,54,0.0,1015,19,10,126,11,South_Dakota
2022-09-01 03:00:00,39,15,0.0,11.6,7,35,12:35 PM,10:31 PM,06:48 AM,08:04 PM,11,17,17,17,21,4,65,0.0,1014,17,10,144,10,South_Dakota
2022-09-01 06:00:00,39,15,0.0,11.6,7,35,12:35 PM,10:31 PM,06:48 AM,08:04 PM,12,15,15,15,19,4,78,0.0,1013,15,10,137,9,South_Dakota
2022-09-01 09:00:00,39,15,0.0,11.6,7,35,12:35 PM,10:31 PM,06:48 AM,08:04 PM,12,22,25,22,14,3,54,0.0,1012,22,10,144,12,South_Dakota
2022-09-01 12:00:00,39,15,0.0,11.6,7,35,12:35 PM,10:31 PM,06:48 AM,08:04 PM,14,36,36,36,17,2,28,0.0,1009,36,10,188,14,South_Dakota
2022-09-01 15:00:00,39,15,0.0,11.6,7,35,12:35 PM,10:31 PM,06:48 AM,08:04 PM,9,38,38,39,21,7,17,0.0,1006,39,10,184,18,South_Dakota
2022-09-01 18:00:00,39,15,0.0,11.6,7,35,12:35 PM,10:31 PM,06:48 AM,08:04 PM,9,36,36,37,21,8,18,0.0,1004,37,10,186,18,South_Dakota
2022-09-01 21:00:00,39,15,0.0,11.6,7,35,12:35 PM,10:31 PM,06:48 AM,08:04 PM,10,27,27,28,24,3,33,0.0,1005,28,10,183,12,South_Dakota
2022-09-02 00:00:00,34,20,0.0,11.6,7,42,01:52 PM,11:01 PM,06:50 AM,08:02 PM,13,26,26,26,47,3,45,0.0,1005,26,10,187,25,South_Dakota
2022-09-02 03:00:00,34,20,0.0,11.6,7,42,01:52 PM,11:01 PM,06:50 AM,08:02 PM,14,22,25,22,36,4,61,0.0,1006,22,10,203,17,South_Dakota
2022-09-02 06:00:00,34,20,0.0,11.6,7,42,01:52 PM,11:01 PM,06:50 AM,08:02 PM,15,20,20,20,8,30,75,0.0,1006,20,10,116,4,South_Dakota
2022-09-02 09:00:00,34,20,0.0,11.6,7,42,01:52 PM,11:01 PM,06:50 AM,08:02 PM,15,27,27,26,18,16,50,0.0,1007,26,10,293,14,South_Dakota
2022-09-02 12:00:00,34,20,0.0,11.6,7,42,01:52 PM,11:01 PM,06:50 AM,08:02 PM,12,33,33,33,33,4,28,0.0,1009,33,10,1,28,South_Dakota
2022-09-02 15:00:00,34,20,0.0,11.6,7,42,01:52 PM,11:01 PM,06:50 AM,08:02 PM,11,32,32,34,35,3,24,0.0,1010,34,10,355,30,South_Dakota
2022-09-02 18:00:00,34,20,0.0,11.6,7,42,01:52 PM,11:01 PM,06:50 AM,08:02 PM,5,28,28,31,30,2,20,0.0,1012,31,10,359,26,South_Dakota
2022-09-02 21:00:00,34,20,0.0,11.6,7,42,01:52 PM,11:01 PM,06:50 AM,08:02 PM,-1,22,22,22,39,0,22,0.0,1016,22,10,18,21,South_Dakota
2022-09-03 00:00:00,29,11,0.0,11.6,6,49,03:09 PM,11:41 PM,06:51 AM,08:00 PM,-1,15,15,15,11,0,35,0.0,1019,15,10,336,5,South_Dakota
2022-09-03 03:00:00,29,11,0.0,11.6,6,49,03:09 PM,11:41 PM,06:51 AM,08:00 PM,0,12,13,12,21,0,43,0.0,1021,13,10,345,10,South_Dakota
2022-09-03 06:00:00,29,11,0.0,11.6,6,49,03:09 PM,11:41 PM,06:51 AM,08:00 PM,2,9,11,9,22,0,57,0.0,1024,11,10,357,10,South_Dakota
2022-09-03 09:00:00,29,11,0.0,11.6,6,49,03:09 PM,11:41 PM,06:51 AM,08:00 PM,6,16,16,16,11,0,51,0.0,1025,16,10,25,9,South_Dakota
2022-09-03 12:00:00,29,11,0.0,11.6,6,49,03:09 PM,11:41 PM,06:51 AM,08:00 PM,5,24,24,24,15,0,28,0.0,1024,24,10,34,13,South_Dakota
2022-09-03 15:00:00,29,11,0.0,11.6,6,49,03:09 PM,11:41 PM,06:51 AM,08:00 PM,1,27,27,29,16,0,17,0.0,1023,29,10,43,14,South_Dakota
2022-09-03 18:00:00,29,11,0.0,11.6,6,49,03:09 PM,11:41 PM,06:51 AM,08:00 PM,-2,26,26,28,12,0,14,0.0,1021,28,10,67,10,South_Dakota
2022-09-03 21:00:00,29,11,0.0,11.6,6,49,03:09 PM,11:41 PM,06:51 AM,08:00 PM,-1,18,18,18,20,0,27,0.0,1022,18,10,118,9,South_Dakota
2022-09-04 00:00:00,33,11,0.0,11.6,6,56,04:23 PM,No moonset,06:52 AM,07:59 PM,0,15,15,15,23,0,36,0.0,1022,15,10,143,11,South_Dakota
2022-09-04 03:00:00,33,11,0.0,11.6,6,56,04:23 PM,No moonset,06:52 AM,07:59 PM,3,11,12,11,25,0,52,0.0,1022,12,10,143,12,South_Dakota
2022-09-04 06:00:00,33,11,0.0,11.6,6,56,04:23 PM,No moonset,06:52 AM,07:59 PM,5,10,11,10,21,0,64,0.0,1022,11,10,163,10,South_Dakota
2022-09-04 09:00:00,33,11,0.0,11.6,6,56,04:23 PM,No moonset,06:52 AM,07:59 PM,7,18,18,18,16,0,48,0.0,1022,18,10,146,13,South_Dakota
2022-09-04 12:00:00,33,11,0.0,11.6,6,56,04:23 PM,No moonset,06:52 AM,07:59 PM,7,27,27,29,20,0,24,0.0,1019,29,10,137,17,South_Dakota
2022-09-04 15:00:00,33,11,0.0,11.6,6,56,04:23 PM,No moonset,06:52 AM,07:59 PM,3,31,31,33,20,0,16,0.0,1016,33,10,135,18,South_Dakota
2022-09-04 18:00:00,33,11,0.0,11.6,6,56,04:23 PM,No moonset,06:52 AM,07:59 PM,3,30,30,32,22,0,16,0.0,1013,32,10,131,19,South_Dakota
2022-09-04 21:00:00,33,11,0.0,11.6,6,56,04:23 PM,No moonset,06:52 AM,07:59 PM,5,22,23,22,30,0,33,0.0,1013,22,10,138,14,South_Dakota
2022-09-05 00:00:00,37,14,0.0,10.3,7,62,05:28 PM,12:33 AM,06:53 AM,07:57 PM,4,17,17,17,30,0,43,0.0,1015,17,10,148,14,South_Dakota
2022-09-05 03:00:00,37,14,0.0,10.3,7,62,05:28 PM,12:33 AM,06:53 AM,07:57 PM,12,14,15,14,32,0,80,0.0,1014,15,10,149,15,South_Dakota
2022-09-05 06:00:00,37,14,0.0,10.3,7,62,05:28 PM,12:33 AM,06:53 AM,07:57 PM,13,13,14,13,26,3,94,0.0,1015,14,10,146,12,South_Dakota
2022-09-05 09:00:00,37,14,0.0,10.3,7,62,05:28 PM,12:33 AM,06:53 AM,07:57 PM,15,21,21,21,23,32,71,0.0,1014,21,10,157,19,South_Dakota
2022-09-05 12:00:00,37,14,0.0,10.3,7,62,05:28 PM,12:33 AM,06:53 AM,07:57 PM,13,31,31,32,31,100,31,0.0,1012,32,10,162,27,South_Dakota
2022-09-05 15:00:00,37,14,0.0,10.3,7,62,05:28 PM,12:33 AM,06:53 AM,07:57 PM,9,36,36,37,30,1,18,0.0,1010,37,10,177,26,South_Dakota
2022-09-05 18:00:00,37,14,0.0,10.3,7,62,05:28 PM,12:33 AM,06:53 AM,07:57 PM,7,36,36,37,29,2,16,0.0,1008,37,10,178,25,South_Dakota
