date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,11,20,20,20,25,7,56,0.0,1016,20,10,206,12,Tennessee
2022-09-01 03:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,11,20,20,20,25,7,59,0.0,1016,20,10,226,12,Tennessee
2022-09-01 06:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,11,19,19,19,29,10,59,0.0,1016,19,10,202,14,Tennessee
2022-09-01 09:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,11,25,25,25,19,11,42,0.0,1017,25,10,233,15,Tennessee
2022-09-01 12:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,12,30,30,31,19,78,31,0.1,1016,31,10,244,16,Tennessee
2022-09-01 15:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,12,28,28,28,20,79,37,0.1,1015,28,10,238,12,Tennessee
2022-09-01 18:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,11,30,30,31,15,22,29,0.0,1014,31,10,205,12,Tennessee
2022-09-01 21:00:00,31,19,0.0,9.1,7,35,11:59 AM,10:20 PM,06:30 AM,07:35 PM,12,25,25,25,26,20,45,0.0,1015,25,10,169,12,Tennessee
2022-09-02 00:00:00,34,19,0.0,10.3,7,42,01:11 PM,10:54 PM,06:31 AM,07:34 PM,15,25,25,24,41,10,57,0.0,1014,24,10,177,21,Tennessee
2022-09-02 03:00:00,34,19,0.0,10.3,7,42,01:11 PM,10:54 PM,06:31 AM,07:34 PM,13,21,25,21,31,5,59,0.0,1013,21,10,180,15,Tennessee
2022-09-02 06:00:00,34,19,0.0,10.3,7,42,01:11 PM,10:54 PM,06:31 AM,07:34 PM,13,19,19,19,26,99,65,0.0,1014,19,10,176,12,Tennessee
2022-09-02 09:00:00,34,19,0.0,10.3,7,42,01:11 PM,10:54 PM,06:31 AM,07:34 PM,17,26,26,25,16,78,60,0.0,1015,25,10,224,14,Tennessee
2022-09-02 12:00:00,34,19,0.0,10.3,7,42,01:11 PM,10:54 PM,06:31 AM,07:34 PM,18,36,36,34,20,12,39,0.0,1014,34,10,203,17,Tennessee
2022-09-02 15:00:00,34,19,0.0,10.3,7,42,01:11 PM,10:54 PM,06:31 AM,07:34 PM,14,32,32,32,25,48,33,0.0,1013,32,10,211,22,Tennessee
2022-09-02 18:00:00,34,19,0.0,10.3,7,42,01:11 PM,10:54 PM,06:31 AM,07:34 PM,14,31,31,31,17,25,35,0.0,1013,31,10,179,13,Tennessee
2022-09-02 21:00:00,34,19,0.0,10.3,7,42,01:11 PM,10:54 PM,06:31 AM,07:34 PM,15,25,25,22,30,83,64,0.1,1016,22,10,214,14,Tennessee
2022-09-03 00:00:00,36,18,0.0,11.6,6,49,02:24 PM,11:37 PM,06:32 AM,07:32 PM,14,18,18,18,24,71,78,0.4,1016,18,9,213,12,Tennessee
2022-09-03 03:00:00,36,18,0.0,11.6,6,49,02:24 PM,11:37 PM,06:32 AM,07:32 PM,15,18,18,18,22,13,84,0.0,1017,18,10,219,10,Tennessee
2022-09-03 06:00:00,36,18,0.0,11.6,6,49,02:24 PM,11:37 PM,06:32 AM,07:32 PM,15,18,18,18,17,13,86,0.0,1018,18,10,235,8,Tennessee
2022-09-03 09:00:00,36,18,0.0,11.6,6,49,02:24 PM,11:37 PM,06:32 AM,07:32 PM,16,25,25,24,10,7,63,0.0,1018,24,10,235,8,Tennessee
2022-09-03 12:00:00,36,18,0.0,11.6,6,49,02:24 PM,11:37 PM,06:32 AM,07:32 PM,16,35,35,34,13,6,34,0.0,1018,34,10,187,11,Tennessee
2022-09-03 15:00:00,36,18,0.0,11.6,6,49,02:24 PM,11:37 PM,06:32 AM,07:32 PM,14,36,36,36,14,10,27,0.0,1016,36,10,152,12,Tennessee
2022-09-03 18:00:00,36,18,0.0,11.6,6,49,02:24 PM,11:37 PM,06:32 AM,07:32 PM,13,32,32,33,22,20,29,0.0,1015,33,10,128,18,Tennessee
2022-09-03 21:00:00,36,18,0.0,11.6,6,49,02:24 PM,11:37 PM,06:32 AM,07:32 PM,16,26,26,25,26,11,59,0.0,1017,25,10,128,12,Tennessee
2022-09-04 00:00:00,34,18,0.0,11.6,7,56,03:36 PM,No moonset,06:33 AM,07:30 PM,16,21,21,21,25,22,73,0.0,1019,21,10,113,12,Tennessee
2022-09-04 03:00:00,34,18,0.0,11.6,7,56,03:36 PM,No moonset,06:33 AM,07:30 PM,16,19,19,19,23,14,81,0.0,1019,19,10,80,11,Tennessee
2022-09-04 06:00:00,34,18,0.0,11.6,7,56,03:36 PM,No moonset,06:33 AM,07:30 PM,15,18,18,18,26,19,83,0.0,1019,18,10,63,13,Tennessee
2022-09-04 09:00:00,34,18,0.0,11.6,7,56,03:36 PM,No moonset,06:33 AM,07:30 PM,16,25,25,24,18,17,63,0.0,1019,24,10,85,16,Tennessee
2022-09-04 12:00:00,34,18,0.0,11.6,7,56,03:36 PM,No moonset,06:33 AM,07:30 PM,16,32,32,32,19,15,38,0.0,1018,32,10,85,16,Tennessee
2022-09-04 15:00:00,34,18,0.0,11.6,7,56,03:36 PM,No moonset,06:33 AM,07:30 PM,14,34,34,34,19,24,29,0.0,1015,34,10,82,17,Tennessee
2022-09-04 18:00:00,34,18,0.0,11.6,7,56,03:36 PM,No moonset,06:33 AM,07:30 PM,14,31,31,32,19,53,33,0.0,1015,32,10,93,14,Tennessee
2022-09-04 21:00:00,34,18,0.0,11.6,7,56,03:36 PM,No moonset,06:33 AM,07:30 PM,14,28,28,27,21,46,45,0.0,1016,27,10,86,12,Tennessee
2022-09-05 00:00:00,32,21,0.0,11.6,7,62,04:40 PM,12:31 AM,06:34 AM,07:29 PM,16,26,26,25,26,17,58,0.0,1015,25,10,89,15,Tennessee
2022-09-05 03:00:00,32,21,0.0,11.6,7,62,04:40 PM,12:31 AM,06:34 AM,07:29 PM,16,25,25,22,24,15,67,0.0,1015,22,10,88,13,Tennessee
2022-09-05 06:00:00,32,21,0.0,11.6,7,62,04:40 PM,12:31 AM,06:34 AM,07:29 PM,17,21,24,21,19,19,78,0.0,1015,21,10,79,12,Tennessee
2022-09-05 09:00:00,32,21,0.0,11.6,7,62,04:40 PM,12:31 AM,06:34 AM,07:29 PM,17,26,26,24,16,12,64,0.0,1016,24,10,87,14,Tennessee
2022-09-05 12:00:00,32,21,0.0,11.6,7,62,04:40 PM,12:31 AM,06:34 AM,07:29 PM,16,32,32,31,21,28,39,0.0,1016,31,10,84,18,Tennessee
2022-09-05 15:00:00,32,21,0.0,11.6,7,62,04:40 PM,12:31 AM,06:34 AM,07:29 PM,15,32,32,32,22,31,36,0.0,1014,32,10,103,19,Tennessee
2022-09-05 18:00:00,32,21,0.0,11.6,7,62,04:40 PM,12:31 AM,06:34 AM,07:29 PM,16,30,30,30,28,25,45,0.0,1014,30,10,125,23,Tennessee
2022-09-05 21:00:00,32,21,0.0,11.6,7,62,04:40 PM,12:31 AM,06:34 AM,07:29 PM,20,22,25,22,23,83,87,0.1,1016,22,10,143,12,Tennessee
2022-09-06 00:00:00,28,19,0.0,6.5,6,69,05:36 PM,01:36 AM,06:35 AM,07:27 PM,19,20,20,20,24,23,89,0.0,1016,20,10,77,12,Tennessee
2022-09-06 03:00:00,28,19,0.0,6.5,6,69,05:36 PM,01:36 AM,06:35 AM,07:27 PM,19,19,19,19,22,38,97,0.0,1016,19,2,65,11,Tennessee
2022-09-06 06:00:00,28,19,0.0,6.5,6,69,05:36 PM,01:36 AM,06:35 AM,07:27 PM,19,19,19,19,18,100,98,0.0,1017,19,0,56,10,Tennessee
2022-09-06 09:00:00,28,19,0.0,6.5,6,69,05:36 PM,01:36 AM,06:35 AM,07:27 PM,19,25,25,23,16,89,80,0.0,1017,23,10,70,14,Tennessee
2022-09-06 12:00:00,28,19,0.0,6.5,6,69,05:36 PM,01:36 AM,06:35 AM,07:27 PM,21,29,29,27,18,73,67,0.2,1017,27,10,76,13,Tennessee
2022-09-06 15:00:00,28,19,0.0,6.5,6,69,05:36 PM,01:36 AM,06:35 AM,07:27 PM,20,30,30,28,19,87,63,0.5,1016,28,10,76,14,Tennessee
2022-09-06 18:00:00,28,19,0.0,6.5,6,69,05:36 PM,01:36 AM,06:35 AM,07:27 PM,22,28,28,25,18,82,80,0.7,1016,25,9,86,10,Tennessee
