date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,22,29,29,26,21,72,77,0.6,1014,26,9,314,13,Texas
2022-09-01 03:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,22,29,29,26,11,15,79,0.0,1013,26,10,17,7,Texas
2022-09-01 06:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,22,28,28,26,16,23,79,0.0,1014,26,10,336,10,Texas
2022-09-01 09:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,22,30,30,27,15,26,76,0.0,1015,27,10,359,12,Texas
2022-09-01 12:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,24,34,34,30,11,82,69,0.1,1015,30,10,21,9,Texas
2022-09-01 15:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,23,35,35,30,10,24,64,0.0,1013,30,10,98,8,Texas
2022-09-01 18:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,22,34,34,30,15,80,63,0.1,1012,30,10,142,12,Texas
2022-09-01 21:00:00,30,26,0.0,9.0,6,35,11:56 AM,10:59 PM,06:57 AM,07:42 PM,23,33,33,29,18,11,72,0.0,1012,29,10,178,12,Texas
2022-09-02 00:00:00,30,27,0.0,9.0,7,42,01:01 PM,11:41 PM,06:58 AM,07:41 PM,23,31,31,28,14,9,79,0.0,1013,28,10,146,8,Texas
2022-09-02 03:00:00,30,27,0.0,9.0,7,42,01:01 PM,11:41 PM,06:58 AM,07:41 PM,23,30,30,27,9,86,78,0.2,1013,27,9,99,5,Texas
2022-09-02 06:00:00,30,27,0.0,9.0,7,42,01:01 PM,11:41 PM,06:58 AM,07:41 PM,23,30,30,27,10,89,79,0.1,1013,27,10,101,6,Texas
2022-09-02 09:00:00,30,27,0.0,9.0,7,42,01:01 PM,11:41 PM,06:58 AM,07:41 PM,24,31,31,28,12,10,79,0.0,1014,28,10,116,9,Texas
2022-09-02 12:00:00,30,27,0.0,9.0,7,42,01:01 PM,11:41 PM,06:58 AM,07:41 PM,24,35,35,30,12,22,71,0.0,1015,30,10,119,10,Texas
2022-09-02 15:00:00,30,27,0.0,9.0,7,42,01:01 PM,11:41 PM,06:58 AM,07:41 PM,24,34,34,30,14,76,70,0.2,1014,30,9,125,12,Texas
2022-09-02 18:00:00,30,27,0.0,9.0,7,42,01:01 PM,11:41 PM,06:58 AM,07:41 PM,23,32,32,29,14,80,71,0.1,1013,29,10,114,10,Texas
2022-09-02 21:00:00,30,27,0.0,9.0,7,42,01:01 PM,11:41 PM,06:58 AM,07:41 PM,24,32,32,28,17,48,78,0.0,1014,28,10,122,12,Texas
2022-09-03 00:00:00,28,26,0.0,9.0,6,49,02:08 PM,No moonset,06:58 AM,07:39 PM,24,32,32,28,21,74,79,0.2,1014,28,9,155,13,Texas
2022-09-03 03:00:00,28,26,0.0,9.0,6,49,02:08 PM,No moonset,06:58 AM,07:39 PM,24,31,31,27,24,37,83,0.0,1014,27,10,169,15,Texas
2022-09-03 06:00:00,28,26,0.0,9.0,6,49,02:08 PM,No moonset,06:58 AM,07:39 PM,24,31,31,27,24,83,84,1.1,1015,27,10,177,13,Texas
2022-09-03 09:00:00,28,26,0.0,9.0,6,49,02:08 PM,No moonset,06:58 AM,07:39 PM,24,31,31,28,21,73,79,1.8,1016,28,10,174,12,Texas
2022-09-03 12:00:00,28,26,0.0,9.0,6,49,02:08 PM,No moonset,06:58 AM,07:39 PM,24,31,31,27,28,64,82,1.7,1017,27,10,165,13,Texas
2022-09-03 15:00:00,28,26,0.0,9.0,6,49,02:08 PM,No moonset,06:58 AM,07:39 PM,23,30,30,27,18,56,82,0.4,1016,27,10,132,13,Texas
2022-09-03 18:00:00,28,26,0.0,9.0,6,49,02:08 PM,No moonset,06:58 AM,07:39 PM,22,29,29,26,11,59,79,0.2,1015,26,10,105,8,Texas
2022-09-03 21:00:00,28,26,0.0,9.0,6,49,02:08 PM,No moonset,06:58 AM,07:39 PM,22,30,30,27,19,48,75,0.0,1016,27,10,121,12,Texas
2022-09-04 00:00:00,26,24,0.0,6.4,6,56,03:15 PM,12:29 AM,06:59 AM,07:38 PM,22,30,30,27,26,63,76,0.1,1016,27,10,127,17,Texas
2022-09-04 03:00:00,26,24,0.0,6.4,6,56,03:15 PM,12:29 AM,06:59 AM,07:38 PM,23,30,30,27,21,53,79,0.7,1015,27,10,139,13,Texas
2022-09-04 06:00:00,26,24,0.0,6.4,6,56,03:15 PM,12:29 AM,06:59 AM,07:38 PM,23,29,29,26,3,87,83,1.8,1015,26,10,149,1,Texas
2022-09-04 09:00:00,26,24,0.0,6.4,6,56,03:15 PM,12:29 AM,06:59 AM,07:38 PM,23,27,27,24,25,71,90,1.7,1017,24,10,4,15,Texas
2022-09-04 12:00:00,26,24,0.0,6.4,6,56,03:15 PM,12:29 AM,06:59 AM,07:38 PM,23,27,27,25,29,100,88,1.0,1017,25,10,42,17,Texas
2022-09-04 15:00:00,26,24,0.0,6.4,6,56,03:15 PM,12:29 AM,06:59 AM,07:38 PM,22,27,27,25,16,87,86,0.1,1016,25,10,49,13,Texas
2022-09-04 18:00:00,26,24,0.0,6.4,6,56,03:15 PM,12:29 AM,06:59 AM,07:38 PM,22,28,28,25,15,79,84,0.1,1015,25,10,41,12,Texas
2022-09-04 21:00:00,26,24,0.0,6.4,6,56,03:15 PM,12:29 AM,06:59 AM,07:38 PM,22,27,27,25,13,50,82,0.0,1015,25,10,32,9,Texas
2022-09-05 00:00:00,23,23,0.0,6.4,5,62,04:19 PM,01:26 AM,06:59 AM,07:37 PM,22,26,26,24,19,50,87,0.1,1014,24,10,242,13,Texas
2022-09-05 03:00:00,23,23,0.0,6.4,5,62,04:19 PM,01:26 AM,06:59 AM,07:37 PM,22,26,26,23,13,57,90,0.8,1014,23,10,301,9,Texas
2022-09-05 06:00:00,23,23,0.0,6.4,5,62,04:19 PM,01:26 AM,06:59 AM,07:37 PM,21,25,25,23,6,93,90,0.8,1014,23,10,288,4,Texas
2022-09-05 09:00:00,23,23,0.0,6.4,5,62,04:19 PM,01:26 AM,06:59 AM,07:37 PM,22,25,25,23,4,80,91,0.5,1016,23,10,339,3,Texas
2022-09-05 12:00:00,23,23,0.0,6.4,5,62,04:19 PM,01:26 AM,06:59 AM,07:37 PM,22,26,26,23,9,77,91,0.9,1017,23,10,306,7,Texas
2022-09-05 15:00:00,23,23,0.0,6.4,5,62,04:19 PM,01:26 AM,06:59 AM,07:37 PM,22,26,26,23,13,64,91,1.1,1016,23,9,335,11,Texas
2022-09-05 18:00:00,23,23,0.0,6.4,5,62,04:19 PM,01:26 AM,06:59 AM,07:37 PM,21,26,26,23,5,86,85,0.7,1014,23,5,49,4,Texas
2022-09-05 21:00:00,23,23,0.0,6.4,5,62,04:19 PM,01:26 AM,06:59 AM,07:37 PM,21,26,26,24,5,56,83,0.0,1015,24,10,108,4,Texas
2022-09-06 00:00:00,27,24,0.0,7.5,7,69,05:18 PM,02:31 AM,07:00 AM,07:36 PM,20,26,26,24,9,21,76,0.0,1015,24,10,65,6,Texas
2022-09-06 03:00:00,27,24,0.0,7.5,7,69,05:18 PM,02:31 AM,07:00 AM,07:36 PM,20,27,27,25,6,50,75,0.0,1015,25,10,101,4,Texas
2022-09-06 06:00:00,27,24,0.0,7.5,7,69,05:18 PM,02:31 AM,07:00 AM,07:36 PM,20,27,27,25,11,47,76,0.0,1015,25,10,25,8,Texas
2022-09-06 09:00:00,27,24,0.0,7.5,7,69,05:18 PM,02:31 AM,07:00 AM,07:36 PM,21,27,27,25,12,48,78,0.0,1017,25,10,38,9,Texas
2022-09-06 12:00:00,27,24,0.0,7.5,7,69,05:18 PM,02:31 AM,07:00 AM,07:36 PM,22,29,29,27,7,62,74,0.0,1018,27,10,12,6,Texas
2022-09-06 15:00:00,27,24,0.0,7.5,7,69,05:18 PM,02:31 AM,07:00 AM,07:36 PM,21,30,30,27,4,61,69,0.1,1017,27,10,316,4,Texas
2022-09-06 18:00:00,27,24,0.0,7.5,7,69,05:18 PM,02:31 AM,07:00 AM,07:36 PM,21,30,30,27,9,81,70,0.1,1016,27,10,337,6,Texas
2022-09-06 21:00:00,27,24,0.0,7.5,7,69,05:18 PM,02:31 AM,07:00 AM,07:36 PM,21,28,28,26,12,16,71,0.0,1017,26,10,36,8,Texas
2022-09-07 00:00:00,32,26,0.0,8.9,7,76,06:08 PM,03:41 AM,07:00 AM,07:35 PM,21,29,29,27,18,12,70,0.0,1017,27,10,167,12,Texas
