date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,12,20,20,20,26,4,61,0.0,1016,20,10,195,12,Vermont
2022-09-01 03:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,11,19,19,19,19,7,62,0.0,1016,19,10,230,9,Vermont
2022-09-01 06:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,11,18,18,18,25,7,64,0.0,1016,18,10,199,12,Vermont
2022-09-01 09:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,12,25,25,24,18,12,46,0.0,1017,24,10,217,14,Vermont
2022-09-01 12:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,13,34,34,34,19,13,29,0.0,1017,34,10,216,17,Vermont
2022-09-01 15:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,11,32,32,33,17,17,26,0.0,1015,33,10,241,15,Vermont
2022-09-01 18:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,13,29,29,30,12,47,34,0.0,1015,30,10,266,8,Vermont
2022-09-01 21:00:00,34,18,0.0,11.6,7,35,11:57 AM,10:19 PM,06:29 AM,07:34 PM,14,26,26,25,24,45,51,0.0,1015,25,10,160,12,Vermont
2022-09-02 00:00:00,32,19,0.0,11.6,7,42,01:09 PM,10:53 PM,06:30 AM,07:32 PM,15,25,25,23,33,9,62,0.0,1014,23,10,177,16,Vermont
2022-09-02 03:00:00,32,19,0.0,11.6,7,42,01:09 PM,10:53 PM,06:30 AM,07:32 PM,14,21,21,21,26,8,65,0.0,1014,21,10,183,13,Vermont
2022-09-02 06:00:00,32,19,0.0,11.6,7,42,01:09 PM,10:53 PM,06:30 AM,07:32 PM,13,19,19,19,26,97,70,0.0,1014,19,10,182,12,Vermont
2022-09-02 09:00:00,32,19,0.0,11.6,7,42,01:09 PM,10:53 PM,06:30 AM,07:32 PM,14,26,26,25,13,3,51,0.0,1015,25,10,208,11,Vermont
2022-09-02 12:00:00,32,19,0.0,11.6,7,42,01:09 PM,10:53 PM,06:30 AM,07:32 PM,15,31,31,31,18,35,37,0.0,1015,31,10,191,16,Vermont
2022-09-02 15:00:00,32,19,0.0,11.6,7,42,01:09 PM,10:53 PM,06:30 AM,07:32 PM,14,32,32,32,17,47,33,0.0,1013,32,10,208,14,Vermont
2022-09-02 18:00:00,32,19,0.0,11.6,7,42,01:09 PM,10:53 PM,06:30 AM,07:32 PM,15,31,31,31,21,34,38,0.0,1013,31,10,183,17,Vermont
2022-09-02 21:00:00,32,19,0.0,11.6,7,42,01:09 PM,10:53 PM,06:30 AM,07:32 PM,17,21,21,21,22,81,78,0.1,1016,21,10,224,10,Vermont
2022-09-03 00:00:00,36,18,0.0,11.6,6,49,02:22 PM,11:36 PM,06:31 AM,07:30 PM,15,18,18,18,19,88,81,0.1,1017,18,10,225,9,Vermont
2022-09-03 03:00:00,36,18,0.0,11.6,6,49,02:22 PM,11:36 PM,06:31 AM,07:30 PM,14,18,18,18,19,10,82,0.0,1016,18,10,226,9,Vermont
2022-09-03 06:00:00,36,18,0.0,11.6,6,49,02:22 PM,11:36 PM,06:31 AM,07:30 PM,15,18,18,18,14,12,82,0.0,1018,18,10,256,6,Vermont
2022-09-03 09:00:00,36,18,0.0,11.6,6,49,02:22 PM,11:36 PM,06:31 AM,07:30 PM,16,25,25,23,5,14,63,0.0,1018,23,10,226,4,Vermont
2022-09-03 12:00:00,36,18,0.0,11.6,6,49,02:22 PM,11:36 PM,06:31 AM,07:30 PM,16,35,35,34,13,8,35,0.0,1018,34,10,148,11,Vermont
2022-09-03 15:00:00,36,18,0.0,11.6,6,49,02:22 PM,11:36 PM,06:31 AM,07:30 PM,15,36,36,36,16,11,29,0.0,1016,36,10,121,14,Vermont
2022-09-03 18:00:00,36,18,0.0,11.6,6,49,02:22 PM,11:36 PM,06:31 AM,07:30 PM,15,33,33,33,19,15,34,0.0,1016,33,10,117,16,Vermont
2022-09-03 21:00:00,36,18,0.0,11.6,6,49,02:22 PM,11:36 PM,06:31 AM,07:30 PM,18,26,26,24,25,7,67,0.0,1017,24,10,141,12,Vermont
2022-09-04 00:00:00,34,18,0.0,11.6,7,56,03:34 PM,No moonset,06:32 AM,07:29 PM,16,21,21,21,22,17,77,0.0,1019,21,10,97,10,Vermont
2022-09-04 03:00:00,34,18,0.0,11.6,7,56,03:34 PM,No moonset,06:32 AM,07:29 PM,16,19,19,19,21,15,83,0.0,1018,19,10,76,10,Vermont
2022-09-04 06:00:00,34,18,0.0,11.6,7,56,03:34 PM,No moonset,06:32 AM,07:29 PM,15,18,18,18,24,22,84,0.0,1019,18,10,54,12,Vermont
2022-09-04 09:00:00,34,18,0.0,11.6,7,56,03:34 PM,No moonset,06:32 AM,07:29 PM,17,25,25,24,17,16,64,0.0,1019,24,10,76,15,Vermont
2022-09-04 12:00:00,34,18,0.0,11.6,7,56,03:34 PM,No moonset,06:32 AM,07:29 PM,19,37,37,34,19,13,41,0.0,1018,34,10,87,16,Vermont
2022-09-04 15:00:00,34,18,0.0,11.6,7,56,03:34 PM,No moonset,06:32 AM,07:29 PM,15,34,34,34,21,25,33,0.0,1015,34,10,107,18,Vermont
2022-09-04 18:00:00,34,18,0.0,11.6,7,56,03:34 PM,No moonset,06:32 AM,07:29 PM,15,32,32,31,17,23,38,0.0,1015,31,10,133,13,Vermont
2022-09-04 21:00:00,34,18,0.0,11.6,7,56,03:34 PM,No moonset,06:32 AM,07:29 PM,17,27,27,26,16,21,59,0.0,1016,26,10,130,8,Vermont
2022-09-05 00:00:00,32,20,0.0,11.6,7,62,04:38 PM,12:30 AM,06:33 AM,07:27 PM,16,25,25,23,22,16,65,0.0,1015,23,10,93,10,Vermont
2022-09-05 03:00:00,32,20,0.0,11.6,7,62,04:38 PM,12:30 AM,06:33 AM,07:27 PM,17,21,24,21,22,16,75,0.0,1015,21,10,75,11,Vermont
2022-09-05 06:00:00,32,20,0.0,11.6,7,62,04:38 PM,12:30 AM,06:33 AM,07:27 PM,17,20,20,20,22,17,82,0.0,1015,20,10,71,11,Vermont
2022-09-05 09:00:00,32,20,0.0,11.6,7,62,04:38 PM,12:30 AM,06:33 AM,07:27 PM,17,26,26,24,16,22,67,0.0,1016,24,10,88,14,Vermont
2022-09-05 12:00:00,32,20,0.0,11.6,7,62,04:38 PM,12:30 AM,06:33 AM,07:27 PM,18,32,32,31,21,31,44,0.0,1016,31,10,95,18,Vermont
2022-09-05 15:00:00,32,20,0.0,11.6,7,62,04:38 PM,12:30 AM,06:33 AM,07:27 PM,16,32,32,32,23,45,39,0.0,1014,32,10,102,20,Vermont
2022-09-05 18:00:00,32,20,0.0,11.6,7,62,04:38 PM,12:30 AM,06:33 AM,07:27 PM,19,29,29,27,22,26,63,0.0,1014,27,10,128,18,Vermont
2022-09-05 21:00:00,32,20,0.0,11.6,7,62,04:38 PM,12:30 AM,06:33 AM,07:27 PM,20,21,24,21,21,84,93,0.2,1016,21,9,157,12,Vermont
2022-09-06 00:00:00,29,19,0.0,7.7,5,69,05:34 PM,01:35 AM,06:34 AM,07:26 PM,19,20,20,20,22,81,94,0.3,1015,20,9,58,11,Vermont
