date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,31,24,0.0,11.6,7,35,11:50 AM,10:27 PM,06:35 AM,07:32 PM,21,27,27,25,12,12,80,0.0,1012,25,10,57,6,Virginia
2022-09-01 03:00:00,31,24,0.0,11.6,7,35,11:50 AM,10:27 PM,06:35 AM,07:32 PM,20,27,27,25,27,10,72,0.0,1013,25,10,11,15,Virginia
2022-09-01 06:00:00,31,24,0.0,11.6,7,35,11:50 AM,10:27 PM,06:35 AM,07:32 PM,17,26,26,24,23,8,66,0.0,1014,24,10,23,13,Virginia
2022-09-01 09:00:00,31,24,0.0,11.6,7,35,11:50 AM,10:27 PM,06:35 AM,07:32 PM,17,27,27,26,20,6,56,0.0,1015,26,10,9,16,Virginia
2022-09-01 12:00:00,31,24,0.0,11.6,7,35,11:50 AM,10:27 PM,06:35 AM,07:32 PM,19,33,33,31,14,4,48,0.0,1016,31,10,10,13,Virginia
2022-09-01 15:00:00,31,24,0.0,11.6,7,35,11:50 AM,10:27 PM,06:35 AM,07:32 PM,18,33,33,31,11,0,44,0.0,1016,31,10,45,9,Virginia
2022-09-01 18:00:00,31,24,0.0,11.6,7,35,11:50 AM,10:27 PM,06:35 AM,07:32 PM,17,29,29,29,13,3,49,0.0,1016,29,10,95,12,Virginia
2022-09-01 21:00:00,31,24,0.0,11.6,7,35,11:50 AM,10:27 PM,06:35 AM,07:32 PM,17,26,26,24,19,4,64,0.0,1017,24,10,140,10,Virginia
2022-09-02 00:00:00,31,23,0.0,11.6,7,42,12:59 PM,11:04 PM,06:36 AM,07:31 PM,20,26,26,24,15,7,77,0.0,1018,24,10,179,8,Virginia
2022-09-02 03:00:00,31,23,0.0,11.6,7,42,12:59 PM,11:04 PM,06:36 AM,07:31 PM,20,25,25,23,10,6,80,0.0,1018,23,10,187,5,Virginia
2022-09-02 06:00:00,31,23,0.0,11.6,7,42,12:59 PM,11:04 PM,06:36 AM,07:31 PM,20,25,25,23,6,8,79,0.0,1019,23,10,39,3,Virginia
2022-09-02 09:00:00,31,23,0.0,11.6,7,42,12:59 PM,11:04 PM,06:36 AM,07:31 PM,19,28,28,27,10,7,64,0.0,1021,27,10,64,8,Virginia
2022-09-02 12:00:00,31,23,0.0,11.6,7,42,12:59 PM,11:04 PM,06:36 AM,07:31 PM,20,34,34,31,17,5,52,0.0,1021,31,10,77,15,Virginia
2022-09-02 15:00:00,31,23,0.0,11.6,7,42,12:59 PM,11:04 PM,06:36 AM,07:31 PM,20,33,33,31,21,6,52,0.0,1021,31,10,85,18,Virginia
2022-09-02 18:00:00,31,23,0.0,11.6,7,42,12:59 PM,11:04 PM,06:36 AM,07:31 PM,17,28,28,28,21,6,54,0.0,1021,28,10,82,18,Virginia
2022-09-02 21:00:00,31,23,0.0,11.6,7,42,12:59 PM,11:04 PM,06:36 AM,07:31 PM,17,26,26,24,22,13,63,0.0,1023,24,10,95,13,Virginia
2022-09-03 00:00:00,31,23,0.0,11.6,7,49,02:10 PM,11:49 PM,06:36 AM,07:30 PM,20,26,26,24,25,2,75,0.0,1023,24,10,122,14,Virginia
2022-09-03 03:00:00,31,23,0.0,11.6,7,49,02:10 PM,11:49 PM,06:36 AM,07:30 PM,20,26,26,24,19,3,79,0.0,1023,24,10,133,10,Virginia
2022-09-03 06:00:00,31,23,0.0,11.6,7,49,02:10 PM,11:49 PM,06:36 AM,07:30 PM,20,25,25,23,13,2,80,0.0,1023,23,10,145,7,Virginia
2022-09-03 09:00:00,31,23,0.0,11.6,7,49,02:10 PM,11:49 PM,06:36 AM,07:30 PM,19,28,28,26,4,3,64,0.0,1024,26,10,83,3,Virginia
2022-09-03 12:00:00,31,23,0.0,11.6,7,49,02:10 PM,11:49 PM,06:36 AM,07:30 PM,21,34,34,31,14,5,56,0.0,1024,31,10,84,13,Virginia
2022-09-03 15:00:00,31,23,0.0,11.6,7,49,02:10 PM,11:49 PM,06:36 AM,07:30 PM,21,34,34,31,19,4,57,0.0,1023,31,10,96,17,Virginia
2022-09-03 18:00:00,31,23,0.0,11.6,7,49,02:10 PM,11:49 PM,06:36 AM,07:30 PM,20,29,29,27,18,4,65,0.0,1022,27,10,110,15,Virginia
2022-09-03 21:00:00,31,23,0.0,11.6,7,49,02:10 PM,11:49 PM,06:36 AM,07:30 PM,19,26,26,24,23,8,75,0.0,1022,24,10,121,14,Virginia
2022-09-04 00:00:00,30,22,0.0,11.6,6,56,03:20 PM,No moonset,06:37 AM,07:28 PM,19,25,25,23,18,85,76,0.0,1022,23,10,136,10,Virginia
2022-09-04 03:00:00,30,22,0.0,11.6,6,56,03:20 PM,No moonset,06:37 AM,07:28 PM,19,25,25,22,9,2,80,0.0,1021,22,10,197,5,Virginia
2022-09-04 06:00:00,30,22,0.0,11.6,6,56,03:20 PM,No moonset,06:37 AM,07:28 PM,19,22,24,22,5,8,83,0.0,1021,22,10,252,3,Virginia
2022-09-04 09:00:00,30,22,0.0,11.6,6,56,03:20 PM,No moonset,06:37 AM,07:28 PM,19,26,26,24,4,7,72,0.0,1022,24,10,310,3,Virginia
2022-09-04 12:00:00,30,22,0.0,11.6,6,56,03:20 PM,No moonset,06:37 AM,07:28 PM,21,33,33,30,9,9,58,0.0,1021,30,10,67,8,Virginia
2022-09-04 15:00:00,30,22,0.0,11.6,6,56,03:20 PM,No moonset,06:37 AM,07:28 PM,21,33,33,30,17,8,57,0.0,1019,30,10,97,15,Virginia
2022-09-04 18:00:00,30,22,0.0,11.6,6,56,03:20 PM,No moonset,06:37 AM,07:28 PM,20,29,29,27,18,11,65,0.0,1018,27,10,111,15,Virginia
