date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,33,19,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,11,21,24,21,21,0,50,0.0,1014,21,10,321,10,Washington
2022-09-01 03:00:00,33,19,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,10,20,20,20,15,0,54,0.0,1014,20,10,303,7,Washington
2022-09-01 06:00:00,33,19,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,10,19,19,19,18,6,59,0.0,1015,19,10,297,9,Washington
2022-09-01 09:00:00,33,19,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,12,25,25,22,17,6,53,0.0,1016,22,10,305,14,Washington
2022-09-01 12:00:00,33,19,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,16,31,31,31,16,0,40,0.0,1016,31,10,312,14,Washington
2022-09-01 15:00:00,33,19,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,11,32,32,33,15,6,26,0.0,1015,33,10,315,13,Washington
2022-09-01 18:00:00,33,19,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,11,30,30,31,9,5,28,0.0,1015,31,10,347,8,Washington
2022-09-01 21:00:00,33,19,0.0,11.6,7,35,11:58 AM,10:27 PM,06:37 AM,07:39 PM,10,25,25,24,17,4,41,0.0,1017,24,10,28,8,Washington
2022-09-02 00:00:00,32,19,0.0,11.6,7,42,01:09 PM,11:02 PM,06:38 AM,07:37 PM,11,22,24,22,10,12,51,0.0,1019,22,10,49,5,Washington
2022-09-02 03:00:00,32,19,0.0,11.6,7,42,01:09 PM,11:02 PM,06:38 AM,07:37 PM,12,21,21,21,12,25,59,0.0,1019,21,10,91,6,Washington
2022-09-02 06:00:00,32,19,0.0,11.6,7,42,01:09 PM,11:02 PM,06:38 AM,07:37 PM,10,19,19,19,12,22,56,0.0,1021,19,10,63,6,Washington
2022-09-02 09:00:00,32,19,0.0,11.6,7,42,01:09 PM,11:02 PM,06:38 AM,07:37 PM,11,24,24,22,11,13,49,0.0,1022,22,10,87,9,Washington
2022-09-02 12:00:00,32,19,0.0,11.6,7,42,01:09 PM,11:02 PM,06:38 AM,07:37 PM,14,31,31,31,10,9,35,0.0,1022,31,10,112,9,Washington
2022-09-02 15:00:00,32,19,0.0,11.6,7,42,01:09 PM,11:02 PM,06:38 AM,07:37 PM,13,31,31,32,10,18,32,0.0,1021,32,10,132,9,Washington
2022-09-02 18:00:00,32,19,0.0,11.6,7,42,01:09 PM,11:02 PM,06:38 AM,07:37 PM,14,30,30,30,14,20,36,0.0,1020,30,10,123,11,Washington
2022-09-02 21:00:00,32,19,0.0,11.6,7,42,01:09 PM,11:02 PM,06:38 AM,07:37 PM,14,26,26,25,23,14,52,0.0,1022,25,10,119,15,Washington
2022-09-03 00:00:00,33,21,0.0,11.6,7,49,02:21 PM,11:46 PM,06:39 AM,07:36 PM,17,25,25,23,16,9,71,0.0,1023,23,10,132,10,Washington
2022-09-03 03:00:00,33,21,0.0,11.6,7,49,02:21 PM,11:46 PM,06:39 AM,07:36 PM,18,22,24,22,10,13,77,0.0,1023,22,10,148,6,Washington
2022-09-03 06:00:00,33,21,0.0,11.6,7,49,02:21 PM,11:46 PM,06:39 AM,07:36 PM,18,21,21,21,8,15,83,0.0,1024,21,10,146,4,Washington
2022-09-03 09:00:00,33,21,0.0,11.6,7,49,02:21 PM,11:46 PM,06:39 AM,07:36 PM,18,26,26,24,7,15,69,0.0,1024,24,10,154,6,Washington
2022-09-03 12:00:00,33,21,0.0,11.6,7,49,02:21 PM,11:46 PM,06:39 AM,07:36 PM,20,35,35,33,10,10,47,0.0,1023,33,10,164,9,Washington
2022-09-03 15:00:00,33,21,0.0,11.6,7,49,02:21 PM,11:46 PM,06:39 AM,07:36 PM,17,34,34,33,11,29,39,0.0,1021,33,10,162,10,Washington
2022-09-03 18:00:00,33,21,0.0,11.6,7,49,02:21 PM,11:46 PM,06:39 AM,07:36 PM,18,31,31,30,15,18,47,0.0,1020,30,10,135,12,Washington
