date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,29,10,0.0,11.6,6,35,12:08 PM,10:34 PM,06:44 AM,07:47 PM,7,10,11,10,17,0,74,0.0,1016,11,10,281,8,West_Virginia
2022-09-01 03:00:00,29,10,0.0,11.6,6,35,12:08 PM,10:34 PM,06:44 AM,07:47 PM,7,9,10,9,17,5,80,0.0,1016,10,10,281,8,West_Virginia
2022-09-01 06:00:00,29,10,0.0,11.6,6,35,12:08 PM,10:34 PM,06:44 AM,07:47 PM,7,9,10,9,17,0,85,0.0,1017,10,10,274,8,West_Virginia
2022-09-01 09:00:00,29,10,0.0,11.6,6,35,12:08 PM,10:34 PM,06:44 AM,07:47 PM,10,16,16,16,12,0,69,0.0,1018,16,10,277,8,West_Virginia
2022-09-01 12:00:00,29,10,0.0,11.6,6,35,12:08 PM,10:34 PM,06:44 AM,07:47 PM,13,28,28,29,16,3,38,0.0,1018,29,10,304,14,West_Virginia
2022-09-01 15:00:00,29,10,0.0,11.6,6,35,12:08 PM,10:34 PM,06:44 AM,07:47 PM,12,29,29,29,16,8,35,0.0,1017,29,10,308,14,West_Virginia
2022-09-01 18:00:00,29,10,0.0,11.6,6,35,12:08 PM,10:34 PM,06:44 AM,07:47 PM,13,27,27,26,12,10,43,0.0,1017,26,10,317,10,West_Virginia
2022-09-01 21:00:00,29,10,0.0,11.6,6,35,12:08 PM,10:34 PM,06:44 AM,07:47 PM,9,14,14,14,14,0,73,0.0,1019,14,10,315,6,West_Virginia
2022-09-02 00:00:00,32,15,0.0,10.3,6,42,01:19 PM,11:09 PM,06:45 AM,07:46 PM,12,16,15,16,7,7,85,0.0,1020,15,10,286,3,West_Virginia
2022-09-02 03:00:00,32,15,0.0,10.3,6,42,01:19 PM,11:09 PM,06:45 AM,07:46 PM,14,16,16,16,3,10,88,0.0,1021,16,10,285,1,West_Virginia
2022-09-02 06:00:00,32,15,0.0,10.3,6,42,01:19 PM,11:09 PM,06:45 AM,07:46 PM,14,15,15,15,1,13,93,0.0,1021,15,10,43,1,West_Virginia
2022-09-02 09:00:00,32,15,0.0,10.3,6,42,01:19 PM,11:09 PM,06:45 AM,07:46 PM,14,20,20,20,6,10,70,0.0,1022,20,10,116,6,West_Virginia
2022-09-02 12:00:00,32,15,0.0,10.3,6,42,01:19 PM,11:09 PM,06:45 AM,07:46 PM,16,30,30,29,10,8,46,0.0,1022,29,10,141,9,West_Virginia
2022-09-02 15:00:00,32,15,0.0,10.3,6,42,01:19 PM,11:09 PM,06:45 AM,07:46 PM,15,32,32,32,12,11,36,0.0,1019,32,10,129,10,West_Virginia
2022-09-02 18:00:00,32,15,0.0,10.3,6,42,01:19 PM,11:09 PM,06:45 AM,07:46 PM,16,27,27,26,8,82,52,0.0,1019,26,10,99,5,West_Virginia
2022-09-02 21:00:00,32,15,0.0,10.3,6,42,01:19 PM,11:09 PM,06:45 AM,07:46 PM,12,19,19,19,5,74,64,0.0,1021,19,10,91,2,West_Virginia
2022-09-03 00:00:00,29,14,0.0,9.0,6,49,02:31 PM,11:52 PM,06:46 AM,07:44 PM,12,19,19,19,11,36,63,0.0,1022,19,10,91,5,West_Virginia
2022-09-03 03:00:00,29,14,0.0,9.0,6,49,02:31 PM,11:52 PM,06:46 AM,07:44 PM,13,16,16,16,8,9,83,0.0,1023,16,10,110,4,West_Virginia
2022-09-03 06:00:00,29,14,0.0,9.0,6,49,02:31 PM,11:52 PM,06:46 AM,07:44 PM,12,14,14,14,5,10,90,0.0,1024,14,10,190,3,West_Virginia
2022-09-03 09:00:00,29,14,0.0,9.0,6,49,02:31 PM,11:52 PM,06:46 AM,07:44 PM,15,20,20,20,4,20,73,0.0,1024,20,10,141,3,West_Virginia
2022-09-03 12:00:00,29,14,0.0,9.0,6,49,02:31 PM,11:52 PM,06:46 AM,07:44 PM,18,28,28,27,6,30,57,0.0,1023,27,10,143,5,West_Virginia
2022-09-03 15:00:00,29,14,0.0,9.0,6,49,02:31 PM,11:52 PM,06:46 AM,07:44 PM,18,31,31,29,7,75,50,0.1,1021,29,10,107,6,West_Virginia
2022-09-03 18:00:00,29,14,0.0,9.0,6,49,02:31 PM,11:52 PM,06:46 AM,07:44 PM,19,26,26,24,10,68,72,0.1,1021,24,10,302,6,West_Virginia
2022-09-03 21:00:00,29,14,0.0,9.0,6,49,02:31 PM,11:52 PM,06:46 AM,07:44 PM,15,16,16,16,13,67,95,1.5,1023,16,10,317,6,West_Virginia
2022-09-04 00:00:00,23,14,0.0,7.8,5,56,03:43 PM,No moonset,06:47 AM,07:43 PM,14,15,15,15,2,23,92,0.0,1022,15,10,271,1,West_Virginia
2022-09-04 03:00:00,23,14,0.0,7.8,5,56,03:43 PM,No moonset,06:47 AM,07:43 PM,14,14,14,14,3,74,97,0.5,1022,14,9,276,1,West_Virginia
2022-09-04 06:00:00,23,14,0.0,7.8,5,56,03:43 PM,No moonset,06:47 AM,07:43 PM,14,15,14,15,10,85,97,0.3,1022,14,10,289,5,West_Virginia
2022-09-04 09:00:00,23,14,0.0,7.8,5,56,03:43 PM,No moonset,06:47 AM,07:43 PM,16,17,17,17,6,51,94,0.3,1022,17,10,319,3,West_Virginia
2022-09-04 12:00:00,23,14,0.0,7.8,5,56,03:43 PM,No moonset,06:47 AM,07:43 PM,20,21,21,21,4,72,95,0.1,1022,21,2,57,3,West_Virginia
2022-09-04 15:00:00,23,14,0.0,7.8,5,56,03:43 PM,No moonset,06:47 AM,07:43 PM,20,25,25,22,7,89,88,0.4,1020,22,9,88,6,West_Virginia
2022-09-04 18:00:00,23,14,0.0,7.8,5,56,03:43 PM,No moonset,06:47 AM,07:43 PM,21,25,25,23,6,87,86,0.5,1019,23,9,154,4,West_Virginia
2022-09-04 21:00:00,23,14,0.0,7.8,5,56,03:43 PM,No moonset,06:47 AM,07:43 PM,15,16,16,16,1,63,93,0.1,1019,16,10,74,1,West_Virginia
2022-09-05 00:00:00,21,15,0.0,7.7,4,62,04:48 PM,12:46 AM,06:48 AM,07:41 PM,15,15,15,15,2,100,99,1.0,1019,15,9,202,1,West_Virginia
2022-09-05 03:00:00,21,15,0.0,7.7,4,62,04:48 PM,12:46 AM,06:48 AM,07:41 PM,15,16,15,16,7,100,100,2.0,1018,15,9,139,3,West_Virginia
2022-09-05 06:00:00,21,15,0.0,7.7,4,62,04:48 PM,12:46 AM,06:48 AM,07:41 PM,15,15,15,15,6,100,100,0.8,1018,15,9,183,3,West_Virginia
2022-09-05 09:00:00,21,15,0.0,7.7,4,62,04:48 PM,12:46 AM,06:48 AM,07:41 PM,17,17,17,17,6,100,98,0.0,1019,17,0,207,3,West_Virginia
2022-09-05 12:00:00,21,15,0.0,7.7,4,62,04:48 PM,12:46 AM,06:48 AM,07:41 PM,20,21,21,21,5,81,97,0.2,1019,21,2,210,4,West_Virginia
2022-09-05 15:00:00,21,15,0.0,7.7,4,62,04:48 PM,12:46 AM,06:48 AM,07:41 PM,20,21,24,21,8,85,96,0.6,1018,21,10,213,6,West_Virginia
2022-09-05 18:00:00,21,15,0.0,7.7,4,62,04:48 PM,12:46 AM,06:48 AM,07:41 PM,20,21,24,21,9,58,96,0.5,1018,21,10,247,6,West_Virginia
2022-09-05 21:00:00,21,15,0.0,7.7,4,62,04:48 PM,12:46 AM,06:48 AM,07:41 PM,17,17,17,17,10,100,97,0.0,1019,17,0,280,5,West_Virginia
2022-09-06 00:00:00,23,15,0.0,7.7,4,69,05:44 PM,01:51 AM,06:49 AM,07:39 PM,16,16,16,16,1,100,100,1.0,1018,16,10,104,0,West_Virginia
2022-09-06 03:00:00,23,15,0.0,7.7,4,69,05:44 PM,01:51 AM,06:49 AM,07:39 PM,16,16,16,16,3,100,99,1.3,1017,16,9,327,1,West_Virginia
2022-09-06 06:00:00,23,15,0.0,7.7,4,69,05:44 PM,01:51 AM,06:49 AM,07:39 PM,15,15,15,15,5,100,99,2.3,1018,15,9,356,2,West_Virginia
2022-09-06 09:00:00,23,15,0.0,7.7,4,69,05:44 PM,01:51 AM,06:49 AM,07:39 PM,16,16,16,16,5,100,99,1.8,1019,16,9,3,3,West_Virginia
2022-09-06 12:00:00,23,15,0.0,7.7,4,69,05:44 PM,01:51 AM,06:49 AM,07:39 PM,20,22,24,22,1,92,91,0.6,1019,22,10,30,1,West_Virginia
2022-09-06 15:00:00,23,15,0.0,7.7,4,69,05:44 PM,01:51 AM,06:49 AM,07:39 PM,21,25,25,23,3,71,88,0.8,1018,23,10,36,2,West_Virginia
2022-09-06 18:00:00,23,15,0.0,7.7,4,69,05:44 PM,01:51 AM,06:49 AM,07:39 PM,22,25,25,23,4,51,94,0.8,1018,23,10,22,3,West_Virginia
2022-09-06 21:00:00,23,15,0.0,7.7,4,69,05:44 PM,01:51 AM,06:49 AM,07:39 PM,17,18,18,18,11,100,97,0.0,1020,18,0,30,5,West_Virginia
2022-09-07 00:00:00,22,14,0.0,6.4,4,76,06:29 PM,03:04 AM,06:50 AM,07:38 PM,14,15,15,15,2,100,99,0.4,1018,15,10,342,1,West_Virginia
2022-09-07 03:00:00,22,14,0.0,6.4,4,76,06:29 PM,03:04 AM,06:50 AM,07:38 PM,14,15,15,15,6,100,99,0.3,1017,15,10,53,3,West_Virginia
2022-09-07 06:00:00,22,14,0.0,6.4,4,76,06:29 PM,03:04 AM,06:50 AM,07:38 PM,14,15,14,15,8,100,100,0.2,1017,14,10,87,4,West_Virginia
2022-09-07 09:00:00,22,14,0.0,6.4,4,76,06:29 PM,03:04 AM,06:50 AM,07:38 PM,15,16,15,16,7,100,99,0.2,1018,15,2,89,4,West_Virginia
2022-09-07 12:00:00,22,14,0.0,6.4,4,76,06:29 PM,03:04 AM,06:50 AM,07:38 PM,17,18,18,18,3,100,96,0.1,1018,18,2,89,3,West_Virginia
2022-09-07 15:00:00,22,14,0.0,6.4,4,76,06:29 PM,03:04 AM,06:50 AM,07:38 PM,18,21,24,21,5,95,80,0.0,1017,21,10,78,5,West_Virginia
2022-09-07 18:00:00,22,14,0.0,6.4,4,76,06:29 PM,03:04 AM,06:50 AM,07:38 PM,17,22,24,22,8,91,76,0.0,1016,22,10,81,7,West_Virginia
2022-09-07 21:00:00,22,14,0.0,6.4,4,76,06:29 PM,03:04 AM,06:50 AM,07:38 PM,13,14,14,14,10,73,96,0.1,1018,14,2,74,5,West_Virginia
2022-09-08 00:00:00,24,13,0.0,9.0,4,83,07:07 PM,04:21 AM,06:51 AM,07:36 PM,13,13,13,13,10,100,99,0.0,1016,13,0,81,5,West_Virginia
2022-09-08 03:00:00,24,13,0.0,9.0,4,83,07:07 PM,04:21 AM,06:51 AM,07:36 PM,13,13,13,13,7,100,100,0.0,1015,13,0,88,3,West_Virginia
2022-09-08 06:00:00,24,13,0.0,9.0,4,83,07:07 PM,04:21 AM,06:51 AM,07:36 PM,13,14,13,14,8,100,100,0.0,1015,13,0,96,4,West_Virginia
2022-09-08 09:00:00,24,13,0.0,9.0,4,83,07:07 PM,04:21 AM,06:51 AM,07:36 PM,14,15,14,15,7,100,98,0.0,1016,14,0,96,4,West_Virginia
2022-09-08 12:00:00,24,13,0.0,9.0,4,83,07:07 PM,04:21 AM,06:51 AM,07:36 PM,18,20,20,20,5,89,85,0.0,1016,20,10,111,4,West_Virginia
2022-09-08 15:00:00,24,13,0.0,9.0,4,83,07:07 PM,04:21 AM,06:51 AM,07:36 PM,16,26,26,24,7,47,61,0.0,1014,24,10,89,6,West_Virginia
2022-09-08 18:00:00,24,13,0.0,9.0,4,83,07:07 PM,04:21 AM,06:51 AM,07:36 PM,17,26,26,24,8,21,64,0.0,1013,24,10,97,7,West_Virginia
2022-09-08 21:00:00,24,13,0.0,9.0,4,83,07:07 PM,04:21 AM,06:51 AM,07:36 PM,12,13,13,13,6,48,93,0.0,1015,13,10,59,3,West_Virginia
2022-09-09 00:00:00,27,11,0.0,11.6,5,89,07:38 PM,05:38 AM,06:52 AM,07:35 PM,12,13,13,13,2,45,96,0.0,1015,13,2,25,1,West_Virginia
2022-09-09 03:00:00,27,11,0.0,11.6,5,89,07:38 PM,05:38 AM,06:52 AM,07:35 PM,11,12,12,12,4,12,95,0.0,1015,12,2,286,2,West_Virginia
2022-09-09 06:00:00,27,11,0.0,11.6,5,89,07:38 PM,05:38 AM,06:52 AM,07:35 PM,10,11,11,11,1,16,95,0.0,1016,11,10,36,0,West_Virginia
2022-09-09 09:00:00,27,11,0.0,11.6,5,89,07:38 PM,05:38 AM,06:52 AM,07:35 PM,13,15,15,15,9,34,91,0.0,1018,15,10,108,4,West_Virginia
2022-09-09 12:00:00,27,11,0.0,11.6,5,89,07:38 PM,05:38 AM,06:52 AM,07:35 PM,16,26,26,24,14,27,59,0.0,1018,24,10,119,12,West_Virginia
2022-09-09 15:00:00,27,11,0.0,11.6,5,89,07:38 PM,05:38 AM,06:52 AM,07:35 PM,14,27,27,27,14,27,44,0.0,1017,27,10,117,13,West_Virginia
