date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,7,15,15,15,21,5,60,0.0,1017,15,10,65,10,Wisconsin
2022-09-01 03:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,5,13,13,13,14,3,58,0.0,1017,13,10,114,7,Wisconsin
2022-09-01 06:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,5,12,13,12,17,3,57,0.0,1017,13,10,101,8,Wisconsin
2022-09-01 09:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,8,18,18,18,13,3,53,0.0,1018,18,10,156,10,Wisconsin
2022-09-01 12:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,13,27,27,27,15,1,41,0.0,1016,27,10,148,13,Wisconsin
2022-09-01 15:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,15,31,31,31,15,3,38,0.0,1015,31,10,166,13,Wisconsin
2022-09-01 18:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,17,28,28,27,18,5,56,0.0,1014,27,10,149,14,Wisconsin
2022-09-01 21:00:00,31,13,0.0,11.6,6,35,12:04 PM,10:06 PM,06:22 AM,07:36 PM,17,20,20,20,31,4,79,0.0,1014,20,10,152,15,Wisconsin
2022-09-02 00:00:00,23,19,0.0,9.1,6,42,01:19 PM,10:37 PM,06:23 AM,07:34 PM,16,19,19,19,26,8,82,0.0,1012,19,10,144,13,Wisconsin
2022-09-02 03:00:00,23,19,0.0,9.1,6,42,01:19 PM,10:37 PM,06:23 AM,07:34 PM,16,19,19,19,21,12,84,0.0,1011,19,10,153,10,Wisconsin
2022-09-02 06:00:00,23,19,0.0,9.1,6,42,01:19 PM,10:37 PM,06:23 AM,07:34 PM,14,19,19,19,25,10,73,0.0,1011,19,10,181,12,Wisconsin
2022-09-02 09:00:00,23,19,0.0,9.1,6,42,01:19 PM,10:37 PM,06:23 AM,07:34 PM,15,21,25,21,21,19,67,0.0,1012,21,10,223,14,Wisconsin
2022-09-02 12:00:00,23,19,0.0,9.1,6,42,01:19 PM,10:37 PM,06:23 AM,07:34 PM,18,20,20,20,17,69,87,0.1,1013,20,10,228,12,Wisconsin
2022-09-02 15:00:00,23,19,0.0,9.1,6,42,01:19 PM,10:37 PM,06:23 AM,07:34 PM,19,21,21,21,24,58,88,0.4,1012,21,10,203,18,Wisconsin
2022-09-02 18:00:00,23,19,0.0,9.1,6,42,01:19 PM,10:37 PM,06:23 AM,07:34 PM,22,25,25,23,22,86,92,0.7,1012,23,9,223,14,Wisconsin
2022-09-02 21:00:00,23,19,0.0,9.1,6,42,01:19 PM,10:37 PM,06:23 AM,07:34 PM,19,20,20,20,12,3,94,0.0,1012,20,2,219,6,Wisconsin
2022-09-03 00:00:00,27,14,0.0,11.6,6,49,02:35 PM,11:17 PM,06:24 AM,07:32 PM,20,21,24,21,22,15,89,0.0,1012,21,10,221,10,Wisconsin
2022-09-03 03:00:00,27,14,0.0,11.6,6,49,02:35 PM,11:17 PM,06:24 AM,07:32 PM,12,17,17,17,29,7,76,0.0,1014,17,10,17,17,Wisconsin
2022-09-03 06:00:00,27,14,0.0,11.6,6,49,02:35 PM,11:17 PM,06:24 AM,07:32 PM,11,12,14,12,32,2,81,0.0,1017,14,10,5,17,Wisconsin
2022-09-03 09:00:00,27,14,0.0,11.6,6,49,02:35 PM,11:17 PM,06:24 AM,07:32 PM,11,17,17,17,22,0,68,0.0,1020,17,10,34,19,Wisconsin
2022-09-03 12:00:00,27,14,0.0,11.6,6,49,02:35 PM,11:17 PM,06:24 AM,07:32 PM,13,25,25,24,17,0,51,0.0,1021,24,10,39,15,Wisconsin
2022-09-03 15:00:00,27,14,0.0,11.6,6,49,02:35 PM,11:17 PM,06:24 AM,07:32 PM,13,27,27,27,14,0,42,0.0,1021,27,10,35,13,Wisconsin
