date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,13,16,16,16,21,0,83,0.0,1015,16,10,5,10,Wyoming
2022-09-01 03:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,8,11,12,11,25,0,76,0.0,1017,12,10,58,12,Wyoming
2022-09-01 06:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,6,9,11,9,21,2,71,0.0,1018,11,10,83,10,Wyoming
2022-09-01 09:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,5,14,14,14,16,4,55,0.0,1020,14,10,100,10,Wyoming
2022-09-01 12:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,5,24,24,22,10,6,33,0.0,1019,22,10,120,9,Wyoming
2022-09-01 15:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,8,27,27,29,8,4,26,0.0,1018,29,10,152,6,Wyoming
2022-09-01 18:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,10,27,27,27,8,4,33,0.0,1017,27,10,177,7,Wyoming
2022-09-01 21:00:00,29,11,0.0,11.6,6,35,12:43 PM,10:53 PM,07:08 AM,08:17 PM,8,19,19,19,21,2,51,0.0,1017,19,10,152,10,Wyoming
2022-09-02 00:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,14,19,19,19,24,12,74,0.0,1016,19,10,148,12,Wyoming
2022-09-02 03:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,14,19,19,19,30,5,76,0.0,1016,19,10,155,14,Wyoming
2022-09-02 06:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,15,18,18,18,28,22,82,0.0,1016,18,10,152,13,Wyoming
2022-09-02 09:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,15,22,25,22,22,14,68,0.0,1016,22,10,181,15,Wyoming
2022-09-02 12:00:00,33,18,0.0,11.6,7,42,01:57 PM,11:26 PM,07:09 AM,08:15 PM,16,34,34,33,24,11,37,0.0,1016,33,10,213,21,Wyoming
