date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,31,23,0.0,9.2,6,35,10:06 AM,09:50 PM,05:37 AM,06:02 PM,23,26,26,24,9,89,94,0.9,1010,24,9,174,5,Arizona
2022-09-01 01:00:00,31,23,0.0,9.2,6,35,10:06 AM,09:50 PM,05:37 AM,06:02 PM,22,26,26,24,9,88,94,0.5,1010,24,9,185,5,Arizona
2022-09-01 02:00:00,31,23,0.0,9.2,6,35,10:06 AM,09:50 PM,05:37 AM,06:02 PM,22,26,26,23,10,87,94,0.1,1009,23,9,196,6,Arizona
2022-09-01 03:00:00,31,23,0.0,9.2,6,35,10:06 AM,09:50 PM,05:37 AM,06:02 PM,22,26,26,23,10,86,94,0.1,1009,23,9,207,6,Arizona
2022-09-01 04:00:00,31,23,0.0,9.2,6,35,10:06 AM,09:50 PM,05:37 AM,06:02 PM,22,26,26,23,11,81,94,0.1,1009,23,9,210,7,Arizona
2022-09-01 05:00:00,31,23,0.0,9.2,6,35,10:06 AM,09:50 PM,05:37 AM,06:02 PM,22,26,26,23,12,76,94,0.1,1009,23,9,214,7,Arizona
2022-09-01 06:00:00,31,23,0.0,9.2,6,35,10:06 AM,09:50 PM,05:37 AM,06:02 PM,22,26,26,23,13,71,94,0.1,1010,23,9,218,8,Arizona
2022-09-01 07:00:00,31,23,0.0,9.2,6,35,10:06 AM,09:50 PM,05:37 AM,06:02 PM,22,28,28,25,11,53,87,0.1,1010,25,9,234,7,Arizona
2022-09-01 08:00:00,31,23,0.0,9.2,6,35,10:06 AM,09:50 PM,05:37 AM,06:02 PM,23,30,30,27,9,36,79,0.0,1011,27,10,250,7,Arizona
2022-09-01 09:00:00,31,23,0.0,9.2,6,35,10:06 AM,09:50 PM,05:37 AM,06:02 PM,23,32,32,28,8,18,72,0.0,1011,28,10,266,6,Arizona
2022-09-01 10:00:00,31,23,0.0,9.2,6,35,10:06 AM,09:50 PM,05:37 AM,06:02 PM,23,33,33,29,10,36,68,0.0,1010,29,10,284,8,Arizona
