date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,5,25,25,25,24,0,28,0.0,1014,25,10,121,12,Arkansas
2022-09-01 01:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,5,24,24,24,23,2,29,0.0,1014,24,10,121,11,Arkansas
2022-09-01 02:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,5,24,24,24,23,3,30,0.0,1014,24,10,120,11,Arkansas
2022-09-01 03:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,5,24,24,23,22,5,31,0.0,1014,23,10,120,10,Arkansas
2022-09-01 04:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,5,24,24,23,22,9,33,0.0,1014,23,10,116,10,Arkansas
2022-09-01 05:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,6,24,24,22,21,13,35,0.0,1014,22,10,112,10,Arkansas
2022-09-01 06:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,7,24,24,22,21,17,37,0.0,1013,22,10,108,10,Arkansas
2022-09-01 07:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,9,25,25,23,19,23,39,0.0,1014,23,10,107,10,Arkansas
2022-09-01 08:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,11,26,26,25,16,28,41,0.0,1014,25,10,107,10,Arkansas
2022-09-01 09:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,13,26,26,26,14,34,43,0.0,1015,26,10,107,10,Arkansas
2022-09-01 10:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,13,29,29,29,12,29,39,0.0,1014,29,10,130,9,Arkansas
2022-09-01 11:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,14,32,32,32,11,23,35,0.0,1014,32,10,153,9,Arkansas
2022-09-01 12:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,14,34,34,34,9,18,30,0.0,1014,34,10,176,8,Arkansas
2022-09-01 13:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,14,35,35,35,11,27,28,0.0,1013,35,10,186,9,Arkansas
2022-09-01 14:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,13,36,36,36,13,36,26,0.0,1012,36,10,197,11,Arkansas
2022-09-01 15:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,13,37,37,38,14,46,23,0.0,1011,38,10,208,13,Arkansas
2022-09-01 16:00:00,38,22,0.0,11.6,8,35,12:18 PM,10:53 PM,06:59 AM,07:57 PM,13,37,37,37,15,38,23,0.0,1010,37,10,209,13,Arkansas
