date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,2,12,12,12,17,23,50,0.0,1020,12,10,290,8,Colorado
2022-09-01 01:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,2,11,12,11,18,17,51,0.0,1019,12,10,285,8,Colorado
2022-09-01 02:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,2,11,11,11,19,10,51,0.0,1019,11,10,280,9,Colorado
2022-09-01 03:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,2,10,11,10,20,4,52,0.0,1019,11,10,276,9,Colorado
2022-09-01 04:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,2,10,11,10,21,3,52,0.0,1019,11,10,278,10,Colorado
2022-09-01 05:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,2,10,11,10,21,3,53,0.0,1018,11,10,281,10,Colorado
2022-09-01 06:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,2,10,11,10,22,2,53,0.0,1018,11,10,284,10,Colorado
2022-09-01 07:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,3,14,15,14,16,3,46,0.0,1017,15,10,280,8,Colorado
2022-09-01 08:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,5,19,20,19,10,4,39,0.0,1016,19,10,277,6,Colorado
2022-09-01 09:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,6,24,24,23,4,4,33,0.0,1016,23,10,273,3,Colorado
2022-09-01 10:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,5,25,25,25,5,12,28,0.0,1015,25,10,217,4,Colorado
2022-09-01 11:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,4,26,26,27,6,21,24,0.0,1014,27,10,161,6,Colorado
2022-09-01 12:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,4,27,27,29,8,29,20,0.0,1013,29,10,105,7,Colorado
2022-09-01 13:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,4,27,27,28,11,35,21,0.0,1013,28,10,117,9,Colorado
2022-09-01 14:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,4,26,26,28,13,42,22,0.0,1012,28,10,129,11,Colorado
2022-09-01 15:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,5,26,26,28,16,48,23,0.0,1012,28,10,141,14,Colorado
2022-09-01 16:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,5,26,26,28,13,34,23,0.0,1012,28,10,141,11,Colorado
2022-09-01 17:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,5,26,26,28,10,20,24,0.0,1011,28,10,142,8,Colorado
2022-09-01 18:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,5,26,26,27,6,7,24,0.0,1011,27,10,143,6,Colorado
2022-09-01 19:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,4,23,23,24,8,9,29,0.0,1012,24,10,184,5,Colorado
2022-09-01 20:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,4,20,20,20,9,11,34,0.0,1013,20,10,225,5,Colorado
2022-09-01 21:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,3,17,17,17,10,13,39,0.0,1014,17,10,266,5,Colorado
2022-09-01 22:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,2,15,15,15,14,12,40,0.0,1014,15,10,272,7,Colorado
2022-09-01 23:00:00,29,11,0.0,11.6,6,35,11:55 AM,10:21 PM,06:28 AM,07:30 PM,1,14,14,14,18,11,41,0.0,1014,14,10,278,9,Colorado
2022-09-02 00:00:00,32,13,0.0,11.6,7,42,01:05 PM,10:57 PM,06:29 AM,07:28 PM,1,12,13,12,22,10,43,0.0,1014,13,10,284,10,Colorado
2022-09-02 01:00:00,32,13,0.0,11.6,7,42,01:05 PM,10:57 PM,06:29 AM,07:28 PM,0,12,13,12,22,10,42,0.0,1014,13,10,285,11,Colorado
2022-09-02 02:00:00,32,13,0.0,11.6,7,42,01:05 PM,10:57 PM,06:29 AM,07:28 PM,-0,12,13,12,23,10,41,0.0,1014,13,10,287,11,Colorado
2022-09-02 03:00:00,32,13,0.0,11.6,7,42,01:05 PM,10:57 PM,06:29 AM,07:28 PM,-1,11,13,11,23,10,40,0.0,1014,13,10,288,11,Colorado
2022-09-02 04:00:00,32,13,0.0,11.6,7,42,01:05 PM,10:57 PM,06:29 AM,07:28 PM,-1,12,13,12,24,13,38,0.0,1015,13,10,290,11,Colorado
2022-09-02 05:00:00,32,13,0.0,11.6,7,42,01:05 PM,10:57 PM,06:29 AM,07:28 PM,-2,12,13,12,24,16,36,0.0,1015,13,10,292,11,Colorado
2022-09-02 06:00:00,32,13,0.0,11.6,7,42,01:05 PM,10:57 PM,06:29 AM,07:28 PM,-3,12,13,12,24,20,34,0.0,1016,13,10,294,12,Colorado
2022-09-02 07:00:00,32,13,0.0,11.6,7,42,01:05 PM,10:57 PM,06:29 AM,07:28 PM,-1,16,17,16,20,16,30,0.0,1015,17,10,306,11,Colorado
2022-09-02 08:00:00,32,13,0.0,11.6,7,42,01:05 PM,10:57 PM,06:29 AM,07:28 PM,1,21,20,21,15,12,27,0.0,1015,21,10,319,10,Colorado
2022-09-02 09:00:00,32,13,0.0,11.6,7,42,01:05 PM,10:57 PM,06:29 AM,07:28 PM,3,24,24,25,11,8,23,0.0,1015,25,10,332,9,Colorado
2022-09-02 10:00:00,32,13,0.0,11.6,7,42,01:05 PM,10:57 PM,06:29 AM,07:28 PM,3,26,26,27,15,8,21,0.0,1015,27,10,225,13,Colorado
2022-09-02 11:00:00,32,13,0.0,11.6,7,42,01:05 PM,10:57 PM,06:29 AM,07:28 PM,4,27,27,29,19,7,20,0.0,1015,29,10,119,17,Colorado
