date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,10,21,21,21,20,3,51,0.0,1011,21,10,312,10,Connecticut
2022-09-01 01:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,10,21,21,21,20,4,51,0.0,1011,21,10,299,11,Connecticut
2022-09-01 02:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,10,21,21,21,21,5,51,0.0,1011,21,10,287,11,Connecticut
2022-09-01 03:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,10,21,21,21,21,6,51,0.0,1011,21,10,274,11,Connecticut
2022-09-01 04:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,10,20,20,20,23,7,52,0.0,1011,20,10,273,12,Connecticut
2022-09-01 05:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,10,20,20,20,25,9,53,0.0,1011,20,10,272,13,Connecticut
2022-09-01 06:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,10,20,20,20,27,11,54,0.0,1011,20,10,272,15,Connecticut
2022-09-01 07:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,10,20,21,20,28,9,52,0.0,1012,20,10,281,17,Connecticut
2022-09-01 08:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,10,21,23,21,28,6,51,0.0,1012,21,10,291,19,Connecticut
2022-09-01 09:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,10,21,24,21,29,4,49,0.0,1013,21,10,301,22,Connecticut
2022-09-01 10:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,10,25,25,24,28,2,43,0.0,1013,24,10,300,22,Connecticut
2022-09-01 11:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,10,26,26,26,28,1,37,0.0,1013,26,10,299,23,Connecticut
2022-09-01 12:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,9,27,27,28,28,0,32,0.0,1013,28,10,299,24,Connecticut
2022-09-01 13:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,10,28,28,28,26,2,32,0.0,1013,28,10,298,22,Connecticut
2022-09-01 14:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,11,28,28,29,24,4,32,0.0,1013,29,10,297,21,Connecticut
2022-09-01 15:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,12,29,29,30,22,6,33,0.0,1013,30,10,297,19,Connecticut
2022-09-01 16:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,11,28,28,29,23,4,33,0.0,1013,29,10,305,20,Connecticut
2022-09-01 17:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,10,27,27,28,23,2,33,0.0,1014,28,10,313,20,Connecticut
2022-09-01 18:00:00,30,20,0.0,11.6,7,35,11:48 AM,10:08 PM,06:21 AM,07:27 PM,10,27,27,27,24,0,33,0.0,1014,27,10,321,21,Connecticut
