date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,26,14,0.0,11.6,6,35,12:26 PM,10:49 PM,07:00 AM,08:04 PM,13,16,16,16,23,4,82,0.0,1016,16,10,264,11,Delaware
2022-09-01 01:00:00,26,14,0.0,11.6,6,35,12:26 PM,10:49 PM,07:00 AM,08:04 PM,13,16,16,16,22,4,83,0.0,1016,16,10,274,10,Delaware
2022-09-01 02:00:00,26,14,0.0,11.6,6,35,12:26 PM,10:49 PM,07:00 AM,08:04 PM,13,15,15,15,21,4,85,0.0,1016,15,10,284,10,Delaware
2022-09-01 03:00:00,26,14,0.0,11.6,6,35,12:26 PM,10:49 PM,07:00 AM,08:04 PM,13,15,15,15,20,4,86,0.0,1017,15,10,294,9,Delaware
2022-09-01 04:00:00,26,14,0.0,11.6,6,35,12:26 PM,10:49 PM,07:00 AM,08:04 PM,12,15,15,15,17,4,86,0.0,1017,15,10,310,8,Delaware
2022-09-01 05:00:00,26,14,0.0,11.6,6,35,12:26 PM,10:49 PM,07:00 AM,08:04 PM,12,14,14,14,15,3,87,0.0,1017,14,10,326,7,Delaware
2022-09-01 06:00:00,26,14,0.0,11.6,6,35,12:26 PM,10:49 PM,07:00 AM,08:04 PM,12,14,14,14,12,3,88,0.0,1017,14,10,342,6,Delaware
2022-09-01 07:00:00,26,14,0.0,11.6,6,35,12:26 PM,10:49 PM,07:00 AM,08:04 PM,13,15,15,15,11,5,85,0.0,1018,15,10,339,6,Delaware
2022-09-01 08:00:00,26,14,0.0,11.6,6,35,12:26 PM,10:49 PM,07:00 AM,08:04 PM,13,17,16,17,9,7,83,0.0,1018,16,10,336,5,Delaware
2022-09-01 09:00:00,26,14,0.0,11.6,6,35,12:26 PM,10:49 PM,07:00 AM,08:04 PM,14,18,18,18,8,8,80,0.0,1019,18,10,333,5,Delaware
