date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,10,11,11,11,10,85,93,1.5,1014,11,9,110,5,Florida
2022-09-01 01:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,9,11,11,11,10,75,92,0.8,1014,11,9,107,5,Florida
2022-09-01 02:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,9,10,10,10,10,64,91,0.2,1013,10,10,104,5,Florida
2022-09-01 03:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,9,10,10,10,10,54,90,0.2,1013,10,10,101,5,Florida
2022-09-01 04:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,11,13,13,13,8,61,90,0.1,1014,13,10,103,4,Florida
2022-09-01 05:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,14,16,16,16,6,69,91,0.2,1014,16,10,106,3,Florida
2022-09-01 06:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,17,18,18,18,4,76,92,0.3,1015,18,10,109,3,Florida
2022-09-01 07:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,18,19,19,19,5,74,92,0.2,1015,19,10,157,3,Florida
2022-09-01 08:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,18,20,20,20,6,72,93,0.3,1016,20,10,206,4,Florida
2022-09-01 09:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,19,20,20,20,8,70,93,0.4,1016,20,10,255,5,Florida
2022-09-01 10:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,19,21,22,21,7,63,92,0.2,1016,21,10,266,5,Florida
2022-09-01 11:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,20,22,23,22,7,57,90,0.2,1015,22,10,278,5,Florida
2022-09-01 12:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,20,25,25,22,7,50,89,0.3,1014,22,10,290,4,Florida
2022-09-01 13:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,20,25,25,23,7,56,86,0.2,1013,23,10,296,5,Florida
2022-09-01 14:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,20,25,25,23,7,61,83,0.1,1012,23,10,303,5,Florida
2022-09-01 15:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,20,25,25,23,7,67,80,0.1,1011,23,10,309,6,Florida
2022-09-01 16:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,20,24,24,22,6,67,85,0.0,1011,22,10,312,5,Florida
2022-09-01 17:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,20,21,22,21,5,68,91,0.1,1011,21,10,315,4,Florida
2022-09-01 18:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,20,20,20,20,5,68,96,0.1,1012,20,10,318,3,Florida
2022-09-01 19:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,17,18,18,18,5,72,95,0.1,1012,18,10,224,3,Florida
2022-09-01 20:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,14,15,15,15,5,76,94,0.5,1013,15,10,130,3,Florida
2022-09-01 21:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,11,12,12,12,5,80,94,0.6,1014,12,10,36,3,Florida
2022-09-01 22:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,11,12,12,12,6,78,94,0.3,1014,12,10,41,3,Florida
2022-09-01 23:00:00,23,10,0.0,9.2,5,35,09:57 AM,10:03 PM,05:45 AM,06:00 PM,10,11,11,11,6,76,94,0.2,1014,11,9,46,3,Florida
2022-09-02 00:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,10,11,11,11,6,74,94,0.2,1014,11,9,51,3,Florida
2022-09-02 01:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,10,11,11,11,6,75,94,0.1,1013,11,9,68,3,Florida
2022-09-02 02:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,10,11,11,11,5,77,94,0.1,1013,11,9,84,2,Florida
2022-09-02 03:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,10,11,11,11,5,78,94,0.1,1012,11,9,101,2,Florida
2022-09-02 04:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,9,10,10,10,6,70,93,0.0,1013,10,9,106,3,Florida
2022-09-02 05:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,9,10,10,10,7,63,92,0.0,1013,10,10,110,3,Florida
2022-09-02 06:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,9,10,10,10,8,55,92,0.0,1013,10,10,115,4,Florida
2022-09-02 07:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,10,12,12,12,10,64,89,0.0,1014,12,10,164,5,Florida
2022-09-02 08:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,11,13,13,13,11,73,85,0.1,1014,13,9,213,5,Florida
2022-09-02 09:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,12,15,15,15,12,82,82,0.1,1014,15,9,262,6,Florida
2022-09-02 10:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,15,18,18,18,12,79,82,0.0,1013,18,9,270,7,Florida
2022-09-02 11:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,17,21,22,21,12,76,82,0.1,1013,21,9,278,7,Florida
2022-09-02 12:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,20,26,26,24,12,73,82,0.2,1012,24,9,286,8,Florida
2022-09-02 13:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,20,25,25,23,11,74,85,0.1,1012,23,9,291,8,Florida
2022-09-02 14:00:00,24,10,0.0,7.5,4,42,10:50 AM,10:54 PM,05:45 AM,05:59 PM,21,25,25,23,10,75,87,0.3,1011,23,10,295,7,Florida
