date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,3,24,24,25,10,1,24,0.0,1012,25,10,35,5,Georgia
2022-09-01 01:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,3,24,24,25,9,1,24,0.0,1012,25,10,31,4,Georgia
2022-09-01 02:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,3,24,24,24,8,1,25,0.0,1012,24,10,28,4,Georgia
2022-09-01 03:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,3,23,23,23,7,1,26,0.0,1012,23,10,24,3,Georgia
2022-09-01 04:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,3,23,23,22,7,3,27,0.0,1012,22,10,34,3,Georgia
2022-09-01 05:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,3,22,22,22,6,5,28,0.0,1012,22,10,44,3,Georgia
2022-09-01 06:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,3,21,21,21,6,6,30,0.0,1013,21,10,54,3,Georgia
2022-09-01 07:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,3,22,22,23,6,8,27,0.0,1012,23,10,96,3,Georgia
2022-09-01 08:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,3,24,24,24,5,9,25,0.0,1012,24,10,138,4,Georgia
2022-09-01 09:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,3,25,25,26,5,10,22,0.0,1012,26,10,180,4,Georgia
2022-09-01 10:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,4,28,28,29,8,8,20,0.0,1012,29,10,175,7,Georgia
2022-09-01 11:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,5,31,31,32,11,5,18,0.0,1011,32,10,169,9,Georgia
2022-09-01 12:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,6,34,34,36,14,2,15,0.0,1010,36,10,163,12,Georgia
2022-09-01 13:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,5,36,36,37,15,2,14,0.0,1009,37,10,158,13,Georgia
2022-09-01 14:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,5,38,38,38,15,1,13,0.0,1008,38,10,153,13,Georgia
2022-09-01 15:00:00,40,21,0.0,11.6,8,35,11:33 AM,10:03 PM,06:26 AM,07:35 PM,5,40,40,40,16,0,12,0.0,1007,40,10,148,14,Georgia
