date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,-2,22,22,22,18,21,20,0.0,1011,22,10,197,9,Idaho
2022-09-01 01:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,-2,21,21,21,16,28,21,0.0,1011,21,10,161,8,Idaho
2022-09-01 02:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,-1,21,21,21,15,36,23,0.0,1011,21,10,125,7,Idaho
2022-09-01 03:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,-1,20,20,20,13,43,24,0.0,1012,20,10,89,6,Idaho
2022-09-01 04:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,-0,20,20,20,14,47,26,0.0,1012,20,10,107,6,Idaho
2022-09-01 05:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,0,20,20,20,14,50,28,0.0,1012,20,10,125,7,Idaho
2022-09-01 06:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,1,19,19,19,15,53,30,0.0,1012,19,10,143,7,Idaho
2022-09-01 07:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,1,21,21,21,13,64,27,0.0,1012,21,10,159,7,Idaho
2022-09-01 08:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,1,22,22,23,11,75,25,0.0,1012,23,10,175,7,Idaho
2022-09-01 09:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,2,24,24,24,9,86,22,0.0,1012,24,10,191,8,Idaho
2022-09-01 10:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,2,27,27,28,14,57,19,0.0,1012,28,10,203,13,Idaho
2022-09-01 11:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,2,30,30,32,20,29,16,0.0,1011,32,10,216,18,Idaho
2022-09-01 12:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,3,33,33,35,26,0,13,0.0,1010,35,10,228,23,Idaho
2022-09-01 13:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,0,35,35,36,28,5,11,0.0,1009,36,10,232,24,Idaho
2022-09-01 14:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,-2,36,36,37,30,10,9,0.0,1008,37,10,237,26,Idaho
2022-09-01 15:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,-4,37,37,38,32,15,7,0.0,1007,38,10,242,28,Idaho
2022-09-01 16:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,-5,36,36,37,33,11,7,0.0,1006,37,10,239,29,Idaho
2022-09-01 17:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,-6,35,35,36,35,7,6,0.0,1006,36,10,237,30,Idaho
2022-09-01 18:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,-7,34,34,36,36,4,6,0.0,1005,36,10,234,31,Idaho
2022-09-01 19:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,-8,31,31,32,39,3,7,0.0,1006,32,10,230,28,Idaho
2022-09-01 20:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,-9,27,27,29,43,1,8,0.0,1007,29,10,226,25,Idaho
2022-09-01 21:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,-10,24,24,26,47,0,9,0.0,1008,26,10,222,22,Idaho
2022-09-01 22:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,-10,22,22,23,33,0,11,0.0,1009,23,10,190,16,Idaho
2022-09-01 23:00:00,38,19,0.0,10.4,8,35,12:35 PM,10:39 PM,06:52 AM,08:03 PM,-10,21,20,21,19,0,12,0.0,1011,21,10,158,9,Idaho
2022-09-02 00:00:00,37,14,0.0,11.6,7,42,01:50 PM,11:12 PM,06:53 AM,08:01 PM,-10,18,18,18,5,0,14,0.0,1013,18,10,125,2,Idaho
2022-09-02 01:00:00,37,14,0.0,11.6,7,42,01:50 PM,11:12 PM,06:53 AM,08:01 PM,-10,17,17,17,7,0,15,0.0,1013,17,10,104,3,Idaho
2022-09-02 02:00:00,37,14,0.0,11.6,7,42,01:50 PM,11:12 PM,06:53 AM,08:01 PM,-10,16,16,16,9,0,16,0.0,1014,16,10,82,4,Idaho
2022-09-02 03:00:00,37,14,0.0,11.6,7,42,01:50 PM,11:12 PM,06:53 AM,08:01 PM,-10,16,16,16,10,0,17,0.0,1014,16,10,61,5,Idaho
2022-09-02 04:00:00,37,14,0.0,11.6,7,42,01:50 PM,11:12 PM,06:53 AM,08:01 PM,-9,15,15,15,12,0,18,0.0,1015,15,10,57,6,Idaho
2022-09-02 05:00:00,37,14,0.0,11.6,7,42,01:50 PM,11:12 PM,06:53 AM,08:01 PM,-9,14,14,14,15,0,19,0.0,1016,14,10,54,7,Idaho
