date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,35,18,0.0,11.6,7,35,12:38 PM,11:03 PM,07:13 AM,08:16 PM,11,21,21,21,12,3,53,0.0,1017,21,10,285,6,Indiana
2022-09-01 01:00:00,35,18,0.0,11.6,7,35,12:38 PM,11:03 PM,07:13 AM,08:16 PM,11,20,20,20,11,3,55,0.0,1017,20,10,263,5,Indiana
2022-09-01 02:00:00,35,18,0.0,11.6,7,35,12:38 PM,11:03 PM,07:13 AM,08:16 PM,11,20,20,20,9,4,56,0.0,1017,20,10,240,4,Indiana
2022-09-01 03:00:00,35,18,0.0,11.6,7,35,12:38 PM,11:03 PM,07:13 AM,08:16 PM,11,20,20,20,8,4,58,0.0,1016,20,10,218,4,Indiana
2022-09-01 04:00:00,35,18,0.0,11.6,7,35,12:38 PM,11:03 PM,07:13 AM,08:16 PM,11,19,19,19,9,5,59,0.0,1017,19,10,242,4,Indiana
2022-09-01 05:00:00,35,18,0.0,11.6,7,35,12:38 PM,11:03 PM,07:13 AM,08:16 PM,11,19,19,19,11,6,61,0.0,1017,19,10,267,5,Indiana
2022-09-01 06:00:00,35,18,0.0,11.6,7,35,12:38 PM,11:03 PM,07:13 AM,08:16 PM,11,18,18,18,12,7,63,0.0,1017,18,10,291,6,Indiana
2022-09-01 07:00:00,35,18,0.0,11.6,7,35,12:38 PM,11:03 PM,07:13 AM,08:16 PM,11,19,19,19,9,7,60,0.0,1018,19,10,283,5,Indiana
2022-09-01 08:00:00,35,18,0.0,11.6,7,35,12:38 PM,11:03 PM,07:13 AM,08:16 PM,11,20,20,20,6,7,57,0.0,1018,20,10,275,3,Indiana
2022-09-01 09:00:00,35,18,0.0,11.6,7,35,12:38 PM,11:03 PM,07:13 AM,08:16 PM,11,21,21,21,3,7,54,0.0,1019,21,10,267,2,Indiana
2022-09-01 10:00:00,35,18,0.0,11.6,7,35,12:38 PM,11:03 PM,07:13 AM,08:16 PM,12,24,24,24,4,7,48,0.0,1018,24,10,247,3,Indiana
