date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,33,18,0.0,10.3,7,35,12:05 PM,10:20 PM,06:32 AM,07:39 PM,11,21,24,21,25,5,52,0.0,1015,21,10,92,12,Iowa
2022-09-01 01:00:00,33,18,0.0,10.3,7,35,12:05 PM,10:20 PM,06:32 AM,07:39 PM,11,20,23,20,25,6,54,0.0,1015,20,10,85,12,Iowa
2022-09-01 02:00:00,33,18,0.0,10.3,7,35,12:05 PM,10:20 PM,06:32 AM,07:39 PM,11,20,21,20,24,7,56,0.0,1015,20,10,78,12,Iowa
2022-09-01 03:00:00,33,18,0.0,10.3,7,35,12:05 PM,10:20 PM,06:32 AM,07:39 PM,11,19,19,19,24,8,58,0.0,1015,19,10,71,12,Iowa
2022-09-01 04:00:00,33,18,0.0,10.3,7,35,12:05 PM,10:20 PM,06:32 AM,07:39 PM,10,19,19,19,24,9,59,0.0,1015,19,10,87,11,Iowa
2022-09-01 05:00:00,33,18,0.0,10.3,7,35,12:05 PM,10:20 PM,06:32 AM,07:39 PM,10,18,18,18,23,9,59,0.0,1015,18,10,103,11,Iowa
2022-09-01 06:00:00,33,18,0.0,10.3,7,35,12:05 PM,10:20 PM,06:32 AM,07:39 PM,10,18,18,18,23,10,59,0.0,1015,18,10,120,11,Iowa
2022-09-01 07:00:00,33,18,0.0,10.3,7,35,12:05 PM,10:20 PM,06:32 AM,07:39 PM,10,20,20,20,17,14,54,0.0,1015,20,10,110,9,Iowa
2022-09-01 08:00:00,33,18,0.0,10.3,7,35,12:05 PM,10:20 PM,06:32 AM,07:39 PM,10,22,22,22,11,18,48,0.0,1015,22,10,101,6,Iowa
2022-09-01 09:00:00,33,18,0.0,10.3,7,35,12:05 PM,10:20 PM,06:32 AM,07:39 PM,10,25,25,23,5,22,42,0.0,1016,23,10,92,4,Iowa
2022-09-01 10:00:00,33,18,0.0,10.3,7,35,12:05 PM,10:20 PM,06:32 AM,07:39 PM,12,25,25,24,9,43,48,0.0,1016,24,10,142,7,Iowa
2022-09-01 11:00:00,33,18,0.0,10.3,7,35,12:05 PM,10:20 PM,06:32 AM,07:39 PM,14,25,25,24,13,65,54,0.0,1016,24,10,192,10,Iowa
