date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,38,19,0.0,11.6,7,35,12:12 PM,10:38 PM,06:47 AM,07:49 PM,9,24,24,23,5,5,40,0.0,1016,23,10,290,3,Kansas
2022-09-01 01:00:00,38,19,0.0,11.6,7,35,12:12 PM,10:38 PM,06:47 AM,07:49 PM,9,22,23,22,6,9,43,0.0,1016,22,10,259,3,Kansas
2022-09-01 02:00:00,38,19,0.0,11.6,7,35,12:12 PM,10:38 PM,06:47 AM,07:49 PM,8,21,21,21,6,13,46,0.0,1016,21,10,228,3,Kansas
2022-09-01 03:00:00,38,19,0.0,11.6,7,35,12:12 PM,10:38 PM,06:47 AM,07:49 PM,8,20,20,20,6,17,48,0.0,1015,20,10,198,3,Kansas
2022-09-01 04:00:00,38,19,0.0,11.6,7,35,12:12 PM,10:38 PM,06:47 AM,07:49 PM,8,19,19,19,12,13,49,0.0,1015,19,10,182,6,Kansas
2022-09-01 05:00:00,38,19,0.0,11.6,7,35,12:12 PM,10:38 PM,06:47 AM,07:49 PM,8,19,19,19,17,9,49,0.0,1015,19,10,166,8,Kansas
2022-09-01 06:00:00,38,19,0.0,11.6,7,35,12:12 PM,10:38 PM,06:47 AM,07:49 PM,8,19,19,19,23,5,49,0.0,1015,19,10,150,11,Kansas
2022-09-01 07:00:00,38,19,0.0,11.6,7,35,12:12 PM,10:38 PM,06:47 AM,07:49 PM,9,20,21,20,19,19,47,0.0,1015,20,10,152,10,Kansas
2022-09-01 08:00:00,38,19,0.0,11.6,7,35,12:12 PM,10:38 PM,06:47 AM,07:49 PM,9,21,23,21,15,32,46,0.0,1016,21,10,154,9,Kansas
2022-09-01 09:00:00,38,19,0.0,11.6,7,35,12:12 PM,10:38 PM,06:47 AM,07:49 PM,10,24,24,23,12,46,44,0.0,1016,23,10,156,8,Kansas
2022-09-01 10:00:00,38,19,0.0,11.6,7,35,12:12 PM,10:38 PM,06:47 AM,07:49 PM,11,26,26,25,13,41,40,0.0,1016,25,10,159,9,Kansas
2022-09-01 11:00:00,38,19,0.0,11.6,7,35,12:12 PM,10:38 PM,06:47 AM,07:49 PM,11,28,28,28,14,35,35,0.0,1016,28,10,162,11,Kansas
2022-09-01 12:00:00,38,19,0.0,11.6,7,35,12:12 PM,10:38 PM,06:47 AM,07:49 PM,12,30,30,31,15,30,31,0.0,1015,31,10,165,13,Kansas
2022-09-01 13:00:00,38,19,0.0,11.6,7,35,12:12 PM,10:38 PM,06:47 AM,07:49 PM,12,33,33,33,17,22,28,0.0,1014,33,10,161,15,Kansas
2022-09-01 14:00:00,38,19,0.0,11.6,7,35,12:12 PM,10:38 PM,06:47 AM,07:49 PM,12,35,35,36,19,14,24,0.0,1013,36,10,158,16,Kansas
