date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,8,21,21,21,41,32,42,0.0,1017,21,10,33,25,Kentucky
2022-09-01 01:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,7,20,20,20,44,23,44,0.0,1017,20,10,39,25,Kentucky
2022-09-01 02:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,7,19,19,19,47,14,47,0.0,1017,19,10,45,25,Kentucky
2022-09-01 03:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,7,18,18,18,50,6,49,0.0,1017,18,10,51,24,Kentucky
2022-09-01 04:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,7,17,17,17,46,7,53,0.0,1017,17,10,51,23,Kentucky
2022-09-01 05:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,8,16,16,16,43,9,57,0.0,1017,16,10,50,21,Kentucky
2022-09-01 06:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,8,16,16,16,39,10,61,0.0,1017,16,10,49,19,Kentucky
2022-09-01 07:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,7,17,17,17,38,9,54,0.0,1017,17,10,41,22,Kentucky
2022-09-01 08:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,7,18,18,18,38,8,48,0.0,1017,18,10,33,24,Kentucky
2022-09-01 09:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,6,19,19,19,37,6,42,0.0,1017,19,10,25,27,Kentucky
2022-09-01 10:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,6,22,21,22,34,6,37,0.0,1017,22,10,135,27,Kentucky
2022-09-01 11:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,7,24,24,24,32,6,33,0.0,1016,24,10,244,26,Kentucky
2022-09-01 12:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,7,26,26,27,30,6,28,0.0,1015,27,10,354,26,Kentucky
2022-09-01 13:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,6,27,27,28,34,6,25,0.0,1014,28,10,337,29,Kentucky
2022-09-01 14:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,6,28,28,30,38,7,22,0.0,1012,30,10,321,33,Kentucky
2022-09-01 15:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,5,29,29,32,42,7,19,0.0,1011,32,10,305,37,Kentucky
2022-09-01 16:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,5,28,28,30,38,5,20,0.0,1011,30,10,285,33,Kentucky
2022-09-01 17:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,5,27,27,29,34,3,22,0.0,1011,29,10,265,30,Kentucky
2022-09-01 18:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,4,26,26,27,30,2,23,0.0,1012,27,10,245,26,Kentucky
2022-09-01 19:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,4,24,24,25,30,1,26,0.0,1013,25,10,229,23,Kentucky
2022-09-01 20:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,3,22,22,22,30,1,29,0.0,1014,22,10,214,20,Kentucky
2022-09-01 21:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,3,20,20,20,30,0,32,0.0,1015,20,10,199,16,Kentucky
2022-09-01 22:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,4,20,20,20,27,0,34,0.0,1015,20,10,192,15,Kentucky
2022-09-01 23:00:00,32,16,0.0,11.6,6,35,09:55 AM,11:28 PM,06:57 AM,06:28 PM,5,20,20,20,24,0,37,0.0,1015,20,10,186,13,Kentucky
2022-09-02 00:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,6,20,20,20,21,0,39,0.0,1015,20,10,180,11,Kentucky
2022-09-02 01:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,5,19,19,19,18,1,40,0.0,1015,19,10,198,9,Kentucky
2022-09-02 02:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,4,17,17,17,15,1,41,0.0,1015,17,10,217,8,Kentucky
2022-09-02 03:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,3,16,16,16,12,2,41,0.0,1015,16,10,236,6,Kentucky
2022-09-02 04:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,3,16,16,16,11,2,42,0.0,1015,16,10,274,5,Kentucky
2022-09-02 05:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,3,15,15,15,11,1,43,0.0,1015,15,10,312,5,Kentucky
2022-09-02 06:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,3,15,14,15,10,1,44,0.0,1015,14,10,351,5,Kentucky
2022-09-02 07:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,3,16,16,16,12,1,40,0.0,1015,16,10,237,7,Kentucky
2022-09-02 08:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,3,18,18,18,14,2,36,0.0,1016,18,10,124,9,Kentucky
2022-09-02 09:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,3,20,20,20,15,2,32,0.0,1016,20,10,11,11,Kentucky
2022-09-02 10:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,3,22,22,22,19,2,29,0.0,1015,22,10,120,15,Kentucky
2022-09-02 11:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,3,23,23,24,22,2,26,0.0,1015,24,10,229,19,Kentucky
2022-09-02 12:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,4,25,25,27,26,2,23,0.0,1014,27,10,338,22,Kentucky
2022-09-02 13:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,4,26,26,28,31,2,21,0.0,1013,28,10,319,27,Kentucky
2022-09-02 14:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,4,27,27,29,36,2,20,0.0,1012,29,10,301,31,Kentucky
2022-09-02 15:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,5,28,28,31,41,2,19,0.0,1011,31,10,282,36,Kentucky
2022-09-02 16:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,3,27,27,29,39,1,19,0.0,1011,29,10,277,34,Kentucky
2022-09-02 17:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,2,26,26,28,36,1,19,0.0,1012,28,10,271,31,Kentucky
2022-09-02 18:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,0,25,25,26,33,0,18,0.0,1012,26,10,266,29,Kentucky
2022-09-02 19:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,1,22,22,23,36,0,24,0.0,1014,23,10,252,28,Kentucky
2022-09-02 20:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,1,20,19,20,39,0,30,0.0,1015,20,10,238,27,Kentucky
2022-09-02 21:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,2,17,17,17,41,0,36,0.0,1017,17,10,223,26,Kentucky
2022-09-02 22:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,1,16,16,16,33,0,37,0.0,1018,16,10,218,21,Kentucky
2022-09-02 23:00:00,31,14,0.0,11.6,6,42,10:32 AM,No moonset,06:55 AM,06:29 PM,1,14,15,14,24,0,38,0.0,1018,15,10,212,15,Kentucky
2022-09-03 00:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,0,13,14,13,16,0,39,0.0,1019,14,10,207,10,Kentucky
2022-09-03 01:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-1,12,13,12,15,0,40,0.0,1019,13,10,183,9,Kentucky
2022-09-03 02:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-1,11,12,11,13,0,40,0.0,1019,12,10,159,7,Kentucky
2022-09-03 03:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-2,11,11,11,12,0,41,0.0,1019,11,10,136,6,Kentucky
2022-09-03 04:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-2,10,11,10,10,0,41,0.0,1019,11,10,131,5,Kentucky
2022-09-03 05:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-3,10,10,10,9,0,41,0.0,1019,10,10,127,4,Kentucky
2022-09-03 06:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-3,10,10,10,7,0,40,0.0,1019,10,10,123,3,Kentucky
2022-09-03 07:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-4,12,12,12,7,1,35,0.0,1019,12,10,87,4,Kentucky
2022-09-03 08:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-4,14,14,14,7,1,29,0.0,1019,14,10,52,4,Kentucky
2022-09-03 09:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-5,15,15,15,6,2,24,0.0,1020,15,10,16,5,Kentucky
2022-09-03 10:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-5,18,18,18,9,1,21,0.0,1019,18,10,122,7,Kentucky
2022-09-03 11:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-6,20,20,20,12,1,17,0.0,1018,20,10,228,10,Kentucky
2022-09-03 12:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-6,22,22,22,14,0,14,0.0,1018,22,10,333,13,Kentucky
2022-09-03 13:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-5,23,23,24,17,0,14,0.0,1016,24,10,330,14,Kentucky
2022-09-03 14:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-4,24,24,25,19,0,14,0.0,1015,25,10,328,16,Kentucky
2022-09-03 15:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-3,25,25,27,21,0,14,0.0,1014,27,10,325,18,Kentucky
2022-09-03 16:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-3,25,25,26,21,0,15,0.0,1014,26,10,299,18,Kentucky
2022-09-03 17:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-2,24,24,26,20,0,15,0.0,1013,26,10,273,17,Kentucky
2022-09-03 18:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-2,24,24,25,20,0,16,0.0,1013,25,10,247,17,Kentucky
2022-09-03 19:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-3,22,22,23,25,0,18,0.0,1014,23,10,236,17,Kentucky
2022-09-03 20:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-4,20,20,20,31,0,19,0.0,1015,20,10,226,17,Kentucky
2022-09-03 21:00:00,27,10,0.0,11.6,5,49,11:16 AM,12:32 AM,06:54 AM,06:29 PM,-6,17,17,17,36,0,21,0.0,1016,17,10,215,17,Kentucky
