date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,12,20,20,20,24,2,61,0.0,1016,20,10,176,12,Louisiana
2022-09-01 01:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,12,19,19,19,22,3,63,0.0,1016,19,10,185,11,Louisiana
2022-09-01 02:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,12,19,19,19,20,4,65,0.0,1016,19,10,195,10,Louisiana
2022-09-01 03:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,12,19,19,19,18,6,67,0.0,1016,19,10,204,9,Louisiana
2022-09-01 04:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,12,18,18,18,15,6,67,0.0,1016,18,10,204,7,Louisiana
2022-09-01 05:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,12,18,18,18,13,7,68,0.0,1017,18,10,203,6,Louisiana
2022-09-01 06:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,12,18,18,18,10,7,68,0.0,1017,18,10,203,5,Louisiana
2022-09-01 07:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,12,19,20,19,12,12,63,0.0,1017,19,10,200,7,Louisiana
2022-09-01 08:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,12,21,22,21,14,17,58,0.0,1017,21,10,198,9,Louisiana
2022-09-01 09:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,13,25,25,23,15,21,53,0.0,1017,23,10,195,11,Louisiana
2022-09-01 10:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,13,26,26,25,15,25,48,0.0,1017,25,10,192,12,Louisiana
2022-09-01 11:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,13,28,28,27,15,29,43,0.0,1017,27,10,190,12,Louisiana
2022-09-01 12:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,13,29,29,29,14,32,37,0.0,1017,29,10,187,12,Louisiana
2022-09-01 13:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,13,30,30,30,12,37,35,0.0,1017,30,10,190,10,Louisiana
2022-09-01 14:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,13,31,31,31,10,41,33,0.0,1016,31,10,193,8,Louisiana
2022-09-01 15:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,13,31,31,32,8,45,31,0.0,1015,32,10,196,6,Louisiana
2022-09-01 16:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,13,31,31,31,9,45,34,0.0,1015,31,10,172,7,Louisiana
2022-09-01 17:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,14,31,31,31,11,45,36,0.0,1015,31,10,149,7,Louisiana
2022-09-01 18:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,15,31,31,30,13,45,39,0.0,1014,30,10,126,8,Louisiana
2022-09-01 19:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,15,29,29,28,20,44,45,0.0,1015,28,10,128,11,Louisiana
2022-09-01 20:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,15,27,27,26,27,42,52,0.0,1015,26,10,129,13,Louisiana
2022-09-01 21:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,15,25,25,24,34,40,59,0.0,1015,24,10,131,16,Louisiana
2022-09-01 22:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,15,25,25,23,30,28,58,0.0,1015,23,10,147,15,Louisiana
2022-09-01 23:00:00,32,18,0.0,11.6,7,35,11:58 AM,10:23 PM,06:32 AM,07:35 PM,14,25,25,23,27,16,57,0.0,1015,23,10,163,13,Louisiana
2022-09-02 00:00:00,31,19,0.0,11.6,7,42,01:09 PM,10:58 PM,06:33 AM,07:34 PM,13,25,25,22,23,4,57,0.0,1015,22,10,180,11,Louisiana
2022-09-02 01:00:00,31,19,0.0,11.6,7,42,01:09 PM,10:58 PM,06:33 AM,07:34 PM,13,21,23,21,23,8,59,0.0,1014,21,10,181,11,Louisiana
2022-09-02 02:00:00,31,19,0.0,11.6,7,42,01:09 PM,10:58 PM,06:33 AM,07:34 PM,13,21,22,21,22,13,61,0.0,1014,21,10,183,10,Louisiana
2022-09-02 03:00:00,31,19,0.0,11.6,7,42,01:09 PM,10:58 PM,06:33 AM,07:34 PM,13,20,20,20,21,18,63,0.0,1014,20,10,184,10,Louisiana
2022-09-02 04:00:00,31,19,0.0,11.6,7,42,01:09 PM,10:58 PM,06:33 AM,07:34 PM,13,20,20,20,20,14,68,0.0,1014,20,10,185,10,Louisiana
2022-09-02 05:00:00,31,19,0.0,11.6,7,42,01:09 PM,10:58 PM,06:33 AM,07:34 PM,14,19,19,19,19,10,72,0.0,1014,19,10,185,9,Louisiana
2022-09-02 06:00:00,31,19,0.0,11.6,7,42,01:09 PM,10:58 PM,06:33 AM,07:34 PM,15,19,19,19,18,5,77,0.0,1014,19,10,186,9,Louisiana
2022-09-02 07:00:00,31,19,0.0,11.6,7,42,01:09 PM,10:58 PM,06:33 AM,07:34 PM,15,21,21,21,16,20,72,0.0,1014,21,10,199,9,Louisiana
2022-09-02 08:00:00,31,19,0.0,11.6,7,42,01:09 PM,10:58 PM,06:33 AM,07:34 PM,16,24,24,23,13,35,67,0.0,1015,23,10,212,9,Louisiana
2022-09-02 09:00:00,31,19,0.0,11.6,7,42,01:09 PM,10:58 PM,06:33 AM,07:34 PM,17,26,26,25,11,50,62,0.0,1015,25,10,225,9,Louisiana
2022-09-02 10:00:00,31,19,0.0,11.6,7,42,01:09 PM,10:58 PM,06:33 AM,07:34 PM,17,27,27,26,12,49,57,0.0,1015,26,10,223,10,Louisiana
