date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,31,31,28,24,46,64,0.0,1010,28,10,218,18,Maine
2022-09-01 01:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,30,30,27,25,60,69,0.0,1010,27,10,221,18,Maine
2022-09-01 02:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,28,28,26,25,73,74,0.3,1010,26,10,225,17,Maine
2022-09-01 03:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,27,27,25,25,87,80,0.4,1010,25,10,228,17,Maine
2022-09-01 04:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,27,27,25,24,86,80,0.2,1010,25,10,224,16,Maine
2022-09-01 05:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,27,27,25,24,86,80,0.2,1010,25,9,219,16,Maine
2022-09-01 06:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,22,27,27,25,23,85,80,0.2,1010,25,9,215,15,Maine
2022-09-01 07:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,28,28,26,24,62,76,0.1,1010,26,9,218,17,Maine
2022-09-01 08:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,29,29,27,24,38,71,0.0,1011,27,10,221,19,Maine
2022-09-01 09:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,30,30,28,25,15,67,0.0,1012,28,10,223,22,Maine
2022-09-01 10:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,31,31,29,23,38,64,0.0,1012,29,10,209,20,Maine
2022-09-01 11:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,32,32,29,22,60,61,0.1,1012,29,9,194,18,Maine
2022-09-01 12:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,33,33,30,20,83,58,0.1,1012,30,9,180,15,Maine
2022-09-01 13:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,33,33,30,19,74,56,0.0,1011,30,9,195,15,Maine
2022-09-01 14:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,33,33,31,19,65,55,0.0,1010,31,10,210,15,Maine
2022-09-01 15:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,20,34,34,31,18,56,53,0.0,1009,31,10,226,15,Maine
2022-09-01 16:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,20,33,33,31,17,44,55,0.0,1009,31,10,212,14,Maine
2022-09-01 17:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,33,33,30,16,31,57,0.0,1009,30,10,199,12,Maine
2022-09-01 18:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,32,32,30,14,19,59,0.0,1009,30,10,185,11,Maine
2022-09-01 19:00:00,31,25,0.0,10.2,7,35,10:10 AM,10:03 PM,06:01 AM,06:23 PM,21,31,31,29,15,29,63,0.0,1010,29,10,202,11,Maine
