date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,11,16,16,16,18,0,72,0.0,1009,16,10,285,9,Massachusetts
2022-09-01 01:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,11,16,16,16,17,3,70,0.0,1009,16,10,279,8,Massachusetts
2022-09-01 02:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,10,16,16,16,17,5,69,0.0,1009,16,10,273,8,Massachusetts
2022-09-01 03:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,10,16,16,16,16,8,68,0.0,1009,16,10,267,8,Massachusetts
2022-09-01 04:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,10,16,16,16,17,9,67,0.0,1009,16,10,261,8,Massachusetts
2022-09-01 05:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,10,16,16,16,17,10,67,0.0,1010,16,10,256,8,Massachusetts
2022-09-01 06:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,9,16,16,16,18,12,67,0.0,1010,16,10,250,9,Massachusetts
2022-09-01 07:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,10,17,17,17,19,8,63,0.0,1010,17,10,261,12,Massachusetts
2022-09-01 08:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,10,18,18,18,21,4,60,0.0,1011,18,10,272,15,Massachusetts
2022-09-01 09:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,10,19,19,19,22,0,57,0.0,1011,19,10,283,18,Massachusetts
2022-09-01 10:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,10,21,21,21,23,1,50,0.0,1011,21,10,285,19,Massachusetts
2022-09-01 11:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,9,23,23,22,23,2,43,0.0,1011,22,10,288,19,Massachusetts
2022-09-01 12:00:00,25,16,0.0,11.6,6,35,11:43 AM,09:58 PM,06:12 AM,07:21 PM,8,25,25,24,23,3,37,0.0,1012,24,10,290,20,Massachusetts
