date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,17,22,24,22,24,10,73,0.0,1015,22,10,247,12,Michigan
2022-09-01 01:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,17,21,23,21,23,9,75,0.0,1015,21,10,257,11,Michigan
2022-09-01 02:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,17,21,22,21,22,8,77,0.0,1015,21,10,267,11,Michigan
2022-09-01 03:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,17,21,21,21,22,7,80,0.0,1016,21,10,277,11,Michigan
2022-09-01 04:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,18,21,21,21,18,7,82,0.0,1016,21,10,302,9,Michigan
2022-09-01 05:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,18,21,21,21,15,8,84,0.0,1016,21,10,328,8,Michigan
2022-09-01 06:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,18,20,20,20,12,8,86,0.0,1016,20,10,353,6,Michigan
2022-09-01 07:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,18,20,20,20,15,9,86,0.0,1017,20,10,270,9,Michigan
2022-09-01 08:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,18,20,20,20,17,10,86,0.0,1017,20,10,186,11,Michigan
2022-09-01 09:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,17,20,20,20,19,10,85,0.0,1018,20,10,103,13,Michigan
2022-09-01 10:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,18,22,22,22,16,9,79,0.0,1018,22,10,104,11,Michigan
2022-09-01 11:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,18,25,25,24,12,7,72,0.0,1018,24,10,106,9,Michigan
2022-09-01 12:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,19,27,27,26,9,5,66,0.0,1018,26,10,107,8,Michigan
2022-09-01 13:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,19,28,28,27,7,7,63,0.0,1018,27,10,91,6,Michigan
2022-09-01 14:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,19,29,29,28,5,8,61,0.0,1017,28,10,74,4,Michigan
2022-09-01 15:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,20,30,30,29,3,9,59,0.0,1017,29,10,58,3,Michigan
2022-09-01 16:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,19,30,30,28,5,8,59,0.0,1016,28,10,42,4,Michigan
2022-09-01 17:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,19,29,29,27,6,7,58,0.0,1016,27,10,25,5,Michigan
2022-09-01 18:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,18,28,28,27,8,6,58,0.0,1016,27,10,9,6,Michigan
2022-09-01 19:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,18,27,27,26,13,6,62,0.0,1016,26,10,47,8,Michigan
2022-09-01 20:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,17,26,26,24,18,6,66,0.0,1016,24,10,84,9,Michigan
2022-09-01 21:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,17,25,25,23,23,6,70,0.0,1016,23,10,121,11,Michigan
2022-09-01 22:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,17,25,25,23,27,11,70,0.0,1016,23,10,129,13,Michigan
2022-09-01 23:00:00,29,20,0.0,11.6,6,35,11:46 AM,10:01 PM,06:13 AM,07:21 PM,16,25,25,22,31,15,69,0.0,1015,22,10,137,15,Michigan
2022-09-02 00:00:00,31,21,0.0,11.6,7,42,12:58 PM,10:34 PM,06:14 AM,07:19 PM,16,25,25,22,36,19,69,0.0,1015,22,10,145,17,Michigan
2022-09-02 01:00:00,31,21,0.0,11.6,7,42,12:58 PM,10:34 PM,06:14 AM,07:19 PM,16,22,23,22,34,17,71,0.0,1015,22,10,157,16,Michigan
2022-09-02 02:00:00,31,21,0.0,11.6,7,42,12:58 PM,10:34 PM,06:14 AM,07:19 PM,16,21,22,21,32,15,72,0.0,1015,21,10,168,15,Michigan
