date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,34,23,0.0,8.9,6,35,11:59 AM,11:01 PM,07:00 AM,07:44 PM,20,25,25,23,8,82,80,1.9,1014,23,7,324,4,Missouri
2022-09-01 01:00:00,34,23,0.0,8.9,6,35,11:59 AM,11:01 PM,07:00 AM,07:44 PM,20,26,26,24,6,60,78,0.9,1014,24,8,289,3,Missouri
2022-09-01 02:00:00,34,23,0.0,8.9,6,35,11:59 AM,11:01 PM,07:00 AM,07:44 PM,20,26,26,24,3,38,76,0.0,1014,24,9,255,2,Missouri
2022-09-01 03:00:00,34,23,0.0,8.9,6,35,11:59 AM,11:01 PM,07:00 AM,07:44 PM,19,26,26,24,1,15,74,0.0,1013,24,10,220,1,Missouri
2022-09-01 04:00:00,34,23,0.0,8.9,6,35,11:59 AM,11:01 PM,07:00 AM,07:44 PM,20,26,26,24,3,37,77,0.0,1013,24,10,151,2,Missouri
2022-09-01 05:00:00,34,23,0.0,8.9,6,35,11:59 AM,11:01 PM,07:00 AM,07:44 PM,20,26,26,24,5,58,80,0.2,1014,24,9,81,2,Missouri
2022-09-01 06:00:00,34,23,0.0,8.9,6,35,11:59 AM,11:01 PM,07:00 AM,07:44 PM,20,25,25,23,6,80,84,0.2,1014,23,9,11,3,Missouri
2022-09-01 07:00:00,34,23,0.0,8.9,6,35,11:59 AM,11:01 PM,07:00 AM,07:44 PM,21,26,26,24,8,78,83,0.1,1014,24,9,11,5,Missouri
2022-09-01 08:00:00,34,23,0.0,8.9,6,35,11:59 AM,11:01 PM,07:00 AM,07:44 PM,21,26,26,24,10,76,82,0.1,1015,24,9,10,7,Missouri
2022-09-01 09:00:00,34,23,0.0,8.9,6,35,11:59 AM,11:01 PM,07:00 AM,07:44 PM,21,27,27,25,12,74,81,0.1,1015,25,9,9,8,Missouri
