date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,18,20,20,20,8,88,85,0.5,1015,20,10,190,5,Montana
2022-09-01 01:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,17,20,20,20,7,69,85,0.3,1014,20,10,199,4,Montana
2022-09-01 02:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,17,19,19,19,7,49,84,0.0,1014,19,10,208,4,Montana
2022-09-01 03:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,16,19,19,19,7,30,84,0.0,1014,19,10,216,4,Montana
2022-09-01 04:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,16,19,19,19,7,36,85,0.0,1013,19,10,249,3,Montana
2022-09-01 05:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,16,18,18,18,6,41,85,0.0,1013,18,10,282,3,Montana
2022-09-01 06:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,16,18,18,18,5,47,86,0.0,1013,18,10,315,3,Montana
2022-09-01 07:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,16,19,20,19,6,48,82,0.0,1014,19,10,210,4,Montana
2022-09-01 08:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,16,20,22,20,6,50,79,0.0,1014,20,10,106,5,Montana
2022-09-01 09:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,17,21,24,21,6,52,75,0.0,1014,21,10,1,5,Montana
2022-09-01 10:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,17,25,25,22,7,52,72,0.0,1014,22,10,2,6,Montana
2022-09-01 11:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,16,25,25,23,7,52,68,0.1,1014,23,10,4,6,Montana
2022-09-01 12:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,16,25,25,23,8,52,64,0.1,1014,23,10,6,6,Montana
2022-09-01 13:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,17,26,26,25,8,58,61,0.0,1013,25,10,122,6,Montana
2022-09-01 14:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,17,27,27,26,8,64,58,0.2,1013,26,9,237,6,Montana
2022-09-01 15:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,17,28,28,27,8,70,55,0.3,1012,27,9,353,6,Montana
2022-09-01 16:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,17,28,28,27,8,71,57,0.2,1012,27,9,341,6,Montana
2022-09-01 17:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,17,27,27,26,9,72,59,0.2,1012,26,9,329,6,Montana
2022-09-01 18:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,17,27,27,26,9,73,61,0.2,1012,26,9,317,6,Montana
2022-09-01 19:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,17,25,25,24,10,75,68,0.1,1013,24,9,285,6,Montana
2022-09-01 20:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,17,22,22,22,11,76,75,0.5,1013,22,9,253,6,Montana
2022-09-01 21:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,17,20,20,20,12,78,82,0.6,1014,20,9,221,6,Montana
2022-09-01 22:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,17,20,20,20,11,80,82,0.3,1014,20,9,238,6,Montana
2022-09-01 23:00:00,27,18,0.0,9.2,5,35,12:06 PM,10:27 PM,06:51 AM,08:03 PM,18,21,21,21,10,82,83,0.3,1013,21,10,255,6,Montana
