date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,17,21,24,21,17,71,76,0.1,1015,21,10,246,8,Nebraska
2022-09-01 01:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,17,21,24,21,20,63,77,0.0,1015,21,10,236,10,Nebraska
2022-09-01 02:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,17,21,24,21,23,56,77,0.0,1015,21,10,227,11,Nebraska
2022-09-01 03:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,17,21,24,21,26,48,78,0.0,1015,21,10,217,12,Nebraska
2022-09-01 04:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,17,21,23,21,19,49,80,0.0,1015,21,10,223,9,Nebraska
2022-09-01 05:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,17,20,21,20,12,50,82,0.0,1015,20,10,230,6,Nebraska
2022-09-01 06:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,17,20,20,20,5,50,83,0.0,1015,20,10,236,2,Nebraska
2022-09-01 07:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,17,20,21,20,8,58,82,0.0,1015,20,10,212,4,Nebraska
2022-09-01 08:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,17,21,23,21,11,65,80,0.0,1015,21,10,187,6,Nebraska
2022-09-01 09:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,18,21,24,21,15,73,79,0.0,1015,21,10,162,9,Nebraska
2022-09-01 10:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,16,28,28,26,19,53,60,0.0,1014,26,10,163,14,Nebraska
2022-09-01 11:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,13,31,31,30,23,32,42,0.0,1014,30,10,163,18,Nebraska
2022-09-01 12:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,11,34,34,35,27,12,24,0.0,1013,35,10,164,23,Nebraska
2022-09-01 13:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,10,36,36,36,26,11,21,0.0,1012,36,10,170,23,Nebraska
2022-09-01 14:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,9,37,37,38,26,11,18,0.0,1011,38,10,176,22,Nebraska
2022-09-01 15:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,9,39,39,39,25,10,16,0.0,1010,39,10,182,22,Nebraska
2022-09-01 16:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,8,38,38,39,26,9,16,0.0,1009,39,10,180,23,Nebraska
2022-09-01 17:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,8,38,38,38,27,7,16,0.0,1008,38,10,178,24,Nebraska
2022-09-01 18:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,8,37,37,38,28,6,16,0.0,1008,38,10,176,24,Nebraska
2022-09-01 19:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,9,34,34,35,35,9,21,0.0,1008,35,10,170,25,Nebraska
2022-09-01 20:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,10,32,32,32,42,12,26,0.0,1008,32,10,165,26,Nebraska
2022-09-01 21:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,11,29,29,30,50,15,32,0.0,1008,30,10,159,26,Nebraska
2022-09-01 22:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,13,26,26,27,48,33,50,0.0,1009,27,10,167,24,Nebraska
2022-09-01 23:00:00,39,20,0.0,10.3,7,35,12:21 PM,10:40 PM,06:51 AM,07:56 PM,16,23,23,23,45,52,69,0.6,1009,23,9,176,22,Nebraska
2022-09-02 00:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,18,20,20,20,43,70,88,0.8,1010,20,9,184,21,Nebraska
2022-09-02 01:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,18,20,20,20,43,50,88,0.4,1010,20,9,183,21,Nebraska
2022-09-02 02:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,18,20,20,20,43,31,88,0.0,1010,20,10,182,22,Nebraska
2022-09-02 03:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,18,20,20,20,44,11,88,0.0,1010,20,10,181,23,Nebraska
2022-09-02 04:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,18,19,19,19,40,9,89,0.0,1010,19,10,186,22,Nebraska
2022-09-02 05:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,18,19,19,19,37,8,90,0.0,1010,19,10,191,20,Nebraska
2022-09-02 06:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,18,19,19,19,34,6,90,0.0,1010,19,10,197,18,Nebraska
2022-09-02 07:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,18,20,21,20,31,29,88,0.0,1010,20,10,194,18,Nebraska
2022-09-02 08:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,19,22,23,22,28,52,86,0.1,1010,22,10,191,18,Nebraska
2022-09-02 09:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,20,25,25,23,24,75,84,0.1,1011,23,10,188,18,Nebraska
2022-09-02 10:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,19,29,29,27,26,79,69,0.0,1011,27,10,188,20,Nebraska
2022-09-02 11:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,19,33,33,31,28,84,53,0.0,1011,31,10,188,22,Nebraska
2022-09-02 12:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,19,38,38,35,29,88,38,0.0,1010,35,10,188,24,Nebraska
2022-09-02 13:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,19,35,35,33,24,85,43,0.0,1010,33,10,215,19,Nebraska
2022-09-02 14:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,18,33,33,31,19,82,47,0.0,1010,31,10,241,14,Nebraska
2022-09-02 15:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,18,31,31,29,14,79,52,0.0,1010,29,10,268,9,Nebraska
2022-09-02 16:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,18,29,29,28,18,79,55,0.0,1010,28,10,233,10,Nebraska
2022-09-02 17:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,18,28,28,27,22,78,58,0.1,1010,27,10,199,12,Nebraska
2022-09-02 18:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,18,27,27,26,26,78,60,0.1,1010,26,10,164,14,Nebraska
2022-09-02 19:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,17,25,25,24,21,54,68,0.1,1011,24,10,208,11,Nebraska
2022-09-02 20:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,17,22,22,22,16,30,75,0.0,1012,22,10,252,8,Nebraska
2022-09-02 21:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,17,20,20,20,11,6,82,0.0,1014,20,10,296,5,Nebraska
2022-09-02 22:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,16,19,19,19,13,5,81,0.0,1014,19,10,278,6,Nebraska
2022-09-02 23:00:00,35,19,0.0,6.5,6,42,01:33 PM,11:14 PM,06:52 AM,07:54 PM,15,19,19,19,15,5,79,0.0,1015,19,10,260,7,Nebraska
2022-09-03 00:00:00,35,17,0.0,11.6,7,49,02:46 PM,11:57 PM,06:52 AM,07:52 PM,14,18,18,18,17,4,77,0.0,1016,18,10,241,8,Nebraska
2022-09-03 01:00:00,35,17,0.0,11.6,7,49,02:46 PM,11:57 PM,06:52 AM,07:52 PM,14,18,18,18,14,3,80,0.0,1016,18,10,268,6,Nebraska
2022-09-03 02:00:00,35,17,0.0,11.6,7,49,02:46 PM,11:57 PM,06:52 AM,07:52 PM,14,17,17,17,11,3,83,0.0,1016,17,10,295,5,Nebraska
2022-09-03 03:00:00,35,17,0.0,11.6,7,49,02:46 PM,11:57 PM,06:52 AM,07:52 PM,15,17,17,17,8,2,86,0.0,1016,17,10,321,4,Nebraska
