date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-09-01 00:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,9,24,24,23,26,23,41,0.0,1015,23,10,166,13,Nevada
2022-09-01 01:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,9,24,24,22,22,23,43,0.0,1014,22,10,206,11,Nevada
2022-09-01 02:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,10,22,24,22,18,23,46,0.0,1014,22,10,246,9,Nevada
2022-09-01 03:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,10,21,24,21,14,23,49,0.0,1014,21,10,286,6,Nevada
2022-09-01 04:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,11,20,22,20,15,44,58,0.0,1014,20,10,275,7,Nevada
2022-09-01 05:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,12,19,20,19,16,64,68,0.0,1015,19,10,263,8,Nevada
2022-09-01 06:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,13,17,17,17,17,84,78,0.0,1015,17,10,252,8,Nevada
2022-09-01 07:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,14,19,20,19,15,62,76,0.0,1015,19,10,254,8,Nevada
2022-09-01 08:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,15,20,22,20,13,40,74,0.0,1015,20,10,256,7,Nevada
2022-09-01 09:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,17,22,25,22,10,17,72,0.0,1016,22,10,257,6,Nevada
2022-09-01 10:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,17,27,27,24,13,16,64,0.0,1015,24,10,246,10,Nevada
2022-09-01 11:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,17,29,29,27,16,16,56,0.0,1015,27,10,234,13,Nevada
2022-09-01 12:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,18,31,31,30,18,15,49,0.0,1015,30,10,223,16,Nevada
2022-09-01 13:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,16,31,31,31,22,15,43,0.0,1014,31,10,215,19,Nevada
2022-09-01 14:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,15,31,31,31,26,14,38,0.0,1013,31,10,207,23,Nevada
2022-09-01 15:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,13,32,32,32,30,14,32,0.0,1013,32,10,199,26,Nevada
2022-09-01 16:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,14,30,30,30,29,17,36,0.0,1013,30,10,201,23,Nevada
2022-09-01 17:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,14,29,29,29,28,20,40,0.0,1013,29,10,202,20,Nevada
2022-09-01 18:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,14,27,27,27,28,23,45,0.0,1012,27,10,204,18,Nevada
2022-09-01 19:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,13,26,26,26,28,18,45,0.0,1012,26,10,185,16,Nevada
2022-09-01 20:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,12,25,25,24,29,13,46,0.0,1012,24,10,167,15,Nevada
2022-09-01 21:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,11,25,25,23,30,8,47,0.0,1012,23,10,148,14,Nevada
2022-09-01 22:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,13,22,23,22,23,10,56,0.0,1011,22,10,191,11,Nevada
2022-09-01 23:00:00,32,17,0.0,11.6,7,35,12:13 PM,10:27 PM,06:39 AM,07:47 PM,14,21,22,21,17,12,66,0.0,1011,21,10,234,8,Nevada
2022-09-02 00:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,16,21,21,21,11,14,76,0.0,1011,21,10,277,5,Nevada
2022-09-02 01:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,17,20,20,20,14,33,81,0.0,1011,20,10,249,7,Nevada
2022-09-02 02:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,17,20,20,20,17,52,86,0.2,1011,20,9,221,8,Nevada
2022-09-02 03:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,18,19,19,19,20,71,91,0.3,1011,19,9,193,9,Nevada
2022-09-02 04:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,18,19,19,19,23,77,91,0.1,1011,19,9,177,11,Nevada
2022-09-02 05:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,17,19,19,19,25,82,92,0.2,1011,19,9,162,12,Nevada
2022-09-02 06:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,17,18,18,18,28,88,93,0.2,1011,18,9,146,13,Nevada
2022-09-02 07:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,18,19,19,19,27,85,91,0.1,1011,19,9,160,15,Nevada
2022-09-02 08:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,18,20,20,20,27,81,90,0.0,1011,20,10,173,17,Nevada
2022-09-02 09:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,19,21,21,21,26,78,88,0.0,1012,21,10,187,19,Nevada
2022-09-02 10:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,19,25,25,24,28,80,77,0.0,1012,24,10,197,21,Nevada
2022-09-02 11:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,20,28,28,27,29,81,66,0.0,1012,27,10,207,23,Nevada
2022-09-02 12:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,20,32,32,30,30,83,56,0.0,1012,30,10,217,24,Nevada
2022-09-02 13:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,19,33,33,31,30,79,50,0.0,1011,31,10,222,24,Nevada
2022-09-02 14:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,18,33,33,32,29,75,44,0.0,1011,32,10,226,25,Nevada
2022-09-02 15:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,17,34,34,33,28,71,38,0.0,1010,33,10,231,25,Nevada
2022-09-02 16:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,17,34,34,33,28,50,39,0.0,1010,33,10,228,23,Nevada
2022-09-02 17:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,17,33,33,32,28,30,41,0.0,1010,32,10,225,21,Nevada
2022-09-02 18:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,17,33,33,32,28,9,42,0.0,1010,32,10,221,18,Nevada
2022-09-02 19:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,17,29,29,28,29,32,52,0.0,1011,28,10,211,17,Nevada
2022-09-02 20:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,16,25,25,24,30,56,62,0.1,1012,24,10,200,16,Nevada
2022-09-02 21:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,16,21,21,21,32,79,73,0.1,1014,21,10,189,15,Nevada
2022-09-02 22:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,16,21,21,21,29,79,76,0.0,1014,21,10,211,14,Nevada
2022-09-02 23:00:00,33,18,0.0,7.8,7,42,01:27 PM,11:00 PM,06:40 AM,07:46 PM,17,21,21,21,27,80,79,0.0,1014,21,10,233,13,Nevada
2022-09-03 00:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,18,21,21,21,25,80,83,0.0,1015,21,10,255,12,Nevada
2022-09-03 01:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,16,20,20,20,25,56,80,0.0,1015,20,10,286,12,Nevada
2022-09-03 02:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,15,19,19,19,25,32,78,0.0,1016,19,10,318,12,Nevada
2022-09-03 03:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,14,18,18,18,25,8,76,0.0,1016,18,10,349,12,Nevada
2022-09-03 04:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,11,16,17,16,27,7,71,0.0,1016,17,10,351,13,Nevada
2022-09-03 05:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,9,15,16,15,30,6,65,0.0,1017,16,10,353,14,Nevada
2022-09-03 06:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,7,14,15,14,32,5,60,0.0,1017,15,10,355,15,Nevada
2022-09-03 07:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,7,15,16,15,30,5,57,0.0,1018,16,10,244,17,Nevada
2022-09-03 08:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,8,17,17,17,27,5,54,0.0,1019,17,10,133,18,Nevada
2022-09-03 09:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,8,18,18,18,24,4,52,0.0,1020,18,10,22,19,Nevada
2022-09-03 10:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,9,21,21,21,24,3,47,0.0,1020,21,10,21,20,Nevada
2022-09-03 11:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,10,23,23,23,24,1,43,0.0,1020,23,10,21,20,Nevada
2022-09-03 12:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,10,25,25,25,24,0,39,0.0,1021,25,10,20,21,Nevada
2022-09-03 13:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,10,26,26,26,24,1,37,0.0,1020,26,10,22,21,Nevada
2022-09-03 14:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,10,26,26,26,23,1,35,0.0,1020,26,10,24,20,Nevada
2022-09-03 15:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,9,26,26,27,23,2,33,0.0,1020,27,10,26,20,Nevada
2022-09-03 16:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,11,26,26,27,23,1,37,0.0,1020,27,10,28,20,Nevada
2022-09-03 17:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,12,26,26,26,22,1,41,0.0,1020,26,10,29,19,Nevada
2022-09-03 18:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,13,26,26,26,22,0,45,0.0,1020,26,10,31,19,Nevada
2022-09-03 19:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,13,23,23,23,25,0,55,0.0,1020,23,10,29,18,Nevada
2022-09-03 20:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,12,20,20,20,28,0,64,0.0,1021,20,10,27,16,Nevada
2022-09-03 21:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,12,17,17,17,32,0,74,0.0,1021,17,10,26,15,Nevada
2022-09-03 22:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,13,18,18,18,30,5,77,0.0,1021,18,10,35,15,Nevada
2022-09-03 23:00:00,27,15,0.0,11.6,5,49,02:41 PM,11:42 PM,06:41 AM,07:44 PM,15,18,18,18,29,10,80,0.0,1020,18,10,45,15,Nevada
2022-09-04 00:00:00,31,17,0.0,11.6,7,56,03:54 PM,No moonset,06:42 AM,07:42 PM,16,19,19,19,28,14,83,0.0,1020,19,10,55,15,Nevada
